"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Megalobrama terminalis (Richardson, 1846)","species","Animalia","alien","null","present","Albania","ALB","Megalobrama terminalis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Hordeum distichon L.","species","Plantae","alien","null","present","Albania","ALB","Hordeum distichon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Agave americana L.","species","Plantae","alien","invasive","present","Albania","ALB","Agave americana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Panicum miliaceum L.","species","Plantae","alien","null","present","Albania","ALB","Panicum miliaceum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Amaranthus hybridus L.","species","Plantae","alien","null","present","Albania","ALB","Amaranthus hybridus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Dichondra micrantha Urb.","species","Plantae","alien","null","present","Albania","ALB","Dichondra micrantha","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Elodea canadensis Michx.","species","Plantae","alien","null","present","Albania","ALB","Elodea canadensis","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Solanum triflorum Nutt.","species","Plantae","alien","null","present","Albania","ALB","Solanum triflorum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.","species","Plantae","alien","null","present","Albania","ALB","Armoracia rusticana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Paspalum dilatatum Poir.","species","Plantae","alien","null","present","Albania","ALB","Paspalum dilatatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Zinnia elegans Jacq.","species","Plantae","alien","null","present","Albania","ALB","Zinnia elegans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Brachiaria eruciformis (Sm.) Griseb.","species","Plantae","alien","null","present","Albania","ALB","Brachiaria eruciformis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Morus nigra L.","species","Plantae","alien","null","present","Albania","ALB","Morus nigra","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Pinctada imbricata Röding, 1798","species","Animalia","alien","null","present","Albania","ALB","Pinctada imbricata","Animalia","Mollusca","Bivalvia","Ostreida","Pteriidae","[""marine""]"
"Chenopodium pumilio R.Br.","species","Plantae","alien","null","present","Albania","ALB","Chenopodium pumilio","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Ailanthus altissima Swingle","species","Plantae","alien","null","present","Albania","ALB","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Polygonum orientale L.","species","Plantae","alien","null","present","Albania","ALB","Persicaria orientalis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Symphyotrichum squamatum (Spreng.) G.L. Nesom","species","Plantae","alien","null","present","Albania","ALB","Symphyotrichum squamatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Amorpha fruticosa L.","species","Plantae","alien","null","present","Albania","ALB","Amorpha fruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
