"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Aster versicolor hort. ex Steud.","species","Plantae","alien","null","present","Algeria","DZA","Aster versicolor","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acacia retinodes Schltdl.","species","Plantae","alien","null","present","Algeria","DZA","Acacia retinodes","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Alisma plantago L.","species","Plantae","alien","null","present","Algeria","DZA","Alisma plantago-aquatica","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","[""freshwater""]"
"Gephyroberyx darwinii (Johnson, 1866)","species","Animalia","alien","null","present","Algeria","DZA","Gephyroberyx darwinii","Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","[""marine""]"
"Salmo trutta trutta","species","Animalia","alien","null","present","Algeria","DZA","Salmo trutta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Physalis peruviana L.","species","Plantae","alien","null","present","Algeria","DZA","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Echinolittorina punctata (Gmelin, 1791)","species","Animalia","alien","null","present","Algeria","DZA","Echinolittorina punctata","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","[""marine""]"
"Aster brachytrichus Franch.","species","Plantae","alien","null","present","Algeria","DZA","Aster brachytrichus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Anchusa officinalis L.","species","Plantae","alien","null","present","Algeria","DZA","Anchusa officinalis","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Araucaria cookii R.Br. ex Endl.","species","Plantae","alien","null","present","Algeria","DZA","Araucaria cookii","Plantae","Tracheophyta","Pinopsida","Pinales","Araucariaceae","[""terrestrial""]"
"Abelia uniflora R.Br.","species","Plantae","alien","null","present","Algeria","DZA","Abelia uniflora","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Aeonium undulatum Webb & Berthel.","species","Plantae","alien","null","present","Algeria","DZA","Aeonium undulatum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Ananas sativus Schult. & Schult.f.","species","Plantae","alien","null","present","Algeria","DZA","Ananas comosus","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","[""terrestrial""]"
"Asparagus longiflorus Franch.","species","Plantae","alien","null","present","Algeria","DZA","Asparagus longiflorus","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","invasive","present","Algeria","DZA","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","null","present","Algeria","DZA","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Aristea cyanea","species","Plantae","alien","null","present","Algeria","DZA","Aristea cyanea","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Agave attenuata Salm-Dyck","species","Plantae","alien","null","present","Algeria","DZA","Agave attenuata","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Eucalyptus cladocalyx F.Muell.","species","Plantae","alien","null","present","Algeria","DZA","Eucalyptus cladocalyx","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Nicotiana glauca Graham","species","Plantae","alien","null","present","Algeria","DZA","Nicotiana glauca","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Aegilops cylindrica Host","species","Plantae","alien","null","present","Algeria","DZA","Aegilops cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Aloe perryi Baker","species","Plantae","alien","null","present","Algeria","DZA","Aloe perryi","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","[""terrestrial""]"
"Adiantum cuneatum","species","Plantae","alien","null","present","Algeria","DZA","Adiantum cuneatum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]"
"Pimenta dioica (L.) Merr.","species","Plantae","alien","null","present","Algeria","DZA","Pimenta dioica","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
