"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Bruchus pisorum (Linnaeus, 1758)","species","Animalia","alien","null","present","Andorra","AND","Bruchus pisorum","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Trachyopella straminea Rohacek & Marshall, 1985","species","Animalia","alien","null","present","Andorra","AND","Trachyopella straminea","Animalia","Arthropoda","Insecta","Diptera","Sphaeroceridae","[""terrestrial""]"
"Monochamus sutor (Linné, 1758)","species","Animalia","alien","null","present","Andorra","AND","Monochamus sutor","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","[""terrestrial""]"
"Leptinotarsa decemlineata (Say, 1824)","species","Animalia","alien","null","present","Andorra","AND","Leptinotarsa decemlineata","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Impatiens balfourii Hook.f.","species","Plantae","alien","null","present","Andorra","AND","Impatiens balfourii","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Senecio inaequidens DC.","species","Plantae","alien","null","present","Andorra","AND","Senecio inaequidens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Bruchus rufimanus Boheman, 1833","species","Animalia","alien","null","present","Andorra","AND","Bruchus rufimanus","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Entoleuca mammata (Wahlenb.) J.D.Rogers & Y.M.Ju","species","Fungi","alien","null","present","Andorra","AND","Entoleuca mammata","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","[""host""]"
"Acanthoscelides obtectus (Say, 1831)","species","Animalia","alien","null","present","Andorra","AND","Acanthoscelides obtectus","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Pseudoperonospora humuli (Miyabe & Takah.) G.W.Wilson","species","Chromista","alien","null","present","Andorra","AND","Pseudoperonospora cubensis","Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","[""host""]"
"Callosobruchus chinensis (Linnaeus, 1758)","species","Animalia","alien","null","present","Andorra","AND","Callosobruchus chinensis","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Euophryum confine (Broun, 1880)","species","Animalia","alien","null","present","Andorra","AND","Pentarthrum confine","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Buddleja davidii Franch.","species","Plantae","alien","null","present","Andorra","AND","Buddleja davidii","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","[""terrestrial""]"
