"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Tanacetum parthenium Sch.Bip.","species","Plantae","alien","null","present","Argentina","ARG","Tanacetum parthenium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cymbopogon citratus Stapf","species","Plantae","alien","null","present","Argentina","ARG","Cymbopogon citratus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Betula pendula Roth","species","Plantae","alien","null","present","Argentina","ARG","Betula pendula","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","[""terrestrial""]"
"Limnoria tripunctata Menzies, 1951","species","Animalia","alien","null","present","Argentina","ARG","Limnoria tripunctata","Animalia","Arthropoda","Malacostraca","Isopoda","Limnoriidae","[""marine""]"
"Rubus fruticosus L.","species","Plantae","alien","null","present","Argentina","ARG","Rubus fruticosus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Taraxacum croceum Dahlst.","species","Plantae","alien","invasive","present","Argentina","ARG","Taraxacum croceum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Trisetum spicatum (L.) K.Richt.","species","Plantae","alien","invasive","present","Argentina","ARG","Trisetum spicatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Didymosphenia geminata (Lyngb.) M.Schmidt","species","Chromista","alien","invasive","present","Argentina","ARG","Didymosphenia geminata","Chromista","Ochrophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","[""freshwater""]"
"Jassa slatteryi Conlan, 1990","species","Animalia","alien","null","present","Argentina","ARG","Jassa slatteryi","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","[""marine""]"
"Zonitoides nitida (O.F.Müller, 1774)","species","Animalia","alien","null","present","Argentina","ARG","Zonitoides nitida","Animalia","Mollusca","Gastropoda","Stylommatophora","Gastrodontidae","[""terrestrial""]"
"Puccinia lagenophorae Cooke","species","Fungi","alien","null","present","Argentina","ARG","Puccinia lagenophorae","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","[""host""]"
"Bromus racemosus L.","species","Plantae","alien","null","present","Argentina","ARG","Bromus racemosus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Silene vulgaris (Moench) Garcke","species","Plantae","alien","null","present","Argentina","ARG","Silene vulgaris","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Helminthotheca echioides (L.) Holub","species","Plantae","alien","invasive","present","Argentina","ARG","Helminthotheca echioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Diplosoma listerianum (Milne Edwards, 1841)","species","Animalia","alien","null","present","Argentina","ARG","Diplosoma listerianum","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","[""marine""]"
"Asparagus officinalis L.","species","Plantae","alien","null","present","Argentina","ARG","Asparagus officinalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Prunus persica Stokes","species","Plantae","alien","invasive","present","Argentina","ARG","Prunus persica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Eisenia veneta","species","Animalia","alien","null","present","Argentina","ARG","Eisenia veneta","Animalia","Annelida","Clitellata","Crassiclitellata","Lumbricidae","[""terrestrial""]"
"Carthamus tinctorius L.","species","Plantae","alien","invasive","present","Argentina","ARG","Carthamus tinctorius","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Panicum repens L.","species","Plantae","alien","null","present","Argentina","ARG","Panicum repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Bugulina stolonifera (Ryland, 1960)","species","Animalia","alien","null","present","Argentina","ARG","Bugulina stolonifera","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","[""marine""]"
"Plumularia setacea (Linnaeus, 1758)","species","Animalia","alien","null","present","Argentina","ARG","Plumularia setacea","Animalia","Cnidaria","Hydrozoa","Leptothecata","Plumulariidae","[""marine""]"
"Opuntia ficus-indica Mill.","species","Plantae","alien","null","present","Argentina","ARG","Opuntia ficus-indica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Pleurobranchaea maculata (Quoy & Gaimard, 1832)","species","Animalia","alien","null","present","Argentina","ARG","Pleurobranchaea maculata","Animalia","Mollusca","Gastropoda","Pleurobranchomorpha","Pleurobranchaeidae","[""marine""]"
"Bromus hordeaceus L.","species","Plantae","alien","invasive","present","Argentina","ARG","Bromus hordeaceus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Fallopia convolvulus (L.) Á.Löve","species","Plantae","alien","invasive","present","Argentina","ARG","Fallopia convolvulus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Orchestia mediterranea (Pallas, 1766)","species","Animalia","alien","null","present","Argentina","ARG","Orchestia mediterranea","Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","[""marine""]"
"Nasturtium officinale W.T.Aiton","species","Plantae","alien","invasive","present","Argentina","ARG","Nasturtium officinale","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial"",""freshwater""]"
"Tamarix parviflora DC.","species","Plantae","alien","null","present","Argentina","ARG","Tamarix parviflora","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Tamaricaceae","[""terrestrial""]"
"Teredo navalis Linnaeus, 1758","species","Animalia","cryptogenic|uncertain","null","present","Argentina","ARG","Teredo navalis","Animalia","Mollusca","Bivalvia","Myida","Teredinidae","[""brackish"",""marine""]"
"Juniperus virginiana L.","species","Plantae","alien","null","present","Argentina","ARG","Juniperus virginiana","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","[""terrestrial""]"
"Buglossoides arvensis (L.) I.M.Johnst.","species","Plantae","alien","null","present","Argentina","ARG","Buglossoides arvensis","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Quercus robur L.","species","Plantae","alien","null","present","Argentina","ARG","Quercus robur","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","[""terrestrial""]"
"Limax maximus Linnaeus, 1758","species","Animalia","alien","null","present","Argentina","ARG","Limax maximus","Animalia","Mollusca","Gastropoda","Stylommatophora","Limacidae","[""terrestrial""]"
"Mesembryanthemum nodiflorum L.","species","Plantae","alien","null","present","Argentina","ARG","Mesembryanthemum nodiflorum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Polydora ciliata (Johnston, 1838)","species","Animalia","alien","null","present","Argentina","ARG","Polydora ciliata","Animalia","Annelida","Polychaeta","Spionida","Spionidae","[""marine""]"
"Pyracantha atalantioides (Hance) Stapf","species","Plantae","alien","null","present","Argentina","ARG","Pyracantha atalantioides","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Salix caprea L.","species","Plantae","alien","invasive","present","Argentina","ARG","Salix caprea","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Setaria sphacelata Stapf & C.E.Hubb. ex M.B.Moss","species","Plantae","alien","null","present","Argentina","ARG","Setaria sphacelata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ondatra zibethicus (Linnaeus, 1766)","species","Animalia","alien","invasive","present","Argentina","ARG","Ondatra zibethicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","[""terrestrial"",""freshwater""]"
"Aethionema saxatile (L.) W.T.Aiton","species","Plantae","alien","null","present","Argentina","ARG","Aethionema saxatile","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Oulactis muscosa (Drayton, 1846)","species","Animalia","alien","null","present","Argentina","ARG","Oulactis muscosa","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","[""marine""]"
"Atriplex heterosperma Bunge","species","Plantae","alien","null","present","Argentina","ARG","Atriplex micrantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Corynephorus fasciculatus Boiss. & Reut.","species","Plantae","alien","invasive","present","Argentina","ARG","Corynephorus fasciculatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","invasive","present","Argentina","ARG","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Crepis setosa Haller f.","species","Plantae","alien","invasive","present","Argentina","ARG","Crepis setosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Halophiloscia couchii (Kinahan, 1858)","species","Animalia","alien","null","present","Argentina","ARG","Halophiloscia couchii","Animalia","Arthropoda","Malacostraca","Isopoda","Halophilosciidae","[""terrestrial""]"
"Aulactinia reyinaudi (Milne Edwards, 1857)","species","Animalia","alien","invasive","present","Argentina","ARG","Bunodactis reynaudi","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","[""marine""]"
"Eragrostis curvula Nees","species","Plantae","alien","invasive","present","Argentina","ARG","Eragrostis curvula","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Malva moschata L.","species","Plantae","alien","null","present","Argentina","ARG","Malva moschata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Carduus acanthoides L.","species","Plantae","alien","invasive","present","Argentina","ARG","Carduus acanthoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols","species","Fungi","alien","null","present","Argentina","ARG","Batrachochytrium dendrobatidis","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophydiales","Batrachochytrium","[""host""]"
"Syllis gracilis Grube, 1840","species","Animalia","alien","null","present","Argentina","ARG","Syllis gracilis","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","[""marine""]"
"Fraxinus pennsylvanica Marshall","species","Plantae","alien","invasive","present","Argentina","ARG","Fraxinus pennsylvanica","Plantae","Tracheophyta","Magnoliopsida","Oleales","Oleaceae","[""terrestrial""]"
"Platorchestia platensis (Krøyer, 1845)","species","Animalia","alien","null","present","Argentina","ARG","Orchestia platensis","Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","[""marine""]"
"Erodium malacoides (L.) L'Hér.","species","Plantae","alien","invasive","present","Argentina","ARG","Erodium malacoides","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Polygonum aviculare L.","species","Plantae","alien","invasive","present","Argentina","ARG","Polygonum aviculare","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Urtica urens L.","species","Plantae","alien","invasive","present","Argentina","ARG","Urtica urens","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]"
"Emilia fosbergii Nicolson","species","Plantae","alien","null","present","Argentina","ARG","Emilia fosbergii","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Salvelinus namaycush (Walbaum, 1792)","species","Animalia","alien","null","present","Argentina","ARG","Salvelinus namaycush","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater""]"
"Xanthomonas axonopodis Starr & Garces, 1950","species","Bacteria","alien","null","present","Argentina","ARG","Xanthomonas axonopodis","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","[""host""]"
"Pinus pinea L.","species","Plantae","alien","invasive","present","Argentina","ARG","Pinus pinea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","invasive","present","Argentina","ARG","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Caprella penantis Leach, 1814","species","Animalia","alien","null","present","Argentina","ARG","Caprella penantis","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","[""marine""]"
"Salmo salar Linnaeus, 1758","species","Animalia","alien","null","present","Argentina","ARG","Salmo salar","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Scleranthus annuus L.","species","Plantae","alien","invasive","present","Argentina","ARG","Scleranthus annuus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Python molurus (Linnaeus, 1758)","species","Animalia","alien","null","present","Argentina","ARG","Python molurus","Animalia","Chordata","Reptilia","Squamata","Pythonidae","[""terrestrial""]"
"Idotea metallica Bosc, 1802","species","Animalia","alien","null","present","Argentina","ARG","Idotea metallica","Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","[""marine""]"
"Onopordum acanthium L.","species","Plantae","alien","invasive","present","Argentina","ARG","Onopordum acanthium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Nuttallanthus canadensis (L.) D.A.Sutton","species","Plantae","alien","invasive","present","Argentina","ARG","Nuttallanthus canadensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Rupicapra rupicapra (Linnaeus, 1758)","species","Animalia","alien","null","present","Argentina","ARG","Rupicapra rupicapra","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]"
