"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Phlox drummondii","species","Plantae","alien","null","present","Austria","AUT","Phlox drummondii","Plantae","Tracheophyta","Magnoliopsida","Ericales","Polemoniaceae","[""terrestrial""]"
"Mus musculus Linnaeus, 1758","species","Animalia","alien","null","present","Austria","AUT","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Ulmus pumila","species","Plantae","alien","null","present","Austria","AUT","Ulmus pumila","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","[""terrestrial""]"
"Avena sativa","species","Plantae","alien","null","present","Austria","AUT","Avena sativa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Tragopogon pratensis subsp. minor (Mill.) Hartm.","subspecies","Plantae","alien","null","present","Austria","AUT","Tragopogon pratensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Artemisia annua","species","Plantae","alien","null","present","Austria","AUT","Artemisia annua","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Lignyodes bischoffi (Blatchley, 1916)","species","Animalia","alien","null","present","Austria","AUT","Thysanocnemis bischoffi","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Withius hispanus (L.Koch, 1873)","species","Animalia","alien","null","present","Austria","AUT","Withius hispanus","Animalia","Arthropoda","Arachnida","Pseudoscorpiones","Withiidae","[""terrestrial""]"
"Reseda alba","species","Plantae","alien","null","present","Austria","AUT","Reseda alba","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Resedaceae","[""terrestrial""]"
"Borago officinalis","species","Plantae","alien","null","present","Austria","AUT","Borago officinalis","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Gliricola porcelli (Schrank, 1781)","species","Animalia","alien","null","present","Austria","AUT","Gliricola porcelli","Animalia","Arthropoda","Insecta","Psocodea","Gyropidae","[""host""]"
"Niphargus hrabei S.Karaman, 1932","species","Animalia","alien","null","present","Austria","AUT","Niphargus hrabei","Animalia","Arthropoda","Malacostraca","Amphipoda","Niphargidae","[""freshwater""]"
"Datura wrightii","species","Plantae","alien","null","present","Austria","AUT","Datura wrightii","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Rhopalosiphum insertum Buckton, 1879","species","Animalia","alien","null","present","Austria","AUT","Rhopalosiphum oxyacanthae","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Carex vulpinoidea","species","Plantae","alien","null","present","Austria","AUT","Carex vulpinoidea","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Elodea nuttallii","species","Plantae","alien","null","present","Austria","AUT","Elodea nuttallii","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Erysimum pulchellum J.Gay","species","Plantae","alien","null","present","Austria","AUT","Erysimum pulchellum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Pteris multifida Poir.","species","Plantae","alien","null","present","Austria","AUT","Pteris multifida","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]"
"Cotula coronopifolia","species","Plantae","alien","null","present","Austria","AUT","Cotula coronopifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cryptocoryne crispatula subsp. balansae","subspecies","Plantae","alien","null","present","Austria","AUT","Cryptocoryne crispatula","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Rumex brownii","species","Plantae","alien","null","present","Austria","AUT","Rumex brownii","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Atyaephyra desmarestii (Millet, 1831)","species","Animalia","alien","null","present","Austria","AUT","Hippolyte desmarestii","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","[""freshwater"",""brackish""]"
"Aster novae-angliae","species","Plantae","alien","null","present","Austria","AUT","Aster novae-angliae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Atriplex hortensis","species","Plantae","alien","null","present","Austria","AUT","Atriplex hortensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Vicia cordata","species","Plantae","alien","null","present","Austria","AUT","Vicia cordata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Asperula orientalis","species","Plantae","alien","null","present","Austria","AUT","Asperula orientalis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Oinophila v-flava","species","Animalia","alien","null","present","Austria","AUT","Oinophila v-flava","Animalia","Arthropoda","Insecta","Lepidoptera","Tineidae","[""terrestrial""]"
"Salix x dascylados","hybrid_formula","Plantae","alien","null","present","Austria","AUT","Salix x dascylados","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Bergenia crassifolia","species","Plantae","alien","null","present","Austria","AUT","Bergenia crassifolia","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","[""terrestrial""]"
"Clematis glauca","species","Plantae","alien","null","present","Austria","AUT","Clematis glauca","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Forsythia x intermedia","hybrid_formula","Plantae","alien","null","present","Austria","AUT","Forsythia x intermedia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Cordylophora caspia (Pallas, 1771)","species","Animalia","alien","null","present","Austria","AUT","Cordylophora caspia","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Cordylophoridae","[""freshwater"",""brackish""]"
"Pastinaca sativa subsp. urens","subspecies","Plantae","alien","null","present","Austria","AUT","Pastinaca sativa","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Vitis labrusca","species","Plantae","alien","null","present","Austria","AUT","Vitis labrusca","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]"
"Veronica peregrina var. peregrina","variety","Plantae","alien","null","present","Austria","AUT","Veronica peregrina","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Psittacula krameri (Scopoli, 1769)","species","Animalia","alien","null","present","Austria","AUT","Psittacula krameri","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Eschscholzia californica","species","Plantae","alien","null","present","Austria","AUT","Eschscholzia californica","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Crocus flavus","species","Plantae","alien","null","present","Austria","AUT","Crocus flavus","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Bromus diandrus","species","Plantae","alien","null","present","Austria","AUT","Bromus diandrus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sitophilus linearis Hustache & A., 1930","species","Animalia","alien","null","present","Austria","AUT","Sitophilus linearis","Animalia","Arthropoda","Insecta","Coleoptera","Dryophthoridae","[""terrestrial""]"
"Lonicera involucrata","species","Plantae","alien","null","present","Austria","AUT","Lonicera involucrata","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Ph. cambivora x Ph. fragariae","species","Chromista","alien","invasive","present","Austria","AUT","Phalacroma lativelatum","Chromista","Myzozoa","Dinophyceae","Dinophysiales","Oxyphysaceae","[""marine""]"
"Quercus rubra","species","Plantae","alien","null","present","Austria","AUT","Quercus rubra","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","[""terrestrial""]"
"Veronica filiformis","species","Plantae","alien","null","present","Austria","AUT","Veronica filiformis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Melilotus sulcatus","species","Plantae","alien","null","present","Austria","AUT","Melilotus sulcatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Abutilon theophrasti","species","Plantae","alien","null","present","Austria","AUT","Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Monomorium pharaonis (Linnaeus, 1758)","species","Animalia","alien","null","present","Austria","AUT","Monomorium pharaonis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Papaver hybridum","species","Plantae","alien","null","present","Austria","AUT","Papaver hybridum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Eryngium giganteum","species","Plantae","alien","null","present","Austria","AUT","Eryngium giganteum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Asplenium ceterach L.","species","Plantae","alien","null","present","Austria","AUT","Asplenium ceterach","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Aspleniaceae","[""terrestrial""]"
"Eopineus strobus (Hartig, 1837)","species","Animalia","alien","null","present","Austria","AUT","Pineus strobi","Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","[""host""]"
"Cuphea lanceolata","species","Plantae","alien","null","present","Austria","AUT","Cuphea lanceolata","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Syringa vulgaris","species","Plantae","alien","null","present","Austria","AUT","Syringa vulgaris","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Apium graveolens subsp. rapaceum","subspecies","Plantae","alien","null","present","Austria","AUT","Apium graveolens","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Silene gallica","species","Plantae","alien","null","present","Austria","AUT","Silene gallica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Sorbaria sorbifolia","species","Plantae","alien","null","present","Austria","AUT","Sorbaria sorbifolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Cernuella neglecta (Draparnaud, 1805)","species","Animalia","alien","null","present","Austria","AUT","Xerocincta neglecta","Animalia","Mollusca","Gastropoda","Stylommatophora","Geomitridae","[""terrestrial""]"
"Dikerogammarus villosus (Sowinsky, 1894)","species","Animalia","alien","invasive","present","Austria","AUT","Dikerogammarus villosus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","[""freshwater"",""brackish""]"
"Contarinia quinquenotata (Low, 1888)","species","Animalia","alien","null","present","Austria","AUT","Contarinia quinquenotata","Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","[""terrestrial""]"
"Chaenomeles japonica x speciosa","hybrid_formula","Plantae","alien","null","present","Austria","AUT","Chaenomeles japonica x speciosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Althaea cannabina","species","Plantae","alien","null","present","Austria","AUT","Althaea cannabina","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Chenopodium berlandieri subsp. zschackei","subspecies","Plantae","alien","null","present","Austria","AUT","Chenopodium berlandieri","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Digitalis ferruginea","species","Plantae","alien","null","present","Austria","AUT","Digitalis ferruginea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Oryzaephilus mercator (Fauvel, 1889)","species","Animalia","alien","null","present","Austria","AUT","Oryzaephilus mercator","Animalia","Arthropoda","Insecta","Coleoptera","Silvanidae","[""terrestrial""]"
"Dikerogammarus bispinosus Martynov, 1925","species","Animalia","alien","null","present","Austria","AUT","Dikerogammarus bispinosus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","[""freshwater""]"
"Oenothera canovirens","species","Plantae","alien","null","present","Austria","AUT","Oenothera canovirens","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Setaria decipiens","species","Plantae","alien","null","present","Austria","AUT","Setaria decipiens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Setaria grisebachii","species","Plantae","alien","null","present","Austria","AUT","Setaria grisebachii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Myiopsitta monachus (Boddaert, 1783)","species","Animalia","alien","null","present","Austria","AUT","Myiopsitta monachus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Carphoborus rossicus Semenov Tjan-Shansky & A.P., 1902","species","Animalia","alien","null","present","Austria","AUT","Carphoborus rossicus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Oenothera oakesiana","species","Plantae","alien","null","present","Austria","AUT","Oenothera oakesiana","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Pimpinella anisum","species","Plantae","alien","null","present","Austria","AUT","Pimpinella anisum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Avena brevis","species","Plantae","alien","null","present","Austria","AUT","Avena brevis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Galeobdolon argentatum","species","Plantae","alien","null","present","Austria","AUT","Galeobdolon argentatum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Carpobrotus acinaciformis","species","Plantae","alien","null","present","Austria","AUT","Carpobrotus acinaciformis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
