"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Carassius carassius (Linnaeus, 1758)","species","Animalia","alien","null","present","Azerbaijan","AZE","Carassius carassius","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Solanum rostratum Dun.","species","Plantae","alien","null","present","Azerbaijan","AZE","Solanum angustifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","null","present","Azerbaijan","AZE","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hemiculter leucisculus (Basilewsky, 1855)","species","Animalia","alien","null","present","Azerbaijan","AZE","Hemiculter leucisculus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Procyon lotor (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Azerbaijan","AZE","Procyon lotor","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","[""terrestrial""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Azerbaijan","AZE","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Aedes albopictus Skuse, 1894","species","Animalia","alien","null","present","Azerbaijan","AZE","Aedes albopictus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Pinus halepensis Mill.","species","Plantae","alien","null","present","Azerbaijan","AZE","Pinus halepensis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Dreissena bugensis (Andrusov, 1897)","species","Animalia","alien","null","present","Azerbaijan","AZE","Dreissena bugensis","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","[""freshwater"",""brackish""]"
"Galinsoga parviflora Cav.","species","Plantae","alien","null","present","Azerbaijan","AZE","Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Nereis diversicolor O.F.Müller, 1776","species","Animalia","alien","null","present","Azerbaijan","AZE","Hediste diversicolor","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","[""marine""]"
"Xanthium strumarium Lour.","species","Plantae","alien","null","present","Azerbaijan","AZE","Xanthium strumarium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Azerbaijan","AZE","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Imperata cylindrica (L.) P.Beauv.","species","Plantae","alien","null","present","Azerbaijan","AZE","Imperata cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"West Nile virus (WNV)","species","Viruses","cryptogenic|uncertain","invasive","present","Azerbaijan","AZE","West Nile virus (WNV)","Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","[""host""]"
"Rhithropanopeus harrisii (Gould, 1841)","species","Animalia","alien","null","present","Azerbaijan","AZE","Rhithropanopeus harrisii","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","[""marine""]"
"Mugil cephalus Linnaeus, 1758","species","Animalia","alien","null","present","Azerbaijan","AZE","Mugil cephalus","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","[""freshwater"",""brackish"",""marine""]"
"Abra segmentum (Récluz, 1843)","species","Animalia","alien","null","present","Azerbaijan","AZE","Abra segmentum","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","[""marine""]"
"Centella asiatica (L.) Urb.","species","Plantae","alien","null","present","Azerbaijan","AZE","Centella asiatica","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Myocastor coypus (Molina, 1782)","species","Animalia","alien","invasive","present","Azerbaijan","AZE","Myocastor coypus","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae","[""terrestrial"",""freshwater""]"
"Glyphodes pyloalis Walker, 1859","species","Animalia","alien","null","present","Azerbaijan","AZE","Glyphodes pyloalis","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","[""terrestrial""]"
"Ambrosia artemisiifolia L.","species","Plantae","alien","null","present","Azerbaijan","AZE","Ambrosia artemisiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Dreissena polymorpha (Pallas, 1771)","species","Animalia","alien","null","present","Azerbaijan","AZE","Dreissena polymorpha","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","[""freshwater"",""brackish""]"
"Microstegium vimineum (Trin.) A.Camus","species","Plantae","alien","null","present","Azerbaijan","AZE","Microstegium vimineum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Mytilopsis leucophaeata (Conrad, 1831)","species","Animalia","alien","null","present","Azerbaijan","AZE","Mytilopsis leucophaeata","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","[""brackish""]"
"Pyrrhalta luteola (Müller, 1766)","species","Animalia","alien","null","present","Azerbaijan","AZE","Pyrrhalta luteola","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Palaemon elegans Rathke, 1837","species","Animalia","alien","null","present","Azerbaijan","AZE","Palaemon elegans","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","[""marine""]"
"Carassius gibelio (Bloch, 1782)","species","Animalia","alien","null","present","Azerbaijan","AZE","Carassius gibelio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Anguilla anguilla (Linnaeus, 1758)","species","Animalia","alien","null","present","Azerbaijan","AZE","Anguilla anguilla","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","[""freshwater"",""brackish"",""marine""]"
"Mytilaster lineatus (Gmelin, 1791)","species","Animalia","alien","invasive","present","Azerbaijan","AZE","Mytilaster lineatus","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","[""marine""]"
"Oxyura jamaicensis (Gmelin, 1789)","species","Animalia","alien","null","present","Azerbaijan","AZE","Oxyura jamaicensis","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater""]"
"Chelon saliens (Risso, 1810)","species","Animalia","alien","null","present","Azerbaijan","AZE","Chelon saliens","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","[""brackish"",""marine""]"
"Corbicula fluminalis (O.F.Müller, 1774)","species","Animalia","native|alien","null","present","Azerbaijan","AZE","Corbicula fluminalis","Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","[""freshwater""]"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","Azerbaijan","AZE","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Potamopyrgus antipodarum (Gray, 1843)","species","Animalia","alien","null","present","Azerbaijan","AZE","Potamopyrgus antipodarum","Animalia","Mollusca","Gastropoda","Littorinimorpha","Tateidae","[""freshwater"",""brackish""]"
"Aedes aegypti (Linnaeus, 1762)","species","Animalia","alien","null","present","Azerbaijan","AZE","Aedes aegypti","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Ips typographus (Linnaeus & C., 1758)","species","Animalia","alien","null","present","Azerbaijan","AZE","Ips typographus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Eupatorium cannabinum L.","species","Plantae","alien","invasive","present","Azerbaijan","AZE","Eupatorium cannabinum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Mnemiopsis leidyi A.Agassiz, 1865","species","Animalia","alien","invasive","present","Azerbaijan","AZE","Mnemiopsis leidyi","Animalia","Ctenophora","Tentaculata","Lobata","Bolinopsidae","[""freshwater"",""brackish"",""marine""]"
"Solanum elaeagnifolium Cav.","species","Plantae","alien","null","present","Azerbaijan","AZE","Solanum elaeagnifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Amphibalanus improvisus Darwin, 1854","species","Animalia","alien","invasive","present","Azerbaijan","AZE","Amphibalanus improvisus","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Nyctereutes procyonoides (Gray, 1834)","species","Animalia","alien","null","present","Azerbaijan","AZE","Nyctereutes procyonoides","Animalia","Chordata","Mammalia","Carnivora","Canidae","[""terrestrial""]"
"Chelon auratus (Risso, 1810)","species","Animalia","alien","null","present","Azerbaijan","AZE","Chelon auratus","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","[""freshwater"",""brackish"",""marine""]"
"Lotus corniculatus L.","species","Plantae","cryptogenic|uncertain","null","present","Azerbaijan","AZE","Lotus corniculatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lumbricus rubellus Hoffmeister, 1843","species","Animalia","alien","null","present","Azerbaijan","AZE","Lumbricus rubellus","Animalia","Annelida","Clitellata","Crassiclitellata","Lumbricidae","[""terrestrial""]"
"Ophiostoma novo-ulmi Brasier","species","Fungi","alien","invasive","present","Azerbaijan","AZE","Ophiostoma novo-ulmi","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","[""host""]"
"Pseudorasbora parva (Temminck & Schlegel, 1846)","species","Animalia","alien","null","present","Azerbaijan","AZE","Pseudorasbora parva","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Newcastle disease virus (NDV)","species","Viruses","cryptogenic|uncertain","invasive","present","Azerbaijan","AZE","Newcastle disease virus (NDV)","Viruses","NOT ASSIGNED","NOT ASSIGNED","Mononegavirales","Paramyxoviridae","[""host""]"
"Dreissena grimmi Andrusov, 1897","species","Animalia","alien","null","present","Azerbaijan","AZE","Dreissena rostriformis","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","[""freshwater"",""brackish""]"
"Cervus nippon Temminck, 1838","species","Animalia","alien","null","present","Azerbaijan","AZE","Cervus nippon","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","[""terrestrial""]"
"Cerastoderma glaucum (Bruguière, 1789)","species","Animalia","alien","null","present","Azerbaijan","AZE","Cerastoderma glaucum","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","[""brackish"",""marine""]"
"Abra ovata (Philippi, 1836)","species","Animalia","alien","null","present","Azerbaijan","AZE","Abra segmentum","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","[""marine""]"
