"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Jatropha curcas L.","species","Plantae","alien","null","present","Bahamas","BHS","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Setaria verticillata (L.) P.Beauv.","species","Plantae","alien","null","present","Bahamas","BHS","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Albizia lebbeck (L.) Benth.","species","Plantae","alien","invasive","present","Bahamas","BHS","Albizia lebbeck","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Acacia farnesiana (L.) Willd.","species","Plantae","alien","null","present","Bahamas","BHS","Vachellia farnesiana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Casuarina glauca Sieber","species","Plantae","alien","invasive","present","Bahamas","BHS","Casuarina glauca","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Tapinoma melanocephalum (Fabricius, 1793)","species","Animalia","alien","invasive","present","Bahamas","BHS","Tapinoma melanocephalum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Melaleuca quinquenervia (Cav.) S.T.Blake","species","Plantae","alien","invasive","present","Bahamas","BHS","Melaleuca quinquenervia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Cactoblastis cactorum Berg, 1885","species","Animalia","alien","invasive","present","Bahamas","BHS","Cactoblastis cactorum","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","[""terrestrial""]"
"Prunus amygdalus (L.) Batsch","species","Plantae","alien","invasive","present","Bahamas","BHS","Prunus dulcis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Nannochloropsis oculata (Droop) Hibberd, 1981","species","Chromista","alien","invasive","present","Bahamas","BHS","Nannochloropsis oculata","Chromista","Ochrophyta","Eustigmatophyceae","Eustigmatales","Monodopsidaceae","[""freshwater"",""brackish""]"
"Pheidole megacephala (Fabricius, 1793)","species","Animalia","alien","invasive","present","Bahamas","BHS","Pheidole megacephala","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Bahamas","BHS","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Sansevieria hyacinthoides (L.) Druce","species","Plantae","alien","null","present","Bahamas","BHS","Sansevieria hyacinthoides","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Abrus precatorius L.","species","Plantae","alien","invasive","present","Bahamas","BHS","Abrus precatorius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Sciaenops ocellatus (Linnaeus, 1766)","species","Animalia","alien","null","present","Bahamas","BHS","Sciaenops ocellatus","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","[""brackish"",""marine""]"
"Cenchrus ciliaris L.","species","Plantae","alien","null","present","Bahamas","BHS","Cenchrus ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pantherophis guttatus (Linnaeus, 1766)","species","Animalia","alien","null","present","Bahamas","BHS","Pantherophis guttatus","Animalia","Chordata","Reptilia","Squamata","Colubridae","[""terrestrial""]"
"Haematoxylon campechianum L.","species","Plantae","alien","invasive","present","Bahamas","BHS","Haematoxylon campechianum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Kalanchoe pinnata Pers.","species","Plantae","alien","null","present","Bahamas","BHS","Kalanchoe pinnata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pterois volitans (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Bahamas","BHS","Pterois volitans","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","[""marine""]"
"Asystasia gangetica T.Anderson","species","Plantae","alien","null","present","Bahamas","BHS","Asystasia gangetica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Cyclura rileyi nuchalis Barbour & Noble, 1916","subspecies","Animalia","alien","null","present","Bahamas","BHS","Cyclura rileyi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","[""terrestrial""]"
"Cissus sicyoides L.","species","Plantae","alien","null","present","Bahamas","BHS","Cissus verticillata","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]"
"Kalanchoe delagoensis Eckl. & Zeyh.","species","Plantae","alien","null","present","Bahamas","BHS","Kalanchoe delagoensis","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Veitchia merrillii (Becc.) H.E.Moore","species","Plantae","alien","null","present","Bahamas","BHS","Adonidia merrillii","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Jasminum fluminense Vell.","species","Plantae","alien","invasive","present","Bahamas","BHS","Jasminum fluminense","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
