"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Calendula tripterocarpa Rupr.","species","Plantae","alien","null","present","Bahrain","BHR","Calendula tripterocarpa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Foudia madagascariensis (Linnaeus, 1766)","species","Animalia","alien","null","present","Bahrain","BHR","Foudia madagascariensis","Animalia","Chordata","Aves","Passeriformes","Ploceidae","[""terrestrial""]"
"Francolinus pondicerianus (Gmelin, 1789)","species","Animalia","alien","null","present","Bahrain","BHR","Francolinus pondicerianus","Animalia","Chordata","Aves","Galliformes","Phasianidae","[""terrestrial""]"
"Leptochloa fusca Forssk.","species","Plantae","alien","null","present","Bahrain","BHR","Leptochloa fusca","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Capparis leucophylla DC.","species","Plantae","alien","null","present","Bahrain","BHR","Capparis spinosa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Capparaceae","[""terrestrial""]"
"Halophila stipulacea Asch.","species","Plantae","alien","null","present","Bahrain","BHR","Halophila stipulacea","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""marine""]"
"Orobanche ramosa L.","species","Plantae","alien","null","present","Bahrain","BHR","Phelipanche ramosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Datura innoxia Mill.","species","Plantae","alien","null","present","Bahrain","BHR","Datura innoxia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Pycnonotus cafer (Linnaeus, 1766)","species","Animalia","alien","invasive","present","Bahrain","BHR","Pycnonotus cafer","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","[""terrestrial""]"
"Aster squamatus Hieron.","species","Plantae","alien","null","present","Bahrain","BHR","Aster squamatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
