"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Tor putitora (Hamilton, 1822)","species","Animalia","alien","null","present","Bangladesh","BGD","Tor putitora","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Artocarpus heterophyllus Lam.","species","Plantae","alien","null","present","Bangladesh","BGD","Artocarpus heterophyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Thuja orientalis L.","species","Plantae","cryptogenic|uncertain","null","present","Bangladesh","BGD","Platycladus orientalis","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","[""terrestrial""]"
"Dendrophthoe falcata Blume","species","Plantae","cryptogenic|uncertain","null","present","Bangladesh","BGD","Dendrophthoe falcata","Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","[""host""]"
"Pistia stratiotes L.","species","Plantae","alien","null","present","Bangladesh","BGD","Pistia stratiotes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Mussaenda erythrophylla Schumach. & Thonn.","species","Plantae","cryptogenic|uncertain","null","present","Bangladesh","BGD","Mussaenda erythrophylla","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Ageratina altissima (L.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Bangladesh","BGD","Ageratina altissima","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Araucaria columnaris Hook.","species","Plantae","cryptogenic|uncertain","null","present","Bangladesh","BGD","Araucaria columnaris","Plantae","Tracheophyta","Pinopsida","Pinales","Araucariaceae","[""terrestrial""]"
"Clerodendrum viscosum Vent.","species","Plantae","alien","null","present","Bangladesh","BGD","Clerodendrum viscosum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Imperata cylindrica P.Beauv.","species","Plantae","alien","invasive","present","Bangladesh","BGD","Imperata cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Senna occidentalis (L.) Link","species","Plantae","alien","invasive","present","Bangladesh","BGD","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Heliconia bihai L.f.","species","Plantae","alien","null","present","Bangladesh","BGD","Heliconia bihai","Plantae","Tracheophyta","Liliopsida","Zingiberales","Heliconiaceae","[""terrestrial""]"
"Mikania micrantha Kunth","species","Plantae","alien","invasive","present","Bangladesh","BGD","Mikania micrantha","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acrostichum aureum L.","species","Plantae","cryptogenic|uncertain","invasive","present","Bangladesh","BGD","Acrostichum aureum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]"
"Pinus oocarpa Schiede ex Schltdl.","species","Plantae","alien","null","present","Bangladesh","BGD","Pinus oocarpa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Opuntia monacantha (Willd.) Haw.","species","Plantae","alien","invasive","present","Bangladesh","BGD","Opuntia monacantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Cryptocoryne ciliata Fisch. ex Schott","species","Plantae","cryptogenic|uncertain","null","present","Bangladesh","BGD","Cryptocoryne ciliata","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Hyptis suaveolens (L.) Poit.","species","Plantae","alien","null","present","Bangladesh","BGD","Mesosphaerum suaveolens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Lagerstroemia speciosa Pers.","species","Plantae","alien","null","present","Bangladesh","BGD","Lagerstroemia speciosa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Alocasia macrorrhizos (L.) G.Don","species","Plantae","alien","null","present","Bangladesh","BGD","Alocasia macrorrhizos","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Pimenta dioica (L.) Merr.","species","Plantae","alien","null","present","Bangladesh","BGD","Pimenta dioica","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Mimosa pudica L.","species","Plantae","alien","invasive","present","Bangladesh","BGD","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Salacia prinoides (Willd.) DC.","species","Plantae","cryptogenic|uncertain","null","present","Bangladesh","BGD","Salacia chinensis","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","[""terrestrial""]"
"Echinochloa crus-galli (L.) P.Beauv.","species","Plantae","alien","null","present","Bangladesh","BGD","Echinochloa crus-galli","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","Bangladesh","BGD","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Clarias gariepinus (Burchell, 1822)","species","Animalia","alien","null","present","Bangladesh","BGD","Clarias gariepinus","Animalia","Chordata","Actinopterygii","Siluriformes","Clariidae","[""freshwater""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Bangladesh","BGD","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Trichopodus pectoralis Regan, 1910","species","Animalia","alien","null","present","Bangladesh","BGD","Trichopodus pectoralis","Animalia","Chordata","Actinopterygii","Perciformes","Osphronemidae","[""freshwater""]"
"Typha domingensis Pers.","species","Plantae","cryptogenic|uncertain","null","present","Bangladesh","BGD","Typha domingensis","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","[""terrestrial"",""freshwater"",""brackish""]"
"Psidium guajava L.","species","Plantae","alien","null","present","Bangladesh","BGD","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
