"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Geochelone carbonaria Williams, 1960","species","Animalia","alien","null","present","Barbados","BRB","Chelonoidis carbonarius","Animalia","Chordata","Reptilia","Testudines","Testudinidae","[""terrestrial"",""freshwater""]"
"Allamanda cathartica L.","species","Plantae","alien","null","present","Barbados","BRB","Allamanda cathartica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Indigofera spicata Forssk.","species","Plantae","alien","null","present","Barbados","BRB","Indigofera spicata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Sansevieria hyacinthoides (L.) Druce","species","Plantae","alien","invasive","present","Barbados","BRB","Sansevieria hyacinthoides","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs","species","Plantae","alien","null","present","Barbados","BRB","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Acacia nilotica (L.) Willd.","species","Plantae","alien","null","present","Barbados","BRB","Vachellia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Veronicella cubensis (L.Pfeiffer, 1840)","species","Animalia","alien","null","present","Barbados","BRB","Veronicella cubensis","Animalia","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","[""terrestrial""]"
"Melia azedarach L.","species","Plantae","alien","null","present","Barbados","BRB","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Ficus benjamina L.","species","Plantae","alien","null","present","Barbados","BRB","Ficus benjamina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Trachemys scripta subsp. elegans (Wied, 1838)","subspecies","Animalia","alien","null","present","Barbados","BRB","Trachemys scripta","Animalia","Chordata","Reptilia","Testudines","Emydidae","[""terrestrial"",""freshwater""]"
"Clerodendrum indicum Kuntze","species","Plantae","alien","null","present","Barbados","BRB","Clerodendrum indicum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Syllophopsis sechellensis (Emery, 1894)","species","Animalia","alien","null","present","Barbados","BRB","Paratrechina madagascarensis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Spathoglottis plicata Blume","species","Plantae","alien","null","present","Barbados","BRB","Spathoglottis plicata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]"
"Alysicarpus vaginalis (L.) A.DC.","species","Plantae","alien","null","present","Barbados","BRB","Alysicarpus vaginalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Gymnophthalmus underwoodi Grant, 1958","species","Animalia","alien","null","present","Barbados","BRB","Gymnophthalmus underwoodi","Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","[""terrestrial""]"
"Psittacula krameri (Scopoli, 1769)","species","Animalia","alien","invasive","present","Barbados","BRB","Psittacula krameri","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Hemidactylus mabouia (Moreau De Jonnès, 1818)","species","Animalia","alien","null","present","Barbados","BRB","Hemidactylus mabouia","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]"
"Columba livia Gmelin, 1789","species","Animalia","alien","null","present","Barbados","BRB","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Pheidole teneriffana Forel, 1893","species","Animalia","alien","null","present","Barbados","BRB","Pheidole teneriffana","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Tetramorium simillimum (Smith, 1851)","species","Animalia","alien","null","present","Barbados","BRB","Tetramorium simillimum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Asystasia gangetica T.Anderson","species","Plantae","alien","null","present","Barbados","BRB","Asystasia gangetica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Thunbergia alata Sims","species","Plantae","alien","null","present","Barbados","BRB","Thunbergia alata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Bambusa vulgaris Schrad. ex J.C.Wendl.","species","Plantae","alien","null","present","Barbados","BRB","Bambusa vulgaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Xanthosoma sagittifolium (L.) Schott","species","Plantae","alien","null","present","Barbados","BRB","Xanthosoma sagittifolium","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Terminalia catappa L.","species","Plantae","alien","invasive","present","Barbados","BRB","Terminalia catappa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]"
