"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Thymus citriodorus (Pers.) Schreb.","species","Plantae","alien","null","present","Belgium","BEL","Thymus citriodorus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Matricaria aurea Sch.Bip.","species","Plantae","alien","null","present","Belgium","BEL","Matricaria aurea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Brachypodium distachyon (L.) P.Beauv.","species","Plantae","alien","null","present","Belgium","BEL","Brachypodium distachyon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Typha minima Funck","species","Plantae","alien","null","present","Belgium","BEL","Typha minima","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","[""terrestrial"",""freshwater""]"
"Philadelphus x virginalis Rehder","hybrid_formula","Plantae","alien","null","present","Belgium","BEL","Philadelphus virginalis","Plantae","Tracheophyta","Magnoliopsida","Cornales","Hydrangeaceae","[""terrestrial""]"
"Allium christophii Trautv.","species","Plantae","alien","null","present","Belgium","BEL","Allium christophii","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Scilla sardensis (Barr & Sugden) Speta","species","Plantae","alien","null","present","Belgium","BEL","Scilla sardensis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Bonamia ostreae Pichot, Comps, Tigé, Grizel & Rabouin, 1980","species","Protozoa","alien","null","present","Belgium","BEL","Bonamia ostreae","Protozoa","Cercozoa","Ascetosporea","Haplosporida","Haplosporididae","[""host""]"
"Carduus pycnocephalus L.","species","Plantae","alien","null","present","Belgium","BEL","Carduus pycnocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Alchemilla mollis (Buser) Rothm.","species","Plantae","alien","null","present","Belgium","BEL","Alchemilla mollis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Lupinus luteus L.","species","Plantae","alien","null","present","Belgium","BEL","Lupinus luteus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Setaria viridis (L.) P.Beauv.","species","Plantae","alien","null","present","Belgium","BEL","Setaria viridis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Fimbristylis dichotoma (L.) Vahl","species","Plantae","alien","null","present","Belgium","BEL","Fimbristylis dichotoma","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Malvastrum coromandelianum (L.) Garcke","species","Plantae","alien","null","present","Belgium","BEL","Malvastrum coromandelianum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Bugulina stolonifera (Ryland, 1960)","species","Animalia","alien","null","present","Belgium","BEL","Bugulina stolonifera","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","[""marine""]"
"Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.","subspecies","Plantae","alien","null","present","Belgium","BEL","Medicago tornata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Zinnia angustifolia var. angustifolia","variety","Plantae","alien","null","present","Belgium","BEL","Zinnia angustifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Conringia austriaca Sweet","species","Plantae","alien","null","present","Belgium","BEL","Conringia austriaca","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Ligularia dentata (A.Gray) Hara","species","Plantae","alien","null","present","Belgium","BEL","Ligularia dentata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Malcolmia maritima (L.) R.Br.","species","Plantae","alien","null","present","Belgium","BEL","Malcolmia maritima","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Quistadrilus multisetosus (Smith, 1900)","species","Animalia","alien","null","present","Belgium","BEL","Quistadrilus multisetosus","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","[""freshwater""]"
"Cenchrus alopecuroides Thunb.","species","Plantae","alien","null","present","Belgium","BEL","Cenchrus alopecuroides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Psittacula eupatria (Linnaeus, 1766)","species","Animalia","alien","null","present","Belgium","BEL","Psittacula eupatria","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Pellenes geniculatus (Simon, 1868)","species","Animalia","alien","null","present","Belgium","BEL","Pellenes geniculatus","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","[""terrestrial""]"
"Latrodectus hasselti Thorell, 1870","species","Animalia","alien","null","present","Belgium","BEL","Latrodectus hasselti","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","[""terrestrial""]"
"Odontites luteus (L.) Clairv.","species","Plantae","alien","null","present","Belgium","BEL","Odontites luteus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Verbascum divaricatum Kitt.","species","Plantae","alien","null","present","Belgium","BEL","Verbascum divaricatum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","[""terrestrial""]"
"Fagopyrum esculentum Moench","species","Plantae","alien","null","present","Belgium","BEL","Fagopyrum esculentum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Salix myrsinifolia Salisb.","species","Plantae","alien","null","present","Belgium","BEL","Salix myrsinifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Sorbaria kirilowii (Regel & Tiling) Maxim.","species","Plantae","alien","null","present","Belgium","BEL","Sorbaria kirilowii","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Cullen americanum Rydb.","species","Plantae","alien","null","present","Belgium","BEL","Cullen americanum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Buteo auguralis Salvadori, 1865","species","Animalia","alien","null","present","Belgium","BEL","Buteo auguralis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","[""terrestrial""]"
"Limonium sinuatum (L.) Mill.","species","Plantae","alien","null","present","Belgium","BEL","Limonium sinuatum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","[""terrestrial""]"
