"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols","species","Fungi","alien","null","present","Bolivia (Plurinational State of)","BOL","Batrachochytrium dendrobatidis","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophydiales","Batrachochytrium","[""host""]"
"Tribulus cistoides L.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Tribulus cistoides","Plantae","Tracheophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae","[""terrestrial""]"
"Cecropia strigosa Trécul","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Cecropia strigosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]"
"Egeria densa Planch.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Egeria densa","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Spergularia arvensis (L.) Cambess.","species","Plantae","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Spergula arvensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Oryctolagus cuniculus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Oryctolagus cuniculus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","[""terrestrial""]"
"Salmo trutta Linnaeus, 1758","species","Animalia","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Salmo trutta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Valerianella locusta (L.) Laterr.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Valerianella locusta","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Typha angustifolia L.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Typha angustifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","[""terrestrial"",""freshwater""]"
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","null","present","Bolivia (Plurinational State of)","BOL","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Myriophyllum aquaticum Verdc.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Myriophyllum aquaticum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","[""freshwater""]"
"Vespula germanica (Fabricius, 1793)","species","Animalia","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Vespula germanica","Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","[""terrestrial""]"
"Panicum maximum Jacq.","species","Plantae","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Astraea lobata Klotzsch","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Astraea lobata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Rhipicephalus microplus Canestrini, 1888","species","Animalia","alien","null","present","Bolivia (Plurinational State of)","BOL","Rhipicephalus microplus","Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","[""host""]"
"Trisetum spicatum (L.) K.Richt.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Trisetum spicatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Oeceoclades maculata Lindl.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Oeceoclades maculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]"
"Piaractus brachypomus (Cuvier, 1818)","species","Animalia","alien","null","present","Bolivia (Plurinational State of)","BOL","Piaractus brachypomus","Animalia","Chordata","Actinopterygii","Characiformes","Serrasalmidae","[""freshwater""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
