"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Avena fatua L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Avena fatua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Amaranthus blitoides S.Watson","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Amaranthus blitoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Ipomoea purpurea (L.) Roth","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Ipomoea purpurea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Lupinus polyphyllus Lindl.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Lupinus polyphyllus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Actinidia chinensis Planch.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Actinidia chinensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Actinidiaceae","[""terrestrial""]"
"Artemisia annua L.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Artemisia annua","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oxalis corniculata L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Artemisia verlotiorum Lamotte","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Artemisia verlotiorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Phytolacca americana L.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Phytolacca americana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","[""terrestrial""]"
"Amaranthus crispus (Lesp. & Thév.) N.Terracc.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Amaranthus crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Helianthus annuus L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Helianthus annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rudbeckia laciniata L.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Rudbeckia laciniata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ailanthus altissima Swingle","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Tradescantia fluminensis Vell.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Tradescantia fluminensis","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Ameiurus melas (Rafinesque, 1820)","species","Animalia","alien","null","present","Bosnia and Herzegovina","BIH","Ameiurus melas","Animalia","Chordata","Actinopterygii","Siluriformes","Ictaluridae","[""freshwater""]"
"Papaver somniferum L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Papaver somniferum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Laurus nobilis L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Laurus nobilis","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]"
"Galanthus elwesii Hook.f.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Galanthus elwesii","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Callistephus chinensis Nees","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Callistephus chinensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hordeum vulgare L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Hordeum vulgare","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Xanthium orientale subsp. italicum (Moretti) Greuter","subspecies","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Xanthium orientale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ondatra zibethicus (Linnaeus, 1766)","species","Animalia","alien","null","present","Bosnia and Herzegovina","BIH","Ondatra zibethicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","[""terrestrial"",""freshwater""]"
"Tanacetum parthenium Sch.Bip.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Tanacetum parthenium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Amaranthus retroflexus L.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Amaranthus retroflexus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Aedes albopictus Skuse, 1894","species","Animalia","alien","null","present","Bosnia and Herzegovina","BIH","Aedes albopictus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Gaillardia pulchella Foug.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Gaillardia pulchella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tagetes minuta L.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Tagetes minuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)","species","Animalia","alien","null","present","Bosnia and Herzegovina","BIH","Herpestes javanicus","Animalia","Chordata","Mammalia","Carnivora","Herpestidae","[""terrestrial""]"
"Ipomoea indica (Burm.) Merr.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Ipomoea indica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Reynoutria japonica Houtt.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Reynoutria japonica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial"",""freshwater""]"
"Lamprocapnos spectabilis (L.) T.Fukuhara","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Fumaria barnolae","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Bidens subalternans DC.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Bidens subalternans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sinapis arvensis L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Sinapis arvensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Euphorbia nutans Lag.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Euphorbia nutans","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Xanthium spinosum L.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Papaver rhoeas L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Papaver rhoeas","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Aesculus hippocastanum L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Aesculus hippocastanum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Mahonia aquifolium (Pursh) Nutt.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Berberis aquifolium","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","[""terrestrial""]"
"Symphyotrichum novae-angliae (L.) G.L.Nesom","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Symphyotrichum novae-angliae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Commelina L.","genus","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Commelina sp.","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Lactuca sativa L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Lactuca sativa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acorus calamus L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Acorus calamus","Plantae","Tracheophyta","Liliopsida","Acorales","Acoraceae","[""terrestrial"",""freshwater""]"
"Zinnia elegans Jacq.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Zinnia elegans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tagetes erecta L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Tagetes erecta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","null","present","Bosnia and Herzegovina","BIH","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Erigeron annuus Pers.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Erigeron annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sorghum bicolor (L.) Moench","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Sorghum bicolor","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Linum usitatissimum L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Linum usitatissimum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","[""terrestrial""]"
"Lens culinaris Medik.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Lens culinaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Tropaeolum majus L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Tropaeolum majus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","[""terrestrial""]"
"Centaurea benedicta (L.) L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Centaurea benedicta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Physocarpus opulifolius (L.) Maxim.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Physocarpus opulifolius","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Impatiens parviflora DC.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Impatiens parviflora","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Cercis siliquastrum L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Cercis siliquastrum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lobularia maritima (L.) Desv.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Lobularia maritima","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Tradescantia virginiana L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Tradescantia virginiana","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Wisteria sinensis Sweet","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Wisteria sinensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Portulaca oleracea L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]"
"Cyanus segetum Hill","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Centaurea cyanus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Amorpha fruticosa L.","species","Plantae","alien","invasive","present","Bosnia and Herzegovina","BIH","Amorpha fruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Petroselinum crispum (Mill.) A.W.Hill","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Petroselinum crispum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Impatiens balsamina L.","species","Plantae","alien","null","present","Bosnia and Herzegovina","BIH","Impatiens balsamina","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
