"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Thlaspi arvense L.","species","Plantae","alien","null","present","Brazil","BRA","Sinapis arvensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Cerastium commersonianum Ser.","species","Plantae","alien","null","present","Brazil","BRA","Cerastium commersonianum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Parthenium hysterophorus L.","species","Plantae","alien","null","present","Brazil","BRA","Parthenium hysterophorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Arachniodes macrostegia (Hook.) R.M.Tryon & D.S.Conant","species","Plantae","alien","null","present","Brazil","BRA","Olfersia macrostegia","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","[""terrestrial""]"
"Veronica serpyllifolia L.","species","Plantae","alien","null","present","Brazil","BRA","Veronica serpyllifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Themeda quadrivalvis (L.) Kuntze","species","Plantae","alien","null","present","Brazil","BRA","Themeda quadrivalvis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Artemisia vulgaris L.","species","Plantae","alien","null","present","Brazil","BRA","Artemisia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Calotropis gigantea (L.) W.T.Aiton","species","Plantae","alien","null","present","Brazil","BRA","Calotropis gigantea","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Sonchus asper Hill","species","Plantae","alien","invasive","present","Brazil","BRA","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Citrus reticulata Blanco","species","Plantae","alien","null","present","Brazil","BRA","Citrus reticulata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]"
"Euphorbia hirta L.","species","Plantae","alien","null","present","Brazil","BRA","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Crassostrea virginica (Gmelin, 1791)","species","Animalia","alien","null","present","Brazil","BRA","Crassostrea virginica","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","[""marine""]"
"Amphibalanus subalbidus (Henry, 1973)","species","Animalia","alien","null","present","Brazil","BRA","Amphibalanus subalbidus","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Pinus clausa (Chapm. ex Engelm.) Sarg.","species","Plantae","alien","null","present","Brazil","BRA","Pinus clausa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Crotalaria lanceolata E.Mey.","species","Plantae","alien","null","present","Brazil","BRA","Crotalaria lanceolata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","invasive","present","Brazil","BRA","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Callithrix jacchus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Brazil","BRA","Callithrix jacchus","Animalia","Chordata","Mammalia","Primates","Callitrichidae","[""terrestrial""]"
"Gaillardia aristata Pursh","species","Plantae","alien","null","present","Brazil","BRA","Gaillardia aristata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Plagioscion squamosissimus (Heckel, 1840)","species","Animalia","alien","invasive","present","Brazil","BRA","Plagioscion squamosissimus","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","[""freshwater""]"
"Drosophila simulans Sturtevant, 1919","species","Animalia","alien","null","present","Brazil","BRA","Drosophila simulans","Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","[""terrestrial""]"
"Cyperus strigosus L.","species","Plantae","alien","null","present","Brazil","BRA","Cyperus strigosus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Digitaria insularis (L.) Mez ex Ekman","species","Plantae","alien","null","present","Brazil","BRA","Digitaria insularis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Physella acuta (Draparnaud, 1805)","species","Animalia","alien","null","present","Brazil","BRA","Physella acuta","Animalia","Mollusca","Gastropoda","Stylommatophora","Spiraxidae","[""freshwater""]"
"Phyllopodopsyllus setouchiensis Kitazima, 1981","species","Animalia","alien","null","present","Brazil","BRA","Phyllopodopsyllus setouchiensis","Animalia","Arthropoda","Hexanauplia","Harpacticoida","Tetragonicipitidae","[""marine""]"
"Medicago arabica (L.) Huds.","species","Plantae","alien","invasive","present","Brazil","BRA","Medicago arabica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Najas graminea Delile","species","Plantae","alien","null","present","Brazil","BRA","Najas graminea","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Robinia pseudoacacia L.","species","Plantae","alien","invasive","present","Brazil","BRA","Robinia pseudoacacia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Buddleja madagascariensis Lam.","species","Plantae","alien","null","present","Brazil","BRA","Buddleja madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","[""terrestrial""]"
"Datura innoxia Mill.","species","Plantae","alien","null","present","Brazil","BRA","Datura innoxia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Falcataria moluccana (Miq.) Barneby & J.W.Grimes","species","Plantae","alien","null","present","Brazil","BRA","Falcataria moluccana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Opuntia stricta (Haw.) Haw.","species","Plantae","alien","null","present","Brazil","BRA","Opuntia stricta","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Hylocereus undatus (Haw.) Britton & Rose","species","Plantae","alien","null","present","Brazil","BRA","Hylocereus undatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Corbicula fluminalis (O.F.Müller, 1774)","species","Animalia","alien","null","present","Brazil","BRA","Corbicula fluminalis","Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","[""freshwater""]"
"Sterculia foetida L.","species","Plantae","alien","null","present","Brazil","BRA","Sterculia foetida","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Tagetes minuta L.","species","Plantae","alien","null","present","Brazil","BRA","Tagetes minuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acacia caven (Molina) Molina","species","Plantae","alien","null","present","Brazil","BRA","Vachellia caven","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Pseudopolydora antennata (Claparède, 1869)","species","Animalia","alien","null","present","Brazil","BRA","Pseudopolydora antennata","Animalia","Annelida","Polychaeta","Spionida","Spionidae","[""marine""]"
"Nephrolepis cordifolia (L.) C.Presl","species","Plantae","alien","null","present","Brazil","BRA","Nephrolepis cordifolia","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Nephrolepidaceae","[""terrestrial""]"
"Micropterus salmoides (Lacepède, 1802)","species","Animalia","alien","invasive","present","Brazil","BRA","Micropterus salmoides","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","[""freshwater""]"
"Digitaria horizontalis Willd.","species","Plantae","alien","null","present","Brazil","BRA","Digitaria horizontalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Crotalaria retusa L.","species","Plantae","alien","null","present","Brazil","BRA","Crotalaria retusa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Pachira aquatica Aubl.","species","Plantae","alien","null","present","Brazil","BRA","Pachira aquatica","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
