"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Passiflora foetida L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Cyperus sphacelatus Rottb.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Cyperus sphacelatus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Gossypium barbadense Raf.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Gossypium barbadense","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Syngonium podophyllum Schott","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Syngonium podophyllum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]"
"Cryptostegia grandiflora R.Br.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Cryptostegia grandiflora","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Eucalyptus camaldulensis Dehnh.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Eucalyptus camaldulensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Litchi chinensis Sonn.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Litchi chinensis","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Delonix regia (Bojer) Raf.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Delonix regia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Anacardium occidentale L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Anacardium occidentale","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Limnocharis flava Buchenau","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Limnocharis flava","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","[""terrestrial"",""freshwater""]"
"Kyllinga polyphylla Willd.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Cyperus aromaticus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Senna siamea (Lamarck) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Senna siamea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Calotes versicolor (Daudin, 1802)","species","Animalia","alien","null","present","Brunei Darussalam","BRN","Calotes versicolor","Animalia","Chordata","Reptilia","Squamata","Agamidae","[""terrestrial""]"
"Piaractus brachypomus (Cuvier, 1818)","species","Animalia","alien","null","present","Brunei Darussalam","BRN","Piaractus brachypomus","Animalia","Chordata","Actinopterygii","Characiformes","Serrasalmidae","[""freshwater""]"
"Hylarana erythraea (Schlegel, 1837)","species","Animalia","alien","null","present","Brunei Darussalam","BRN","Hylarana erythraea","Animalia","Chordata","Amphibia","Anura","Ranidae","[""terrestrial"",""freshwater""]"
"Tripsacum dactyloides (L.) L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Tripsacum dactyloides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pithecellobium dulce (Roxb.) Benth.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Pithecellobium dulce","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cosmos caudatus Kunth","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Cosmos caudatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cenchrus echinatus L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Cenchrus echinatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Clarias gariepinus (Burchell, 1822)","species","Animalia","alien","null","present","Brunei Darussalam","BRN","Clarias gariepinus","Animalia","Chordata","Actinopterygii","Siluriformes","Clariidae","[""freshwater""]"
"Viscum articulatum Burm.f.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Viscum articulatum","Plantae","Tracheophyta","Magnoliopsida","Santalales","Santalaceae","[""host""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","null","present","Brunei Darussalam","BRN","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Plumeria obtusa L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Plumeria obtusa","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Adenanthera pavonina L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Adenanthera pavonina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ageratum conyzoides L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Ageratum conyzoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Mimosa pudica L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Allamanda cathartica L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Allamanda cathartica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Xanthosoma sagittifolium (L.) Schott","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Xanthosoma sagittifolium","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Crateva nurvala Buch.-Ham.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Crateva magna","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Capparaceae","[""terrestrial""]"
"Mikania micrantha Kunth","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Mikania micrantha","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Artocarpus heterophyllus Lam.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Artocarpus heterophyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","null","present","Brunei Darussalam","BRN","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Hippobroma longiflora (L.) G.Don","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Hippobroma longiflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","[""terrestrial""]"
"Coffea arabica L.","species","Plantae","alien","null","present","Brunei Darussalam","BRN","Coffea arabica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
