"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Hyphantria cunea (Drury, 1773)","species","Animalia","alien","null","present","Bulgaria","BGR","Hyphantria cunea","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","[""terrestrial""]"
"Impatiens parviflora DC.","species","Plantae","alien","null","present","Bulgaria","BGR","Impatiens parviflora","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Azadinium spinosum Elbr. & Tillmann","species","Chromista","alien","null","present","Bulgaria","BGR","Azadinium spinosum","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Amphidomataceae","[""marine""]"
"Geranium purpureum Vill.","species","Plantae","alien","null","present","Bulgaria","BGR","Geranium purpureum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","Bulgaria","BGR","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Tripleurospermum inodorum (L.) Sch.Bip.","species","Plantae","alien","null","present","Bulgaria","BGR","Tripleurospermum inodorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Polygonum aviculare L.","species","Plantae","alien","null","present","Bulgaria","BGR","Polygonum aviculare","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Hypophthalmichthys nobilis (Richardson, 1845)","species","Animalia","alien","null","present","Bulgaria","BGR","Hypophthalmichthys nobilis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Eragrostis pilosa P.Beauv.","species","Plantae","alien","null","present","Bulgaria","BGR","Eragrostis pilosa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Scandix australis L.","species","Plantae","alien","null","present","Bulgaria","BGR","Scandix australis","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Sclerochloa dura P.Beauv.","species","Plantae","alien","null","present","Bulgaria","BGR","Sclerochloa dura","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sambucus ebulus L.","species","Plantae","alien","null","present","Bulgaria","BGR","Sambucus ebulus","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","[""terrestrial""]"
"Phthorimaea operculella (Zeller, 1873)","species","Animalia","alien","null","present","Bulgaria","BGR","Phthorimaea operculella","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","[""terrestrial""]"
"Leonurus cardiaca L.","species","Plantae","alien","null","present","Bulgaria","BGR","Leonurus cardiaca","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Aspidiotus nerii Bouché, 1833","species","Animalia","alien","null","present","Bulgaria","BGR","Aspidiotus nerii","Animalia","Arthropoda","Insecta","Hemiptera","Diaspididae","[""host""]"
"Hedypnois cretica (L.) Dum.-Courset","species","Plantae","alien","null","present","Bulgaria","BGR","Hedypnois cretica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Liriomyza huidobrensis Blanchard, 1926","species","Animalia","alien","null","present","Bulgaria","BGR","Liriomyza huidobrensis","Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","[""terrestrial""]"
"Aceria tristriata (Nalepa, 1890)","species","Animalia","alien","null","present","Bulgaria","BGR","Aceria tristriata","Animalia","Arthropoda","Arachnida","Prostigmata","Eriophyidae","[""host""]"
"Chamaesyce maculata (L.) Small","species","Plantae","alien","null","present","Bulgaria","BGR","Chamaesyce maculata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Planktolyngbya circumcreta (G.S.West) Anagn. & Komárek","species","Bacteria","alien","null","present","Bulgaria","BGR","Planktolyngbya circumcreta","Bacteria","Cyanobacteria","Cyanophyceae","NOT ASSIGNED","Pseudanabaenaceae","[""host""]"
"Chenopodium polyspermum L.","species","Plantae","alien","null","present","Bulgaria","BGR","Chenopodium polyspermum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Heliotropium europaeum L.","species","Plantae","alien","null","present","Bulgaria","BGR","Heliotropium europaeum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","[""terrestrial""]"
"Vicia serratifolia Jacq.","species","Plantae","alien","null","present","Bulgaria","BGR","Vicia serratifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cardamine hirsuta L.","species","Plantae","alien","null","present","Bulgaria","BGR","Cardamine hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Anthriscus caucalis M.Bieb.","species","Plantae","alien","null","present","Bulgaria","BGR","Anthriscus caucalis","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Acrochaetium leptonema (Rosenvinge) Børgesen","species","Plantae","alien","null","present","Bulgaria","BGR","Acrochaetium leptonema","Plantae","Rhodophyta","Florideophyceae","Nemaliales","Acrochaetiaceae","[""marine""]"
"Phytolacca esculenta Van Houtte","species","Plantae","alien","null","present","Bulgaria","BGR","Phytolacca esculenta","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","[""terrestrial""]"
"Arctium lappa Kalm","species","Plantae","alien","null","present","Bulgaria","BGR","Arctium lappa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Anabaenopsis cunningtonii W.R.Taylor","species","Bacteria","alien","null","present","Bulgaria","BGR","Anabaenopsis cunningtonii","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","[""host""]"
"Sarpa salpa (Linnaeus, 1758)","species","Animalia","alien","null","present","Bulgaria","BGR","Sarpa salpa","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","[""brackish"",""marine""]"
"Carduus nutans L.","species","Plantae","alien","null","present","Bulgaria","BGR","Carduus nutans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Eriosoma lanigerum (Hausemann, 1802)","species","Animalia","alien","null","present","Bulgaria","BGR","Eriosoma lanigerum","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Bromus scoparius L.","species","Plantae","alien","null","present","Bulgaria","BGR","Bromus scoparius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Gyrodinium cochlea Lebour, 1925","species","Chromista","alien","null","present","Bulgaria","BGR","Gyrodinium cochlea","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","[""marine""]"
"Sorghum halepense Pers.","species","Plantae","alien","invasive","present","Bulgaria","BGR","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Picris hieracioides L.","species","Plantae","alien","null","present","Bulgaria","BGR","Picris hieracioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Avena sativa L.","species","Plantae","alien","null","present","Bulgaria","BGR","Avena sativa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Chelidonium majus L.","species","Plantae","alien","null","present","Bulgaria","BGR","Chelidonium majus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
