"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Jasminum fluminense Vell.","species","Plantae","alien","null","present","Burundi","BDI","Jasminum fluminense","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Gliricidia sepium (Jacq.) Walp.","species","Plantae","alien","null","present","Burundi","BDI","Gliricidia sepium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Tephrosia purpurea (L.) Pers.","species","Plantae","alien","null","present","Burundi","BDI","Tephrosia purpurea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Passiflora foetida L.","species","Plantae","alien","null","present","Burundi","BDI","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Annona squamosa L.","species","Plantae","alien","null","present","Burundi","BDI","Annona squamosa","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]"
"Gomphrena celosioides C.F.P.Mart.","species","Plantae","alien","null","present","Burundi","BDI","Gomphrena serrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Grevillea robusta A.Cunn. ex R.Br.","species","Plantae","alien","null","present","Burundi","BDI","Grevillea robusta","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","[""terrestrial""]"
"Acacia dealbata Link","species","Plantae","alien","null","present","Burundi","BDI","Acacia dealbata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Solanum lycopersicum L.","species","Plantae","alien","null","present","Burundi","BDI","Solanum lycopersicum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Acanthospermum hispidum DC.","species","Plantae","alien","null","present","Burundi","BDI","Acanthospermum hispidum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Setcreasea purpurea Boom","species","Plantae","alien","null","present","Burundi","BDI","Tradescantia pallida","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Eucalyptus globulus Labill.","species","Plantae","alien","null","present","Burundi","BDI","Eucalyptus globulus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Burundi","BDI","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","null","present","Burundi","BDI","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Boerhavia diffusa L.","species","Plantae","alien","null","present","Burundi","BDI","Boerhavia diffusa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Capsicum frutescens L.","species","Plantae","alien","null","present","Burundi","BDI","Capsicum frutescens","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Ipomoea tricolor Cav.","species","Plantae","alien","null","present","Burundi","BDI","Ipomoea tricolor","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Annona reticulata L.","species","Plantae","alien","null","present","Burundi","BDI","Annona reticulata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]"
"Eragrostis ciliaris (L.) R.Br.","species","Plantae","alien","null","present","Burundi","BDI","Eragrostis ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ceratitis capitata (Wiedemann, 1824)","species","Animalia","cryptogenic|uncertain","null","present","Burundi","BDI","Ceratitis capitata","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
