"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Striga gesnerioides (Willd.) Vatke","species","Plantae","alien","null","present","Cambodia","KHM","Striga gesnerioides","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]",
"Pennisetum clandestinum Hochst. ex Chiov.","species","Plantae","alien","null","present","Cambodia","KHM","Cenchrus clandestinus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Eichhornia crassipes Solms","species","Plantae","alien","invasive","present","Cambodia","KHM","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]",
"Gliricidia sepium (Jacq.) Walp.","species","Plantae","alien","null","present","Cambodia","KHM","Gliricidia sepium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Leptochloa chinensis Nees","species","Plantae","alien","null","present","Cambodia","KHM","Leptochloa chinensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cleome rutidosperma DC.","species","Plantae","alien","null","present","Cambodia","KHM","Sieruela rutidosperma","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Senna obtusifolia (L.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Cambodia","KHM","Senna obtusifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Boerhavia diffusa L.","species","Plantae","alien","null","present","Cambodia","KHM","Boerhavia diffusa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]",
"Ficus benjamina L.","species","Plantae","alien","null","present","Cambodia","KHM","Ficus benjamina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]",
"Ischaemum rugosum Salisb.","species","Plantae","alien","null","present","Cambodia","KHM","Ischaemum rugosum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Hibiscus tiliaceus L.","species","Plantae","alien","null","present","Cambodia","KHM","Talipariti tiliaceum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Limnoperna fortunei (Dunker, 1857)","species","Animalia","alien","null","present","Cambodia","KHM","Limnoperna fortunei","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","[""marine""]",
"Cordyline fruticosa (L.) A.Chev.","species","Plantae","alien","null","present","Cambodia","KHM","Cordyline fruticosa","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Panicum repens L.","species","Plantae","alien","invasive","present","Cambodia","KHM","Panicum repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Echinochloa crus-galli (L.) P.Beauv.","species","Plantae","alien","null","present","Cambodia","KHM","Echinochloa crus-galli","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Bugulina simplex","species","Animalia","alien","null","present","Cambodia","KHM","Bugulina simplex","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","[""marine""]",
"Melia azedarach L.","species","Plantae","alien","null","present","Cambodia","KHM","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]",
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","invasive","present","Cambodia","KHM","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Cirrhinus mrigala (Hamilton, 1822)","species","Animalia","alien","invasive","present","Cambodia","KHM","Cirrhinus mrigala","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Ipomoea triloba L.","species","Plantae","alien","null","present","Cambodia","KHM","Ipomoea triloba","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Bos taurus Linnaeus, 1758","species","Animalia","alien","null","present","Cambodia","KHM","Bos taurus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]",
"Heliotropium indicum L.","species","Plantae","alien","null","present","Cambodia","KHM","Heliotropium indicum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","[""terrestrial""]",
"Cenchrus echinatus L.","species","Plantae","alien","invasive","present","Cambodia","KHM","Cenchrus echinatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Synedrella nodiflora Gaertn.","species","Plantae","alien","null","present","Cambodia","KHM",,,,,,,,
"Cinnamomum verum J.Presl","species","Plantae","alien","null","present","Cambodia","KHM","Cinnamomum verum","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]",
"Elaeis guineensis Jacq.","species","Plantae","alien","null","present","Cambodia","KHM","Elaeis guineensis","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]",
"Crassocephalum crepidioides S.Moore","species","Plantae","alien","null","present","Cambodia","KHM","Crassocephalum crepidioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Senna siamea (Lamarck) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Cambodia","KHM","Senna siamea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Pomacea canaliculata (Lamarck, 1822)","species","Animalia","alien","invasive","present","Cambodia","KHM","Pomacea canaliculata","Animalia","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","[""freshwater""]",
"Sphenoclea zeylanica Gaertn.","species","Plantae","alien","null","present","Cambodia","KHM","Sphenoclea zeylanica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Sphenocleaceae","[""terrestrial""]",
"Sida acuta Burm.f.","species","Plantae","alien","invasive","present","Cambodia","KHM","Sida acuta","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Portulaca oleracea L.","species","Plantae","alien","null","present","Cambodia","KHM","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]",
"Lantana camara L.","species","Plantae","alien","invasive","present","Cambodia","KHM","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Erechtites valerianifolius (Kunth) Cuatrec. ex Belcher","species","Plantae","alien","null","present","Cambodia","KHM","Erechtites valerianifolius","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Phenacoccus manihoti Matile-Ferrero, 1977","species","Animalia","alien","null","present","Cambodia","KHM","Phenacoccus manihoti","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]",
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Cambodia","KHM","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]",
"Vibrio cholerae Pacini, 1854","species","Bacteria","alien","null","present","Cambodia","KHM","Vibrio cholerae","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","[""host""]",
"Crocidosema plebejana Zeller, 1847","species","Animalia","alien","null","present","Cambodia","KHM","Crocidosema plebejana","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","[""terrestrial""]",
"Acacia auriculiformis Benth.","species","Plantae","alien","null","present","Cambodia","KHM","Acacia auriculiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Passiflora foetida L.","species","Plantae","alien","invasive","present","Cambodia","KHM","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Gambusia holbrooki Girard, 1859","species","Animalia","alien","invasive","present","Cambodia","KHM","Gambusia holbrooki","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]",
"Hypophthalmichthys nobilis (Richardson, 1845)","species","Animalia","alien","invasive","present","Cambodia","KHM","Hypophthalmichthys nobilis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Syzygium jambos (L.) Alston","species","Plantae","alien","null","present","Cambodia","KHM","Syzygium jambos","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Dysphania ambrosioides (L.) Mosyakin & Clemants","species","Plantae","alien","invasive","present","Cambodia","KHM","Dysphania ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Digitaria ciliaris (Retz.) Koeler","species","Plantae","alien","null","present","Cambodia","KHM","Digitaria ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Cambodia","KHM","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Terminalia catappa L.","species","Plantae","alien","invasive","present","Cambodia","KHM","Terminalia catappa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]",
"Azolla filiculoides Lam.","species","Plantae","alien","null","present","Cambodia","KHM","Azolla filiculoides","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]",
"Magallana gigas","species","Animalia","alien","null","present","Cambodia","KHM","Magallana gigas","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","[""marine""]",
"Acacia farnesiana (L.) Willd.","species","Plantae","alien","null","present","Cambodia","KHM","Vachellia farnesiana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Catla catla (Hamilton, 1822)","species","Animalia","alien","invasive","present","Cambodia","KHM","Gibelion catla","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Aplus dorbignyi","species","Animalia","alien","null","present","Cambodia","KHM","Aplus dorbignyi","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","[""terrestrial"",""freshwater""]",
