"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Aira caryophyllea L.","species","Plantae","alien","null","present","Cameroon","CMR","Aira caryophyllea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Amaranthus blitum L.","species","Plantae","alien","null","present","Cameroon","CMR","Amaranthus blitum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Commelina diffusa Burm.f.","species","Plantae","alien","null","present","Cameroon","CMR","Commelina diffusa","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","alien","null","present","Cameroon","CMR","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pteridium aquilinum (L.) Kuhn","species","Plantae","alien","null","present","Cameroon","CMR","Pteridium aquilinum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dennstaedtiaceae","[""terrestrial""]"
"Elephantopus mollis Kunth","species","Plantae","alien","null","present","Cameroon","CMR","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hypnea musciformis","species","Plantae","alien","null","present","Cameroon","CMR","Hypnea musciformis","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","[""marine""]"
"Cecropia peltata L.","species","Plantae","alien","null","present","Cameroon","CMR","Cecropia peltata","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]"
"Artocarpus altilis (Parkinson) Fosberg","species","Plantae","alien","null","present","Cameroon","CMR","Artocarpus altilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Passiflora foetida L.","species","Plantae","alien","null","present","Cameroon","CMR","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Erigeron floribundus Sch.Bip.","species","Plantae","alien","null","present","Cameroon","CMR","Erigeron floribundus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pinus patula Schltdl. & Cham.","species","Plantae","alien","null","present","Cameroon","CMR","Pinus patula","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Psidium guajava L.","species","Plantae","alien","null","present","Cameroon","CMR","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Pennisetum clandestinum Hochst. ex Chiov.","species","Plantae","alien","null","present","Cameroon","CMR","Cenchrus clandestinus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Bos taurus Linnaeus, 1758","species","Animalia","alien","null","present","Cameroon","CMR","Bos taurus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]"
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Cameroon","CMR","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Cleome rutidosperma DC.","species","Plantae","alien","null","present","Cameroon","CMR","Sieruela rutidosperma","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]"
"Maesopsis eminii Engl.","species","Plantae","alien","null","present","Cameroon","CMR","Maesopsis eminii","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]"
"Physalis peruviana L.","species","Plantae","alien","null","present","Cameroon","CMR","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Albizia saman (Jacq.) Merr.","species","Plantae","alien","null","present","Cameroon","CMR","Albizia saman","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Azadirachta indica A.Juss.","species","Plantae","alien","null","present","Cameroon","CMR","Azadirachta indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Jatropha gossypiifolia L.","species","Plantae","alien","null","present","Cameroon","CMR","Jatropha gossypiifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Cecropia schreberiana Miq.","species","Plantae","alien","invasive","present","Cameroon","CMR","Cecropia schreberiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]"
