"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Harpalus affinis (Schrank, 1781)","species","Animalia","alien","null","present","Canada","CAN","Harpalus affinis","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","[""terrestrial""]"
"Petroselinum crispum (Mill.) Fuss","species","Plantae","alien","null","present","Canada","CAN","Petroselinum crispum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Platanus hybrida Brot.","species","Plantae","alien","null","present","Canada","CAN","Platanus hybrida","Plantae","Tracheophyta","Magnoliopsida","Proteales","Platanaceae","[""terrestrial""]"
"Broscus cephalotes (Linnaeus, 1758)","species","Animalia","alien","null","present","Canada","CAN","Broscus cephalotes","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","[""terrestrial""]"
"Alopecurus arundinaceus Poir.","species","Plantae","alien","null","present","Canada","CAN","Alopecurus arundinaceus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Rudbeckia triloba L.","species","Plantae","alien","null","present","Canada","CAN","Rudbeckia triloba","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Notropis texanus (Girard, 1856)","species","Animalia","alien","null","present","Canada","CAN","Notropis texanus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Leucanthemum vulgare Lam.","species","Plantae","alien","invasive","present","Canada","CAN","Leucanthemum vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Baptisia australis R.Br.","species","Plantae","alien","null","present","Canada","CAN","Baptisia australis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Panicum miliaceum L.","species","Plantae","alien","null","present","Canada","CAN","Panicum miliaceum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Salvelinus fontinalis (Mitchill, 1814)","species","Animalia","alien","null","present","Canada","CAN","Salvelinus fontinalis","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Salsola kali L.","species","Plantae","alien","null","present","Canada","CAN","Kali turgida","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Mollugo verticillata L.","species","Plantae","alien","null","present","Canada","CAN","Mollugo verticillata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Molluginaceae","[""terrestrial""]"
"Vulpia bromoides (L.) Gray","species","Plantae","alien","null","present","Canada","CAN","Vulpia bromoides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hieracium piloselloides Wallr.","species","Plantae","alien","null","present","Canada","CAN","Hieracium piloselloides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
