"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Salvinia molesta D.Mitch.","species","Plantae","alien","null","present","Central African Republic","CAF","Salvinia molesta","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]"
"Aedes albopictus Skuse, 1894","species","Animalia","alien","null","present","Central African Republic","CAF","Aedes albopictus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Eupatorium africanum Oliv. & Hieron.","species","Plantae","alien","null","present","Central African Republic","CAF","Stomatanthes africanus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Psidium guajava L.","species","Plantae","alien","null","present","Central African Republic","CAF","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","null","present","Central African Republic","CAF","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Mimosa pudica L.","species","Plantae","alien","invasive","present","Central African Republic","CAF","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Central African Republic","CAF","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Oreochromis macrochir (Boulenger, 1912)","species","Animalia","alien","null","present","Central African Republic","CAF","Oreochromis macrochir","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
"Monomorium pharaonis (Linnaeus, 1758)","species","Animalia","cryptogenic|uncertain","null","present","Central African Republic","CAF","Monomorium pharaonis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Heterotis niloticus (Cuvier, 1829)","species","Animalia","alien","null","present","Central African Republic","CAF","Heterotis niloticus","Animalia","Chordata","Actinopterygii","Osteoglossiformes","Arapaimidae","[""freshwater""]"
"Astatoreochromis alluaudi Pellegrin, 1904","species","Animalia","alien","null","present","Central African Republic","CAF","Astatoreochromis alluaudi","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
