"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Ocimum gratissimum L.","species","Plantae","alien","null","present","Chad","TCD","Ocimum gratissimum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Jatropha curcas L.","species","Plantae","alien","null","present","Chad","TCD","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Dioscorea alata L.","species","Plantae","alien","null","present","Chad","TCD","Dioscorea alata","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","[""terrestrial""]",
"Euphorbia pulcherrima Willd. ex Klotzsch","species","Plantae","alien","null","present","Chad","TCD","Euphorbia pulcherrima","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Adenanthera pavonina L.","species","Plantae","alien","null","present","Chad","TCD","Adenanthera pavonina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Boerhavia coccinea Mill.","species","Plantae","alien","null","present","Chad","TCD","Boerhavia coccinea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]",
"Gonolobus rostratus R.Br.","species","Plantae","alien","null","present","Chad","TCD","Gonolobus rostratus","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Vigna subterranea (L.) Verdc.","species","Plantae","alien","null","present","Chad","TCD","Vigna subterranea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Commelina erecta subsp. erecta","subspecies","Plantae","alien","null","present","Chad","TCD","Commelina erecta","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]",
"Plumbago zeylanica L.","species","Plantae","alien","null","present","Chad","TCD","Plumbago zeylanica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","[""terrestrial""]",
"Ricinus communis L.","species","Plantae","alien","null","present","Chad","TCD","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Panicum antidotale Retz.","species","Plantae","alien","null","present","Chad","TCD","Panicum antidotale","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Lemna aequinoctialis Welw.","species","Plantae","alien","null","present","Chad","TCD","Lemna aequinoctialis","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]",
"Canavalia ensiformis (L.) DC.","species","Plantae","alien","null","present","Chad","TCD","Canavalia ensiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Oxalis corniculata L.","species","Plantae","alien","null","present","Chad","TCD","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]",
"Tabernaemontana divaricata R.Br. ex Roem. & Schult.","species","Plantae","alien","null","present","Chad","TCD","Tabernaemontana divaricata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Chloris barbata Sw.","species","Plantae","alien","null","present","Chad","TCD","Chloris barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
