"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Oenothera rosea Aiton","species","Plantae","alien","invasive","present","Chile","CHL","Oenothera rosea","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Acacia karroo Hayne","species","Plantae","alien","null","present","Chile","CHL","Vachellia karroo","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Vicia sativa L.","species","Plantae","alien","null","present","Chile","CHL","Vicia sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Anthemis arvensis Pall. ex M.Bieb.","species","Plantae","alien","invasive","present","Chile","CHL","Cota coelopoda","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Parentucellia latifolia","species","Plantae","alien","null","present","Chile","CHL","Parentucellia latifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Cyperus laevigatus L.","species","Plantae","alien","null","present","Chile","CHL","Cyperus laevigatus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Allium vineale var. vineale","variety","Plantae","alien","invasive","present","Chile","CHL","Allium vineale","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Phalaris arundinacea L.","species","Plantae","alien","invasive","present","Chile","CHL","Phalaris arundinacea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Alyssum alyssoides (L.) L.","species","Plantae","alien","null","present","Chile","CHL","Alyssum alyssoides","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Petrorhagia prolifera (L.) P. W. Ball & Heywood","species","Plantae","alien","null","present","Chile","CHL","Petrorhagia prolifera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Melilotus indicus (L.) All.","species","Plantae","alien","null","present","Chile","CHL","Melilotus indicus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Physalis peruviana L.","species","Plantae","alien","invasive","present","Chile","CHL","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Linaria texana Scheele","species","Plantae","alien","null","present","Chile","CHL","Nuttallanthus texanus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Poa annua L.","species","Plantae","alien","null","present","Chile","CHL","Poa annua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ailanthus altissima (Miller) Swingle","species","Plantae","alien","null","present","Chile","CHL","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Arabidopsis thaliana (L.) Heynh.","species","Plantae","alien","null","present","Chile","CHL","Arabidopsis thaliana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Juncus effusus L.","species","Plantae","alien","null","present","Chile","CHL","Juncus effusus","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","[""terrestrial"",""freshwater""]"
"Paroaria coronata (J. F. Miller, 1776)","species","Animalia","alien","null","present","Chile","CHL","Paroaria coronata","Animalia","Chordata","Aves","Passeriformes","Emberizidae","[""terrestrial""]"
"Daucus pusillus Michx.","species","Plantae","alien","null","present","Chile","CHL","Daucus pusillus","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Veronica arvensis L.","species","Plantae","alien","null","present","Chile","CHL","Veronica arvensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Galenia pubescens (Eckl. & Zeyh.) Druce","species","Plantae","alien","null","present","Chile","CHL","Galenia pubescens","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Silene vulgaris (Moench) Garcke","species","Plantae","alien","null","present","Chile","CHL","Silene vulgaris","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Varroa destructor Anderson & Trueman, 2000","species","Animalia","alien","null","present","Chile","CHL","Varroa destructor","Animalia","Arthropoda","Arachnida","Mesostigmata","Varroidae","[""host""]"
"Bos taurus Linnaeus, 1758","species","Animalia","alien","invasive","present","Chile","CHL","Bos taurus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]"
