"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Macrochelys temminckii Troost, 1835","species","Animalia","alien","null","present","China","CHN","Macrochelys temminckii","Animalia","Chordata","Reptilia","Testudines","Chelydridae","[""freshwater""]",
"Mimosa bimucronata (DC.) Kuntze","species","Plantae","alien","invasive","present","China","CHN","Mimosa bimucronata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Ips typographus (Linnaeus & C., 1758)","species","Animalia","alien","null","present","China","CHN","Ips typographus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]",
"Aeschynomene indica L.","species","Plantae","alien","invasive","present","China","CHN","Aeschynomene indica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Nasturtium officinale W.T.Aiton","species","Plantae","alien","invasive","present","China","CHN","Nasturtium officinale","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial"",""freshwater""]",
"Palaemon macrodactylus M.J.Rathbun, 1902","species","Animalia","alien","null","present","China","CHN","Palaemon macrodactylus","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","[""marine""]",
"Pomacanthus navarchus (Cuvier, 1831)","species","Animalia","alien","null","present","China","CHN","Pomacanthus navarchus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacanthidae","[""marine""]",
"Synchiropus picturatus (Peters, 1877)","species","Animalia","alien","null","present","China","CHN","Synchiropus picturatus","Animalia","Chordata","Actinopterygii","Perciformes","Callionymidae","[""marine""]",
"Lolium temulentum L.","species","Plantae","alien","invasive","present","China","CHN","Lolium temulentum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ricinus communis L.","species","Plantae","alien","invasive","present","China","CHN","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
