"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Pethia gelius (Hamilton, 1822)","species","Animalia","alien","null","present","Colombia","COL","Pethia gelius","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Hibiscus rosa-sinensis L.","species","Plantae","alien","null","present","Colombia","COL","Hibiscus rosa-sinensis","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Chloris barbata Sw.","species","Plantae","alien","null","present","Colombia","COL","Chloris barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pangasianodon hypophthalmus (Sauvage, 1878)","species","Animalia","alien","invasive","present","Colombia","COL","Pangasianodon hypophthalmus","Animalia","Chordata","Actinopterygii","Siluriformes","Pangasiidae","[""freshwater""]"
"Mikania micrantha Kunth","species","Plantae","alien","null","present","Colombia","COL","Mikania micrantha","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Paralaoma servilis (Shuttleworth, 1852)","species","Animalia","alien","null","present","Colombia","COL","Paralaoma servilis","Animalia","Mollusca","Gastropoda","Stylommatophora","Punctidae","[""terrestrial""]"
"Ovis aries Linnaeus, 1758","species","Animalia","alien","invasive","present","Colombia","COL","Ovis aries","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]"
"Panthera leo (Linnaeus, 1758)","species","Animalia","alien","null","present","Colombia","COL","Panthera leo","Animalia","Chordata","Mammalia","Carnivora","Felidae","[""terrestrial""]"
"Tropidosteptes chapingoensis Carvalho & Rosas, 1965","species","Animalia","alien","null","present","Colombia","COL","Tropidosteptes chapingoensis","Animalia","Arthropoda","Insecta","Hemiptera","Miridae","[""host""]"
"Chaetoceros messanensis Castracane","species","Chromista","alien","null","present","Colombia","COL","Chaetoceros messanensis","Chromista","Ochrophyta","Bacillariophyceae","Chaetocerotales","Chaetocerotaceae","[""marine""]"
"Petroselinum crispum (Mill.) A.W.Hill","species","Plantae","alien","null","present","Colombia","COL","Petroselinum crispum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Pseuderanthemum carruthersii var. reticulatum (Bull) F.R.Fosberg","variety","Plantae","alien","null","present","Colombia","COL","Pseuderanthemum reticulatum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Newcastle disease virus (NDV)","species","Viruses","alien","null","present","Colombia","COL","Newcastle disease virus","Viruses","NOT ASSIGNED","NOT ASSIGNED","Mononegavirales","Paramyxoviridae","[""host""]"
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Colombia","COL","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
