"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Elettaria cardamomum Maton","species","Plantae","alien","null","present","Comoros","COM","Elettaria cardamomum","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Artemisia verlotiorum Lamotte","species","Plantae","alien","null","present","Comoros","COM","Artemisia verlotiorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Helianthus annuus L.","species","Plantae","alien","null","present","Comoros","COM","Helianthus annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Cyperus balfourii C.B.Clarke","species","Plantae","alien","null","present","Comoros","COM","Cyperus balfourii","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Annona reticulata L.","species","Plantae","alien","null","present","Comoros","COM","Annona reticulata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Indigofera hirsuta L.","species","Plantae","alien","null","present","Comoros","COM","Indigofera hirsuta","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Scaevola sericea G.Forst.","species","Plantae","alien","null","present","Comoros","COM","Scaevola sericea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Goodeniaceae","[""terrestrial""]",
"Vincetoxicum callialatum Kuntze","species","Plantae","alien","null","present","Comoros","COM","Vincetoxicum callialatum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Physalis angulata L.","species","Plantae","alien","null","present","Comoros","COM","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Erigeron canadensis L.","species","Plantae","alien","null","present","Comoros","COM","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Gomphrena celosioides C.F.P.Mart.","species","Plantae","alien","null","present","Comoros","COM","Gomphrena serrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Nicotiana tabacum L.","species","Plantae","alien","null","present","Comoros","COM","Nicotiana tabacum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Desmodium incanum DC.","species","Plantae","alien","null","present","Comoros","COM","Desmodium incanum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Annona muricata L.","species","Plantae","alien","null","present","Comoros","COM","Annona muricata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Sonchus asper Hill","species","Plantae","alien","null","present","Comoros","COM","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Glinus oppositifolius Aug.DC.","species","Plantae","alien","null","present","Comoros","COM","Glinus oppositifolius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Molluginaceae","[""terrestrial""]",
"Phaseolus vulgaris L.","species","Plantae","alien","null","present","Comoros","COM","Phaseolus vulgaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Aeschynomene sensitiva Sw.","species","Plantae","alien","null","present","Comoros","COM","Aeschynomene sensitiva","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Agave sisalana Perrine","species","Plantae","alien","invasive","present","Comoros","COM","Agave sisalana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Cyperus distans L.f.","species","Plantae","alien","null","present","Comoros","COM","Cyperus distans","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Passiflora suberosa L.","species","Plantae","alien","null","present","Comoros","COM","Passiflora suberosa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Coffea arabica L.","species","Plantae","alien","null","present","Comoros","COM","Coffea arabica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Cosmos caudatus Kunth","species","Plantae","alien","null","present","Comoros","COM","Cosmos caudatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Desmodium intortum Urb.","species","Plantae","alien","null","present","Comoros","COM","Desmodium intortum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Tecoma stans (L.) Kunth","species","Plantae","alien","null","present","Comoros","COM","Tecoma stans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Eugenia uniflora L.","species","Plantae","alien","null","present","Comoros","COM","Eugenia uniflora","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Phyllanthus niruroides Müll.Arg.","species","Plantae","alien","null","present","Comoros","COM","Phyllanthus niruroides","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Capsicum frutescens L.","species","Plantae","alien","null","present","Comoros","COM","Capsicum frutescens","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Pueraria montana (Lour.) Merr.","species","Plantae","alien","null","present","Comoros","COM","Pueraria montana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Theobroma cacao L.","species","Plantae","alien","null","present","Comoros","COM","Theobroma cacao","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Colocasia affinis Schott","species","Plantae","alien","null","present","Comoros","COM","Colocasia affinis","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
"Sphenoclea zeylanica Gaertn.","species","Plantae","alien","null","present","Comoros","COM","Sphenoclea zeylanica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Sphenocleaceae","[""terrestrial""]",
"Amaranthus viridis L.","species","Plantae","alien","null","present","Comoros","COM","Amaranthus viridis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Sapindus saponaria L.","species","Plantae","alien","null","present","Comoros","COM","Sapindus saponaria","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
"Ocimum americanum L.","species","Plantae","alien","null","present","Comoros","COM","Ocimum americanum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Crotalaria incana L.","species","Plantae","alien","null","present","Comoros","COM","Crotalaria incana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Musa coccinea Andrews","species","Plantae","alien","null","present","Comoros","COM","Musa coccinea","Plantae","Tracheophyta","Liliopsida","Zingiberales","Musaceae","[""terrestrial""]",
"Acanthospermum australe Kuntze","species","Plantae","alien","null","present","Comoros","COM","Acanthospermum australe","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Phytolacca americana L.","species","Plantae","alien","null","present","Comoros","COM","Phytolacca americana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","[""terrestrial""]",
"Leucas martinicensis (Jacq.) R.Br.","species","Plantae","alien","invasive","present","Comoros","COM","Leucas martinicensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Ageratina riparia (Regel) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Comoros","COM","Ageratina riparia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Celosia argentea L.","species","Plantae","alien","null","present","Comoros","COM","Celosia argentea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Solanum melongena L.","species","Plantae","alien","null","present","Comoros","COM","Solanum melongena","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Bambusa multiplex (Lour.) Raeusch. ex Schult. & Schult.f.","species","Plantae","alien","null","present","Comoros","COM","Bambusa multiplex","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Xanthium strumarium Lour.","species","Plantae","alien","null","present","Comoros","COM","Xanthium strumarium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Citrus aurantium L.","species","Plantae","alien","null","present","Comoros","COM","Citrus aurantium","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]",
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","null","present","Comoros","COM","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Hedychium gardnerianum Ker Gawl.","species","Plantae","alien","null","present","Comoros","COM","Hedychium gardnerianum","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Bactrocera invadens Drew, Tsuruta & White, 2005","species","Animalia","alien","invasive","present","Comoros","COM","Bactrocera invadens","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]",
"Mirabilis jalapa L.","species","Plantae","alien","null","present","Comoros","COM","Mirabilis jalapa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]",
"Crotalaria grahamiana Wight & Arn.","species","Plantae","alien","null","present","Comoros","COM","Crotalaria grahamiana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Piper betle L.","species","Plantae","alien","null","present","Comoros","COM","Piper betle","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","[""terrestrial""]",
"Albizia chinensis Merr.","species","Plantae","alien","null","present","Comoros","COM","Albizia chinensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Senna singueana (Del.) Lock","species","Plantae","alien","null","present","Comoros","COM","Senna singueana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Ziziphus spina-christi (L.) Desf.","species","Plantae","alien","null","present","Comoros","COM","Ziziphus spina-christi","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]",
"Ceratitis capitata (Wiedemann, 1824)","species","Animalia","alien","null","present","Comoros","COM","Ceratitis capitata","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]",
"Brachiaria distachya Stapf","species","Plantae","alien","null","present","Comoros","COM","Brachiaria distachya","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Aeschynomene indica L.","species","Plantae","alien","null","present","Comoros","COM","Aeschynomene indica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Urena lobata L.","species","Plantae","alien","null","present","Comoros","COM","Urena lobata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Boerhavia repens L.","species","Plantae","alien","null","present","Comoros","COM","Boerhavia repens","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]",
