"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Ziziphus mauritiana Lam.","species","Plantae","alien","null","present","Cook Islands","COK","Ziziphus mauritiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]",
"Triumfetta semitriloba Jacq.","species","Plantae","alien","null","present","Cook Islands","COK","Triumfetta semitriloba","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Tribulus cistoides L.","species","Plantae","alien","null","present","Cook Islands","COK","Tribulus cistoides","Plantae","Tracheophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae","[""terrestrial""]",
"Erigeron karvinskianus DC.","species","Plantae","alien","null","present","Cook Islands","COK","Erigeron karvinskianus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Alpinia purpurata (Vieill.) K.Schum.","species","Plantae","alien","null","present","Cook Islands","COK","Alpinia purpurata","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Falcataria moluccana (Miq.) Barneby & J.W.Grimes","species","Plantae","alien","invasive","present","Cook Islands","COK","Falcataria moluccana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Allamanda blanchetii A. DC.","species","Plantae","alien","null","present","Cook Islands","COK","Allamanda blanchetii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Solenopsis geminata (Fabricius, 1804)","species","Animalia","alien","invasive","present","Cook Islands","COK","Solenopsis geminata","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Alocasia macrorrhizos (L.) G.Don","species","Plantae","alien","null","present","Cook Islands","COK","Alocasia macrorrhizos","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
"Thunbergia fragrans Roxb.","species","Plantae","alien","invasive","present","Cook Islands","COK","Thunbergia fragrans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
