"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Panicum maximum Jacq.","species","Plantae","alien","invasive","present","Costa Rica","CRI","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Costa Rica","CRI","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Anredera cordifolia (Ten.) Steenis","species","Plantae","alien","invasive","present","Costa Rica","CRI","Anredera cordifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","[""terrestrial""]"
"Nesothrips lativentris (Karny, 1913)","species","Animalia","alien","null","present","Costa Rica","CRI","Nesothrips lativentris","Animalia","Arthropoda","Insecta","Thysanoptera","Phlaenothripidae","[""terrestrial""]"
"Wasmannia auropunctata (Roger, 1863)","species","Animalia","alien","invasive","present","Costa Rica","CRI","Wasmannia auropunctata","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Ethirothrips angusticornis (Bagnall, 1924)","species","Animalia","alien","null","present","Costa Rica","CRI","Ethirothrips angusticornis","Animalia","Arthropoda","Insecta","Thysanoptera","Phlaenothripidae","[""terrestrial""]"
"Bambusa arundinacea (Retz.) Willd.","species","Plantae","alien","invasive","present","Costa Rica","CRI","Bambusa bambos","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Saccharum spontaneum L.","species","Plantae","alien","invasive","present","Costa Rica","CRI","Saccharum spontaneum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Veronica polita Fries","species","Plantae","alien","null","present","Costa Rica","CRI","Veronica polita","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Drosophila simulans","species","Animalia","alien","null","present","Costa Rica","CRI","Drosophila simulans","Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","[""terrestrial""]"
"Urochloa decumbens (Stapf) R.D.Webster","species","Plantae","alien","null","present","Costa Rica","CRI","Brachiaria eminii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Labidura riparia (Pallas, 1773)","species","Animalia","alien","null","present","Costa Rica","CRI","Labidura riparia","Animalia","Arthropoda","Insecta","Dermaptera","Labiduridae","[""terrestrial""]"
"Strumigenys rogeri (Emery, 1890)","species","Animalia","alien","null","present","Costa Rica","CRI","Strumigenys rogeri","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Calophyllum inophyllum L.","species","Plantae","alien","null","present","Costa Rica","CRI","Calophyllum inophyllum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Calophyllaceae","[""terrestrial""]"
"Osteopilus septentrionalis (Duméril & Bibron, 1841)","species","Animalia","alien","null","present","Costa Rica","CRI","Osteopilus septentrionalis","Animalia","Chordata","Amphibia","Anura","Hylidae","[""terrestrial"",""freshwater""]"
"Perileucoptera coffeella","species","Animalia","alien","null","present","Costa Rica","CRI","Perileucoptera coffeella","Animalia","Arthropoda","Insecta","Lepidoptera","Lyonetiidae","[""terrestrial""]"
"Poecilia reticulata Peters, 1859","species","Animalia","alien","invasive","present","Costa Rica","CRI","Poecilia reticulata","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Angiopteris evecta (G.Forst.) Hoffm.","species","Plantae","alien","invasive","present","Costa Rica","CRI","Angiopteris evecta","Plantae","Tracheophyta","Polypodiopsida","Marattiales","Marattiaceae","[""terrestrial""]"
"Acheta domesticus","species","Animalia","alien","null","present","Costa Rica","CRI","Acheta domesticus","Animalia","Arthropoda","Insecta","Orthoptera","Gryllidae","[""terrestrial""]"
"Oryza rufipogon Griff.","species","Plantae","alien","null","present","Costa Rica","CRI","Oryza rufipogon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Festuca rubra L.","species","Plantae","alien","null","present","Costa Rica","CRI","Festuca rubra","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Zea mays L.","species","Plantae","alien","null","present","Costa Rica","CRI","Zea mays","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Drosophila melanogaster","species","Animalia","alien","null","present","Costa Rica","CRI","Drosophila melanogaster","Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","[""terrestrial""]"
"Asparagus densiflorus (Kunth) Jessop","species","Plantae","alien","null","present","Costa Rica","CRI","Asparagus densiflorus","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Chenopodium album L.","species","Plantae","alien","null","present","Costa Rica","CRI","Chenopodium album","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Sus scrofa Linnaeus, 1758","species","Animalia","alien","invasive","present","Costa Rica","CRI","Sus scrofa","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","[""terrestrial""]"
"Xanthosoma sagittifolium (L.) Schott","species","Plantae","cryptogenic|uncertain","null","present","Costa Rica","CRI","Xanthosoma sagittifolium","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Rottboellia cochinchinensis (Lour.) Clayton","species","Plantae","alien","invasive","present","Costa Rica","CRI","Rottboellia cochinchinensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
