"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Alternanthera brasiliana Kuntze","species","Plantae","alien","invasive","present","Côte d'Ivoire","CIV","Alternanthera brasiliana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Melia azedarach L.","species","Plantae","alien","null","present","Côte d'Ivoire","CIV","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Euphorbia hypericifolia L.","species","Plantae","alien","null","present","Côte d'Ivoire","CIV","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Phaseolus lunatus L.","species","Plantae","alien","null","present","Côte d'Ivoire","CIV","Phaseolus lunatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Acanthospermum hispidum DC.","species","Plantae","alien","invasive","present","Côte d'Ivoire","CIV","Acanthospermum hispidum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Astronotus ocellatus (Agassiz, 1831)","species","Animalia","alien","null","present","Côte d'Ivoire","CIV","Astronotus ocellatus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
"Ageratum conyzoides L.","species","Plantae","alien","null","present","Côte d'Ivoire","CIV","Ageratum conyzoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Aonidomytilus albus (Cockerell, 1893)","species","Animalia","alien","null","present","Côte d'Ivoire","CIV","Aonidomytilus albus","Animalia","Arthropoda","Insecta","Hemiptera","Diaspididae","[""host""]"
"Drymaria cordata (L.) Roem. & Schult.","species","Plantae","alien","null","present","Côte d'Ivoire","CIV","Drymaria cordata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Côte d'Ivoire","CIV","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Mimosa pigra L.","species","Plantae","alien","invasive","present","Côte d'Ivoire","CIV","Mimosa pigra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ictalurus punctatus (Rafinesque, 1818)","species","Animalia","alien","null","present","Côte d'Ivoire","CIV","Ictalurus punctatus","Animalia","Chordata","Actinopterygii","Siluriformes","Ictaluridae","[""freshwater""]"
"Oreochromis macrochir (Boulenger, 1912)","species","Animalia","alien","null","present","Côte d'Ivoire","CIV","Oreochromis macrochir","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","null","present","Côte d'Ivoire","CIV","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Aristolochia ringens Vahl","species","Plantae","alien","null","present","Côte d'Ivoire","CIV","Aristolochia ringens","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Côte d'Ivoire","CIV","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Mimosa pigra L.","species","Plantae","alien","null","present","Côte d'Ivoire","CIV","Mimosa pigra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho","species","Plantae","alien","null","present","Côte d'Ivoire","CIV","Conyza sumatrensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
