"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Agrostemma githago L.","species","Plantae","alien","null","present","Croatia","HRV","Agrostemma githago","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Amaranthus albus L.","species","Plantae","alien","invasive","present","Croatia","HRV","Amaranthus albus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Bergenia cordifolia (Haw.) Sternb.","species","Plantae","alien","null","present","Croatia","HRV","Bergenia crassifolia","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","[""terrestrial""]"
"Eleusine tristachya (Lam.) Lam.","species","Plantae","alien","null","present","Croatia","HRV","Eleusine tristachya","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Coccus hesperidum Linnaeus, 1758","species","Animalia","alien","null","present","Croatia","HRV","Coccus hesperidum","Animalia","Arthropoda","Insecta","Hemiptera","Coccidae","[""host""]"
"Ophiopogon japonicus (Thunb.) Ker Gawl.","species","Plantae","alien","null","present","Croatia","HRV","Ophiopogon japonicus","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Carassius auratus (Linnaeus, 1758)","species","Animalia","alien","null","present","Croatia","HRV","Carassius auratus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Lyctocoris campestris (Fabricius, 1794)","species","Animalia","alien","null","present","Croatia","HRV","Lyctocoris campestris","Animalia","Arthropoda","Insecta","Hemiptera","Anthocoridae","[""host""]"
"Ambrosia artemisiifolia L.","species","Plantae","alien","invasive","present","Croatia","HRV","Ambrosia artemisiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Nicotiana glauca R. C. Graham","species","Plantae","alien","invasive","present","Croatia","HRV","Nicotiana glauca","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Antonina crawi Cockerell, 1900","species","Animalia","alien","null","present","Croatia","HRV","Antonina crawi","Animalia","Arthropoda","Insecta","Hemiptera","Pseudociccidae","[""host""]"
"Senecio inaequidens DC.","species","Plantae","alien","null","present","Croatia","HRV","Senecio inaequidens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Eriobotrya japonica (Thunb.) Lindl.","species","Plantae","alien","null","present","Croatia","HRV","Eriobotrya japonica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Frankliniella occidentalis (Pergande, 1895)","species","Animalia","alien","null","present","Croatia","HRV","Frankliniella occidentalis","Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae","[""terrestrial""]"
"Hemigrapsus sanguineus (De Haan, 1835)","species","Animalia","alien","null","present","Croatia","HRV","Hemigrapsus sanguineus","Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","[""marine""]"
"Reynoutria sachalinensis (Friedrich Schmidt Petrop.) Nakai","species","Plantae","alien","invasive","present","Croatia","HRV","Reynoutria sachalinensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Lupinus polyphyllus Lindl.","species","Plantae","alien","null","present","Croatia","HRV","Lupinus polyphyllus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
