"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Cenchrus purpureus (Schumach.) Morrone","species","Plantae","alien","invasive","present","Cuba","CUB","Pennisetum purpureum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Nicotiana glauca R. C. Graham","species","Plantae","alien","invasive","present","Cuba","CUB","Nicotiana glauca","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Wasmannia auropunctata (Roger, 1863)","species","Animalia","alien","null","present","Cuba","CUB","Wasmannia auropunctata","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Ipomoea alba L.","species","Plantae","alien","invasive","present","Cuba","CUB","Ipomoea alba","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Myroxylon pereirae Royle","species","Plantae","alien","null","present","Cuba","CUB","Myroxylon balsamum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Leonurus sibiricus L.","species","Plantae","alien","invasive","present","Cuba","CUB","Leonurus sibiricus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Lonicera confusa (Sweet) DC.","species","Plantae","alien","invasive","present","Cuba","CUB","Lonicera confusa","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Senna occidentalis (L.) Link","species","Plantae","alien","invasive","present","Cuba","CUB","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","null","present","Cuba","CUB","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Laelia rubescens Lindl.","species","Plantae","alien","null","present","Cuba","CUB","Laelia rubescens","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]"
"Kalanchoe pinnata (Lam.) Pers.","species","Plantae","alien","invasive","present","Cuba","CUB","Kalanchoe pinnata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Paspalum virgatum L.","species","Plantae","alien","invasive","present","Cuba","CUB","Paspalum virgatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Polyscias balfouriana (André) L.H.Bailey","species","Plantae","alien","null","present","Cuba","CUB","Polyscias balfouriana","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","[""terrestrial""]"
"Tragus berteronianus Schult.","species","Plantae","alien","null","present","Cuba","CUB","Tragus berteronianus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
