"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Anethum graveolens L.","species","Plantae","alien","null","present","Cyprus","CYP","Anethum graveolens","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Amaranthus deflexus L.","species","Plantae","alien","null","present","Cyprus","CYP","Amaranthus deflexus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Aculops lycopersici (Massee, 1937)","species","Animalia","cryptogenic|uncertain","null","present","Cyprus","CYP","Aculops lycopersici","Animalia","Arthropoda","Arachnida","Prostigmata","Eriophyidae","[""host""]"
"Raphanus sativus L.","species","Plantae","alien","null","present","Cyprus","CYP","Raphanus sativus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Brevipalpus obovatus Donnadieu, 1875","species","Animalia","alien","null","present","Cyprus","CYP","Brevipalpus obovatus","Animalia","Arthropoda","Arachnida","Prostigmata","Tenuipalpidae","[""host""]"
"Setaria adhaerens (Forssk.) Chiov.","species","Plantae","alien","null","present","Cyprus","CYP","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Semielacher petiolata (Girault, 1915)","species","Animalia","alien","null","present","Cyprus","CYP","Semielacher petiolata","Animalia","Arthropoda","Insecta","Hymenoptera","Eulophidae","[""terrestrial""]"
"Hemiramphus far (Forsskål, 1775)","species","Animalia","alien","null","present","Cyprus","CYP","Hemiramphus far","Animalia","Chordata","Actinopterygii","Beloniformes","Hemiramphidae","[""brackish"",""marine""]"
"Stachys annua L.","species","Plantae","alien","null","present","Cyprus","CYP","Stachys annua","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Pterois miles (Bennett, 1828)","species","Animalia","alien","invasive","present","Cyprus","CYP","Pterois miles","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","[""marine""]"
"Brassica napus L.","species","Plantae","alien","null","present","Cyprus","CYP","Brassica napus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Fulvia fragilis (Forsskål, 1775)","species","Animalia","alien","null","present","Cyprus","CYP","Fulvia fragilis","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","[""marine""]"
"Elytrigia repens (L.) Nevski","species","Plantae","alien","null","present","Cyprus","CYP","Elymus repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Opuntia ficus-indica Mill.","species","Plantae","alien","null","present","Cyprus","CYP","Opuntia ficus-indica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Sixalix atropurpurea (L.) Greuter & Burdet","species","Plantae","alien","null","present","Cyprus","CYP","Sixalix atropurpurea","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Leucotina natalensis E.A.Smith, 1910","species","Animalia","alien","null","present","Cyprus","CYP","Leucotina natalensis","Animalia","Mollusca","Gastropoda","NOT ASSIGNED","Amathinidae","[""marine""]"
"Solanum angustifolium Mill.","species","Plantae","alien","null","present","Cyprus","CYP","Solanum angustifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Medicago varia Martyn","species","Plantae","alien","null","present","Cyprus","CYP","Medicago sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lophocladia lallemandii (Mont.) F.Schmitz, 1893","species","Plantae","alien","null","present","Cyprus","CYP","Lophocladia lallemandii","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","[""marine""]"
"Laodicea fijiana Agassiz & Mayer, 1899","species","Animalia","alien","null","present","Cyprus","CYP","Laodicea fijiana","Animalia","Cnidaria","Hydrozoa","Leptothecata","Laodiceidae","[""marine""]"
"Aloe vera (L.) Burm.f.","species","Plantae","alien","null","present","Cyprus","CYP","Aloe vera","Plantae","Tracheophyta","Liliopsida","Asparagales","Xanthorrhoeaceae","[""terrestrial""]"
"Herdmania momus (Savigny, 1816)","species","Animalia","alien","null","present","Cyprus","CYP","Herdmania momus","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","[""marine""]"
"Urophorus humeralis (Fabricius, 1798)","species","Animalia","alien","null","present","Cyprus","CYP","Urophorus humeralis","Animalia","Arthropoda","Insecta","Coleoptera","Nitidulidae","[""terrestrial""]"
"Chama asperella Lamarck, 1819","species","Animalia","alien","null","present","Cyprus","CYP","Chama asperella","Animalia","Mollusca","Bivalvia","Venerida","Chamidae","[""marine""]"
"Gibbium psylloides (Czenpinski, 1778)","species","Animalia","alien","null","present","Cyprus","CYP","Gibbium psylloides","Animalia","Arthropoda","Insecta","Coleoptera","Ptinidae","[""terrestrial""]"
"Vicia faba L.","species","Plantae","alien","null","present","Cyprus","CYP","Vicia faba","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
