"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Gasterosteus aculeatus Linnaeus, 1758","species","Animalia","alien","null","present","Czech Republic","CZE","Gasterosteus aculeatus","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Gasterosteidae","[""freshwater"",""brackish"",""marine""]"
"Lycopsis orientalis Steph.","species","Plantae","alien","null","present","Czech Republic","CZE","Lycopsis arvensis","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Medicago sativa subsp. sativa","subspecies","Plantae","alien","null","present","Czech Republic","CZE","Medicago sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Coreopsis tinctoria Nutt.","species","Plantae","alien","null","present","Czech Republic","CZE","Coreopsis tinctoria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rubus illecebrosus Focke","species","Plantae","alien","null","present","Czech Republic","CZE","Rubus illecebrosus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Atriplex hortensis L.","species","Plantae","alien","null","present","Czech Republic","CZE","Atriplex hortensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Cuscuta epilinum Weihe","species","Plantae","alien","null","present","Czech Republic","CZE","Cuscuta epilinum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Oxythrips priesneri Pelikan, 1957","species","Animalia","alien","null","present","Czech Republic","CZE","Oxythrips priesneri","Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae","[""terrestrial""]"
"Tragopogon porrifolius L.","species","Plantae","alien","null","present","Czech Republic","CZE","Tragopogon porrifolius","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Adelges nordmannianae (Eckstein, 1890)","species","Animalia","alien","null","present","Czech Republic","CZE","Adelges nordmannianae","Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","[""host""]"
"Graphocephala fennahi Young, 1977","species","Animalia","alien","null","present","Czech Republic","CZE","Graphocephala fennahi","Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","[""host""]"
"Sclerochloa dura P.Beauv.","species","Plantae","alien","null","present","Czech Republic","CZE","Sclerochloa dura","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Oenothera acutifolia Rostański","species","Plantae","alien","null","present","Czech Republic","CZE","Oenothera acutifolia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Trifolium hybridum subsp. hybridum","subspecies","Plantae","alien","null","present","Czech Republic","CZE","Trifolium hybridum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Imperatoria ostruthium L.","species","Plantae","alien","null","present","Czech Republic","CZE","Imperatoria ostruthium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Rumex propinquus F.Aresch.","species","Plantae","alien","null","present","Czech Republic","CZE","Rumex propinquus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Aculus hippocastani (Fockeu, 1890)","species","Animalia","alien","null","present","Czech Republic","CZE","Aculus hippocastani","Animalia","Arthropoda","Arachnida","Prostigmata","Eriophyidae","[""host""]"
"Cirsium echinus Hand.-Mazz.","species","Plantae","alien","null","present","Czech Republic","CZE","Cirsium echinus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Chenopodium quinoa Willd.","species","Plantae","alien","null","present","Czech Republic","CZE","Chenopodium quinoa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Eragrostis pilosa P.Beauv.","species","Plantae","alien","null","present","Czech Republic","CZE","Eragrostis pilosa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Artemisia scoparia Waldst. & Kit.","species","Plantae","alien","null","present","Czech Republic","CZE","Artemisia scoparia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Centaurea cineraria L.","species","Plantae","alien","null","present","Czech Republic","CZE","Centaurea cineraria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Arytaina genistae (Latreille, 1804)","species","Animalia","alien","null","present","Czech Republic","CZE","Arytaina genistae","Animalia","Arthropoda","Insecta","Hemiptera","Psyllidae","[""host""]"
"Philonthus rectangulus Sharp, 1874","species","Animalia","alien","null","present","Czech Republic","CZE","Philonthus rectangulus","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","[""terrestrial""]"
"Amaranthus hypochondriacus L.","species","Plantae","alien","null","present","Czech Republic","CZE","Amaranthus hypochondriacus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Endria nebulosa (Ball, 1900)","species","Animalia","alien","null","present","Czech Republic","CZE","Endria nebulosa","Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","[""host""]"
"Pleodorina indica (Iyengar) H.Nozaki","species","Plantae","alien","null","present","Czech Republic","CZE","Pleodorina indica","Plantae","Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","[""freshwater""]"
"Orobanche gracilis Sm.","species","Plantae","alien","null","present","Czech Republic","CZE","Orobanche gracilis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Avena sativa L.","species","Plantae","alien","null","present","Czech Republic","CZE","Avena sativa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Stachys annua L.","species","Plantae","alien","null","present","Czech Republic","CZE","Stachys annua","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
