"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Sisymbrium altissimum L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Sisymbrium altissimum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Physalis angulata L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Carduus crispus L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Carduus crispus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Foeniculum vulgare Mill.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Foeniculum vulgare","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Perilla frutescens Britton.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Perilla frutescens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Phyllostachys bambusoides Siebold & Zucc.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Phyllostachys reticulata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ailanthus altissima (Mill.) Swingle","species","Plantae","alien","invasive","present","Democratic People's Republic of Korea","PRK","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Styphnolobium japonicum (L.) Schott","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Styphnolobium japonicum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Solidago gigantea Aiton","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Solidago gigantea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Xanthium strumarium L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Xanthium strumarium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Chenopodium hybridum L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Chenopodiastrum hybridum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Datura metel L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Datura metel","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Asparagus officinalis L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Asparagus officinalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Chenopodium strictum Roth","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Chenopodium strictum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Tripleurospermum inodorum (L.) Sch.Bip.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Tripleurospermum inodorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cardamine flexuosa Withering","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Cardamine flexuosa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Lycopersicon esculentum Miller","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Solanum lycopersicum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Celosia argentea L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Celosia argentea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Hordeum jubatum L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Hordeum jubatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Salix matsudana var. tortuosa Vilm.","variety","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Salix babylonica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Scutellaria baicalensis Georgi","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Scutellaria baicalensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Chloris virgata Sw.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Chloris virgata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Anthemis arvensis L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Anthemis arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cosmos sulphureus Cav.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Cosmos sulphureus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Echinochloa crus-galli (L.) P.Beauv.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Echinochloa crus-galli","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Solanum nigrum L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Solanum nigrum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Sonchus asper Hill","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Arctium lappa L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Arctium lappa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Holcus lanatus L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Holcus lanatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Erigeron strigosus Muhl. ex Willd.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Erigeron strigosus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Reynoutria multiflora (Thunb.) Moldenke","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Fallopia multiflora","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Anthoxanthum odoratum L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Anthoxanthum odoratum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Silphium perfoliatum L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Silphium perfoliatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cerastium glomeratum Thuill.","species","Plantae","alien","invasive","present","Democratic People's Republic of Korea","PRK","Cerastium glomeratum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Medicago polymorpha L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Medicago polymorpha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Erigeron canadensis L.","species","Plantae","alien","invasive","present","Democratic People's Republic of Korea","PRK","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Fagopyrum tataricum Gaertn.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Fagopyrum tataricum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Leptochloa fusca (L.) Kunth","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Diplachne fusca","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lepidium virginicum L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Lepidium virginicum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Helianthus tuberosus L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Helianthus tuberosus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ambrosia artemisiifolia L.","species","Plantae","alien","invasive","present","Democratic People's Republic of Korea","PRK","Ambrosia artemisiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ipomoea purpurea (L.) Roth","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Ipomoea purpurea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Matricaria matricarioides (Less.) Porter","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Matricaria discoidea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Spergula arvensis L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Spergula arvensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Elymus repens (L.) Gould","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Elymus repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Brachypodium pinnatum (L.) P.Beauv.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Brachypodium pinnatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl","species","Plantae","alien","invasive","present","Democratic People's Republic of Korea","PRK","Arrhenatherum elatius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Veronica peregrina L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Veronica peregrina","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Senecio vulgaris L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Senecio vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Alopecurus pratensis L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Alopecurus pratensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cercis chinensis Bunge","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Cercis chinensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Fallopia convolvulus (L.) Á.Löve","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Fallopia convolvulus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Cannabis sativa L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Cannabis sativa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","[""terrestrial""]"
"Brassica juncea (L.) Czern.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Brassica juncea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Amaranthus caudatus L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Amaranthus caudatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Galinsoga quadriradiata Ruiz & Pav.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Galinsoga quadriradiata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Medicago lupulina L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Medicago lupulina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Dactylis glomerata L.","species","Plantae","alien","invasive","present","Democratic People's Republic of Korea","PRK","Dactylis glomerata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Poa compressa L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Poa compressa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Eichhornia crassipes Solms","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Toona sinensis M.Roem.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Toona sinensis","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Bromus commutatus Schrad.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Bromus commutatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Amaranthus mangostanus L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Amaranthus tricolor","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Linaria vulgaris Mill.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Linaria vulgaris","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Prunus armeniaca var. ansu Maxim.","variety","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Prunus armeniaca","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Coreopsis tinctoria Nutt.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Coreopsis tinctoria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Dysphania ambrosioides (L.) Mosyakin & Clemants","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Dysphania ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Hibiscus trionum L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Hibiscus trionum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Fagopyrum esculentum Moench","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Fagopyrum esculentum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Malva verticillata L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Malva verticillata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Oxalis corniculata L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Pinus strobus L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Pinus strobus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Trifolium repens L.","species","Plantae","alien","invasive","present","Democratic People's Republic of Korea","PRK","Trifolium repens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Oenanthe aquatica (L.) Poir.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Oenanthe aquatica","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Oenothera biennis L.","species","Plantae","alien","invasive","present","Democratic People's Republic of Korea","PRK","Oenothera biennis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Matsucoccus pini Green, 1925","species","Animalia","alien","invasive","present","Democratic People's Republic of Korea","PRK","Matsucoccus pini","Animalia","Arthropoda","Insecta","Hemiptera","Margarodidae","[""host""]"
"Persicaria tinctoria (Ait.) H.Gross","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Persicaria tinctoria","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Medicago minima (L.) L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Medicago minima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Leucanthemum vulgare Lam.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Leucanthemum vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Caragana sinica (Buc'hoz) Rehder","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Caragana sinica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Phleum pratense L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Phleum pratense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Persicaria orientalis (L.) Spach","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Persicaria orientalis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Micropterus salmoides (Lacepède, 1802)","species","Animalia","alien","null","present","Democratic People's Republic of Korea","PRK","Micropterus salmoides","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","[""freshwater""]"
"Bidens pilosa var. pilosa","variety","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Poa trivialis L.","species","Plantae","alien","null","present","Democratic People's Republic of Korea","PRK","Poa trivialis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
