"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Cycas revoluta Thunb.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Cycas revoluta","Plantae","Tracheophyta","Cycadopsida","Cycadales","Cycadaceae","[""terrestrial""]",
"Youngia japonica (L.) DC.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Youngia japonica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Anacardium occidentale L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Anacardium occidentale","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Cassia grandis L.f.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Cassia grandis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Ricinus communis L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Haematoxylum brasiletto H.Karst.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Haematoxylum brasiletto","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Dioscorea alata L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Dioscorea alata","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","[""terrestrial""]",
"Luffa aegyptiaca Mill.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Luffa aegyptiaca","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]",
"Physalis angulata L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Chonemorpha fragrans Alston","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Chonemorpha fragrans","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Paspalum urvillei Steud.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Paspalum urvillei","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ciliosemina pedunculata (H.Karst.) Antonelli","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Ciliosemina pedunculata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Psidium friedrichsthalianum Nied.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Psidium friedrichsthalianum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Schinus molle L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Schinus molle","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]",
"Aristolochia ringens Vahl","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Aristolochia ringens","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","[""terrestrial""]",
"Cephalostachyum pergracile Munro","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Schizostachyum pergracile","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Clerodendrum splendens G.Don","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Clerodendrum splendens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Tagetes erecta L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Tagetes erecta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Salvia misella Kunth","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Salvia misella","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Caesalpinia pulcherrima (L.) Sw.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Caesalpinia pulcherrima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Oreochromis spilurus (Günther, 1894)","species","Animalia","alien","null","present","Democratic Republic of the Congo","COD","Oreochromis spilurus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Passiflora foetida L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Chrysophyllum cainito L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Chrysophyllum cainito","Plantae","Tracheophyta","Magnoliopsida","Ericales","Sapotaceae","[""terrestrial""]",
"Tabebuia impetiginosa (Mart. ex DC.) Toledo","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Handroanthus impetiginosum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Indigofera suffruticosa Mill.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Indigofera suffruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Misopates orontium Raf.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Misopates orontium","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]",
"Thevetia peruviana Merr.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Thevetia peruviana","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Gardenia jasminoides Ellis","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Gardenia jasminoides","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Bauhinia monandra Kurz","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Bauhinia monandra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Rivina humilis L.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Rivina humilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","[""terrestrial""]",
"Calliandra surinamensis Benth.","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Calliandra surinamensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Xanthosoma sagittifolium (L.) Schott","species","Plantae","alien","null","present","Democratic Republic of the Congo","COD","Xanthosoma sagittifolium","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
