"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Hyssopus officinalis L.","species","Plantae","alien","null","present","Denmark","DNK","Hyssopus officinalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Ailanthus altissima Swingle","species","Plantae","alien","invasive","present","Denmark","DNK","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Papaver atlanticum (Ball) Coss.","species","Plantae","alien","null","present","Denmark","DNK","Papaver atlanticum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Sanguisorba minor subsp. polygama (Waldst. & Kit.) Coutinho","subspecies","Plantae","alien","null","present","Denmark","DNK","Sanguisorba minor","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Lysimachia punctata L.","species","Plantae","alien","null","present","Denmark","DNK","Lysimachia punctata","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","[""terrestrial""]"
"Buprestis novemmaculata Linnaeus, 1767","species","Animalia","alien","null","present","Denmark","DNK","Buprestis novemmaculata","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","[""terrestrial""]"
"Bassia scoparia subsp. densiflora (Turcz. ex Aellen) S.Cirujano & M.Velayos","subspecies","Plantae","alien","null","present","Denmark","DNK","Bassia scoparia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Bidens aristosa Britton","species","Plantae","alien","null","present","Denmark","DNK","Bidens aristosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sideritis montana L.","species","Plantae","alien","null","present","Denmark","DNK","Sideritis montana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Stachys byzantina K.Koch","species","Plantae","alien","null","present","Denmark","DNK","Stachys byzantina","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Dianthus carthusianorum L.","species","Plantae","alien","null","present","Denmark","DNK","Dianthus carthusianorum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Clarkia whitneyi (A.Gray) A.Nelson & Macbride","species","Plantae","alien","null","present","Denmark","DNK","Clarkia amoena","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
