"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Tamarix aphylla H.Karst.","species","Plantae","alien","null","present","Djibouti","DJI","Tamarix aphylla","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Tamaricaceae","[""terrestrial""]"
"Prosopis glandulosa Torr.","species","Plantae","alien","null","present","Djibouti","DJI","Prosopis glandulosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Felis catus Linnaeus, 1758","species","Animalia","alien","invasive","present","Djibouti","DJI","Felis catus","Animalia","Chordata","Mammalia","Carnivora","Felidae","[""terrestrial""]"
"Leucaena diversifolia Benth.","species","Plantae","alien","null","present","Djibouti","DJI","Leucaena diversifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Pithecellobium dulce (Roxb.) Benth.","species","Plantae","alien","null","present","Djibouti","DJI","Pithecellobium dulce","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Djibouti","DJI","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Vibrio cholerae Pacini, 1854","species","Bacteria","alien","invasive","present","Djibouti","DJI","Vibrio cholerae","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","[""host""]"
"Hibiscus trionum L.","species","Plantae","alien","null","present","Djibouti","DJI","Hibiscus trionum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Senna occidentalis (L.) Link","species","Plantae","alien","null","present","Djibouti","DJI","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Sesamum indicum L.","species","Plantae","alien","null","present","Djibouti","DJI","Sesamum indicum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Pedaliaceae","[""terrestrial""]"
