"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Chelonoidis carbonaria Bour, 1980","species","Animalia","alien","null","present","Dominica","DMA","Chelonoidis carbonarius","Animalia","Chordata","Reptilia","Testudines","Testudinidae","[""terrestrial"",""freshwater""]",
"Holopothrips inquilinus (Bournier, 1993)","species","Animalia","alien","invasive","present","Dominica","DMA","Holopothrips inquilinus","Animalia","Arthropoda","Insecta","Thysanoptera","Phlaeothripidae","[""terrestrial""]",
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Dominica","DMA","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
"Sphagneticola trilobata (L.) Pruski","species","Plantae","alien","null","present","Dominica","DMA","Sphagneticola trilobata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Liriomyza sativae Blanchard, 1938","species","Animalia","alien","null","present","Dominica","DMA","Liriomyza sativae","Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","[""terrestrial""]",
"Saissetia oleae Olivier","species","Animalia","alien","null","present","Dominica","DMA","Saissetia oleae","Animalia","Arthropoda","Insecta","Hemiptera","Coccidae","[""host""]",
"Synedrella nodiflora Gaertn.","species","Plantae","alien","null","present","Dominica","DMA",,,,,,,,
"Leonurus japonicus Houtt.","species","Plantae","alien","null","present","Dominica","DMA","Leonurus japonicus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Aleurodicus dispersus Russell, 1965","species","Animalia","alien","null","present","Dominica","DMA","Aleurodicus dispersus","Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","[""host""]",
"Urochloa mutica (Forssk.) T.Q.Nguyen","species","Plantae","alien","null","present","Dominica","DMA","Brachiaria mutica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Icerya purchasi Maskell, 1879","species","Animalia","alien","invasive","present","Dominica","DMA","Icerya purchasi","Animalia","Arthropoda","Insecta","Hemiptera","Margarodidae","[""host""]",
"Eleutherodactylus johnstonei Barbour, 1914","species","Animalia","alien","null","present","Dominica","DMA","Eleutherodactylus johnstonei","Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","[""terrestrial"",""freshwater""]",
"Achyranthes aspera L.","species","Plantae","alien","null","present","Dominica","DMA","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Bemisia tabaci (Gennadius, 1889)","species","Animalia","alien","null","present","Dominica","DMA","Bemisia tabaci","Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","[""host""]",
"Culex quinquefasciatus Say, 1823","species","Animalia","alien","null","present","Dominica","DMA","Culex quinquefasciatus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]",
"Aedes aegypti (Linnaeus, 1762)","species","Animalia","alien","null","present","Dominica","DMA","Aedes aegypti","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]",
"Halophila stipulacea Asch.","species","Plantae","alien","invasive","present","Dominica","DMA","Halophila stipulacea","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""marine""]",
"Senna siamea (Lamarck) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Dominica","DMA","Senna siamea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Cryptotermes brevis (Walker, 1853)","species","Animalia","alien","invasive","present","Dominica","DMA","Cryptotermes brevis","Animalia","Arthropoda","Insecta","Blattodea","Kalotermitidae","[""terrestrial""]",
"Molothrus bonariensis (Gmelin, 1789)","species","Animalia","alien","null","present","Dominica","DMA","Molothrus bonariensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","[""terrestrial""]",
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Dominica","DMA","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
"Melicoccus bijugatus Jacq.","species","Plantae","alien","null","present","Dominica","DMA","Melicoccus bijugatus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
"Canis lupus subsp. familiaris Linnaeus, 1758","subspecies","Animalia","alien","null","present","Dominica","DMA","Canis lupus","Animalia","Chordata","Mammalia","Carnivora","Canidae","[""terrestrial""]",
"Aonidiella aurantii (Maskell, 1879)","species","Animalia","alien","null","present","Dominica","DMA","Aonidiella aurantii","Animalia","Arthropoda","Insecta","Hemiptera","Diaspididae","[""host""]",
"Sphenoclea zeylanica Gaertn.","species","Plantae","alien","null","present","Dominica","DMA","Sphenoclea zeylanica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Sphenocleaceae","[""terrestrial""]",
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Dominica","DMA","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]",
"Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs","species","Plantae","alien","null","present","Dominica","DMA","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ardisia elliptica Thunb.","species","Plantae","alien","null","present","Dominica","DMA","Ardisia elliptica","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","[""terrestrial""]",
