"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Mycosphaerella fijiensis M.Morelet","species","Fungi","alien","null","present","Dominican Republic","DOM","Mycosphaerella fijiensis","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","[""host""]"
"Epipremnum pinnatum Engl.","species","Plantae","alien","null","present","Dominican Republic","DOM","Epipremnum pinnatum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]"
"Syzygium malaccense (L.) Merr. & L.M.Perry","species","Plantae","alien","null","present","Dominican Republic","DOM","Syzygium malaccense","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Eucalyptus deglupta Blume","species","Plantae","alien","null","present","Dominican Republic","DOM","Eucalyptus deglupta","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Jatropha curcas L.","species","Plantae","alien","null","present","Dominican Republic","DOM","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Eleutherodactylus coqui Thomas, 1966","species","Animalia","alien","invasive","present","Dominican Republic","DOM","Eleutherodactylus coqui","Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","[""terrestrial"",""freshwater""]"
"Solenopsis geminata (Fabricius, 1804)","species","Animalia","alien","null","present","Dominican Republic","DOM","Solenopsis geminata","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Cenchrus echinatus L.","species","Plantae","alien","null","present","Dominican Republic","DOM","Cenchrus echinatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Bryophyllum pinnatum (Lam.) Oken","species","Plantae","alien","null","present","Dominican Republic","DOM","Bryophyllum pinnatum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Lepus europaeus Pallas, 1778","species","Animalia","alien","null","present","Dominican Republic","DOM","Lepus europaeus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","[""terrestrial""]"
