"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Ulex europaeus L.","species","Plantae","alien","null","present","Ecuador","ECU","Ulex europaeus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Polypogon viridis (Gouan) Breistr.","species","Plantae","alien","null","present","Ecuador","ECU","Polypogon viridis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Buddleja davidii Franch.","species","Plantae","alien","null","present","Ecuador","ECU","Buddleja davidii","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","[""terrestrial""]"
"Eriochloa procera (Retz.) C.E.Hubb.","species","Plantae","alien","null","present","Ecuador","ECU","Eriochloa procera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Abelmoschus manihot (L.) Medik.","species","Plantae","alien","null","present","Ecuador","ECU","Abelmoschus manihot","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Gallus gallus (Linnaeus, 1758)","species","Animalia","alien","null","present","Ecuador","ECU","Gallus gallus","Animalia","Chordata","Aves","Galliformes","Phasianidae","[""terrestrial""]"
"Pseudemys texana Baur, 1893","species","Animalia","alien","null","present","Ecuador","ECU","Pseudemys texana","Animalia","Chordata","Reptilia","Testudines","Emydidae","[""terrestrial"",""freshwater""]"
"Acer saccharinum L.","species","Plantae","alien","null","present","Ecuador","ECU","Acer saccharinum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Santolina chamaecyparissus L.","species","Plantae","alien","null","present","Ecuador","ECU","Santolina chamaecyparissus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cyperus esculentus L.","species","Plantae","alien","null","present","Ecuador","ECU","Cyperus esculentus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Fuchsia magellanica Lam.","species","Plantae","alien","null","present","Ecuador","ECU","Fuchsia magellanica","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Bougainvillea spectabilis Willd.","species","Plantae","alien","null","present","Ecuador","ECU","Bougainvillea spectabilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Agrostis gigantea Roth","species","Plantae","alien","null","present","Ecuador","ECU","Agrostis gigantea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cerastium glomeratum Thuill.","species","Plantae","alien","null","present","Ecuador","ECU","Cerastium glomeratum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Cosmos caudatus Kunth","species","Plantae","alien","null","present","Ecuador","ECU","Cosmos caudatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Bufalus bufalis (Linnaeus, 1758)","species","Animalia","alien","null","present","Ecuador","ECU","Bufalus bufalis","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial"",""freshwater""]"
"Sus scrofa Linnaeus, 1758","species","Animalia","alien","invasive","present","Ecuador","ECU","Sus scrofa","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","[""terrestrial""]"
"Yersinia pestis (Lehmann & Neumann, 1896) van Loghem, 1944","species","Bacteria","alien","invasive","present","Ecuador","ECU","Yersinia pestis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","[""host""]"
"Erigeron karvinskianus DC.","species","Plantae","alien","null","present","Ecuador","ECU","Erigeron karvinskianus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Grevillea banksii R.Br.","species","Plantae","alien","null","present","Ecuador","ECU","Grevillea banksii","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","[""terrestrial""]"
"Phalaris angusta Nees ex Trin.","species","Plantae","alien","null","present","Ecuador","ECU","Phalaris angusta","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Chrysolophus pictus (Linnaeus, 1758)","species","Animalia","alien","null","present","Ecuador","ECU","Chrysolophus pictus","Animalia","Chordata","Aves","Galliformes","Phasianidae","[""terrestrial""]"
"Crassostrea gigas (Thunberg, 1793)","species","Animalia","alien","invasive","present","Ecuador","ECU","Magallana gigas","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","[""marine""]"
"Leucaena diversifolia Benth.","species","Plantae","alien","null","present","Ecuador","ECU","Leucaena diversifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Ecuador","ECU","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Cyperus iria L.","species","Plantae","alien","null","present","Ecuador","ECU","Cyperus iria","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Diplotaxis muralis DC.","species","Plantae","alien","null","present","Ecuador","ECU","Diplotaxis muralis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Lathyrus odoratus L.","species","Plantae","alien","null","present","Ecuador","ECU","Lathyrus odoratus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Oeceoclades maculata Lindl.","species","Plantae","alien","null","present","Ecuador","ECU","Oeceoclades maculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]"
"Matthiola incana (L.) W.T.Aiton","species","Plantae","alien","null","present","Ecuador","ECU","Matthiola incana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Bubo bubo (Linnaeus, 1758)","species","Animalia","alien","null","present","Ecuador","ECU","Bubo bubo","Animalia","Chordata","Aves","Strigiformes","Strigidae","[""terrestrial""]"
"Lolium temulentum L.","species","Plantae","alien","null","present","Ecuador","ECU","Lolium temulentum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lawsonia inermis L.","species","Plantae","alien","null","present","Ecuador","ECU","Lawsonia inermis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Iberis amara L.","species","Plantae","alien","null","present","Ecuador","ECU","Iberis amara","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Murraya paniculata (L.) Jacq.","species","Plantae","alien","null","present","Ecuador","ECU","Murraya paniculata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]"
"Cynoglossum amabile Stapf & Drummond","species","Plantae","alien","null","present","Ecuador","ECU","Cynoglossum amabile","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Hyparrhenia rufa (Nees) Stapf","species","Plantae","alien","null","present","Ecuador","ECU","Hyparrhenia rufa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Manicaria saccifera Gaertn.","species","Plantae","alien","null","present","Ecuador","ECU","Manicaria saccifera","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Amazona ochrocephala (Gmelin, 1788)","species","Animalia","native|alien","null","present","Ecuador","ECU","Amazona ochrocephala","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Centrochelys sulcata (Miller, 1779)","species","Animalia","alien","null","present","Ecuador","ECU","Centrochelys sulcata","Animalia","Chordata","Reptilia","Testudines","Testudinidae","[""terrestrial"",""freshwater""]"
"Carduelis carduelis (Linnaeus, 1758)","species","Animalia","alien","null","present","Ecuador","ECU","Carduelis carduelis","Animalia","Chordata","Aves","Passeriformes","Fringillidae","[""terrestrial""]"
"Cucurbita moschata Duchesne ex Poir.","species","Plantae","alien","null","present","Ecuador","ECU","Cucurbita moschata","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Oenothera sandiana Hassk.","species","Plantae","alien","null","present","Ecuador","ECU","Oenothera sandiana","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Aptenia cordifolia (L.fil.) Schwant.","species","Plantae","alien","null","present","Ecuador","ECU","Mesembryanthemum cordifolium","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Conyza canadensis (L.) Cronq.","species","Plantae","alien","null","present","Ecuador","ECU","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Viburnum rhytidophyllum Hemsl. ex Forb. & Hemsl.","species","Plantae","alien","null","present","Ecuador","ECU","Viburnum rhytidophyllum","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","[""terrestrial""]"
"Nicotiana glauca Graham","species","Plantae","alien","null","present","Ecuador","ECU","Nicotiana glauca","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Mangifera indica L.","species","Plantae","alien","null","present","Ecuador","ECU","Mangifera indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Bubulcus ibis (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Ecuador","ECU","Bubulcus ibis","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","[""terrestrial"",""freshwater""]"
"Calendula officinalis L.","species","Plantae","alien","null","present","Ecuador","ECU","Calendula officinalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cryptotermes brevis (Walker, 1853)","species","Animalia","alien","invasive","present","Ecuador","ECU","Cryptotermes brevis","Animalia","Arthropoda","Insecta","Blattodea","Kalotermitidae","[""terrestrial""]"
