"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Paraeuchaeta concinna (Dana, 1849)","species","Animalia","alien","null","present","Egypt","EGY","Euchaeta concinna","Animalia","Arthropoda","Hexanauplia","Calanoida","Euchaetidae","[""marine""]"
"Chenopodium ambrosioides Bert.","species","Plantae","alien","invasive","present","Egypt","EGY","Chenopodium ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Rhopilema nomadica Galil, 1990","species","Animalia","alien","invasive","present","Egypt","EGY","Rhopilema nomadica","Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Rhizostomatidae","[""marine""]"
"Capsella bursa-pastoris (L.) Medik.","species","Plantae","alien","null","present","Egypt","EGY","Capsella bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Mus musculus Linnaeus, 1758","species","Animalia","alien","null","present","Egypt","EGY","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Parkinsonia aculeata L.","species","Plantae","alien","null","present","Egypt","EGY","Parkinsonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","null","present","Egypt","EGY","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Hypophthalmichthys molitrix (Valenciennes, 1844)","species","Animalia","alien","invasive","present","Egypt","EGY","Hypophthalmichthys molitrix","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Anguillicoloides crassus (Kuwahara, Niimi & Itagaki, 1974)","species","Animalia","alien","invasive","present","Egypt","EGY","Anguillicoloides crassus","Animalia","Nematoda","Secernentea","Spirurida","Anguillicolidae","[""host""]"
"Rhynchoconger trewavasae Ben-Tuvia, 1993","species","Animalia","alien","null","present","Egypt","EGY","Rhynchoconger trewavasae","Animalia","Chordata","Actinopterygii","Anguilliformes","Congridae","[""marine""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","Egypt","EGY","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Oryza rufipogon Griff.","species","Plantae","alien","null","present","Egypt","EGY","Oryza rufipogon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Acrochaetium subseriatum Børgesen, 1932","species","Plantae","alien","null","present","Egypt","EGY","Acrochaetium subseriatum","Plantae","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","[""marine""]"
"Spathodea campanulata Beauv.","species","Plantae","alien","null","present","Egypt","EGY","Spathodea campanulata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Myriophyllum spicatum L.","species","Plantae","alien","invasive","present","Egypt","EGY","Myriophyllum spicatum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","[""freshwater""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","invasive","present","Egypt","EGY","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
