"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Inga edulis Mart.","species","Plantae","alien","null","present","El Salvador","SLV","Inga edulis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Oplismenus burmannii Retz.","species","Plantae","alien","null","present","El Salvador","SLV","Oplismenus burmannii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Lablab purpureus (L.) Sweet","species","Plantae","alien","null","present","El Salvador","SLV","Lablab purpureus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Merremia dissecta (Jacq.) Hall.fil.","species","Plantae","alien","null","present","El Salvador","SLV","Distimake dissectus","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Heteranthera reniformis Ruiz & Pav.","species","Plantae","alien","null","present","El Salvador","SLV","Heteranthera reniformis","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]",
"Digitaria insularis (L.) Mez ex Ekman","species","Plantae","alien","null","present","El Salvador","SLV","Digitaria insularis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Chromolaena odorata (L.) R.M.King & H.Rob.","species","Plantae","alien","null","present","El Salvador","SLV","Chromolaena odorata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Desmodium uncinatum (Jacq.) DC.","species","Plantae","alien","null","present","El Salvador","SLV","Desmodium uncinatum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Conyza canadensis (L.) Cronq.","species","Plantae","alien","null","present","El Salvador","SLV","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Guadua angustifolia Kunth","species","Plantae","alien","null","present","El Salvador","SLV","Guadua angustifolia","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Senna spectabilis (DC.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","El Salvador","SLV","Senna spectabilis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Manilkara zapota (L.) P.Royen","species","Plantae","alien","null","present","El Salvador","SLV","Manilkara zapota","Plantae","Tracheophyta","Magnoliopsida","Ericales","Sapotaceae","[""terrestrial""]",
"Foeniculum vulgare Mill.","species","Plantae","alien","null","present","El Salvador","SLV","Foeniculum vulgare","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]",
"Sanchezia parvibracteata Sprague & Hutch.","species","Plantae","alien","null","present","El Salvador","SLV","Sanchezia parvibracteata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Syngonium podophyllum Schott","species","Plantae","alien","null","present","El Salvador","SLV","Syngonium podophyllum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Senna hirsuta (L.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","El Salvador","SLV","Senna hirsuta","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Lonchura malacca (Linnaeus, 1766)","species","Animalia","alien","null","present","El Salvador","SLV","Lonchura malacca","Animalia","Chordata","Aves","Passeriformes","Estrildidae","[""terrestrial""]",
"Catharanthus roseus (L.) G.Don","species","Plantae","alien","null","present","El Salvador","SLV","Catharanthus roseus","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Delonix regia (Bojer) Raf.","species","Plantae","alien","null","present","El Salvador","SLV","Delonix regia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Amaranthus hybridus L.","species","Plantae","alien","null","present","El Salvador","SLV","Amaranthus hybridus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Fimbristylis littoralis Gaudich.","species","Plantae","alien","null","present","El Salvador","SLV","Fimbristylis littoralis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Cyclospermum leptophyllum (Pers.) Sprague","species","Plantae","alien","null","present","El Salvador","SLV","Cyclospermum leptophyllum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]",
"Acalypha alopecuroidea Jacq.","species","Plantae","alien","null","present","El Salvador","SLV","Acalypha alopecuroidea","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Axonopus compressus (Sw.) P.Beauv.","species","Plantae","alien","null","present","El Salvador","SLV","Axonopus compressus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cenchrus echinatus L.","species","Plantae","alien","null","present","El Salvador","SLV","Cenchrus echinatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sida rhombifolia L.","species","Plantae","alien","null","present","El Salvador","SLV","Sida rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Cajanus cajan (L.) Millsp.","species","Plantae","alien","null","present","El Salvador","SLV","Cajanus cajan","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Spermacoce remota Lam.","species","Plantae","alien","null","present","El Salvador","SLV","Spermacoce remota","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Mitracarpus hirtus DC.","species","Plantae","alien","null","present","El Salvador","SLV","Mitracarpus hirtus","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Crocosmia crocosmiiflora (Nicholson) N.E.Br.","species","Plantae","alien","null","present","El Salvador","SLV","Crocosmia crocosmiiflora","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]",
"Heliotropium indicum L.","species","Plantae","alien","null","present","El Salvador","SLV","Heliotropium indicum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","[""terrestrial""]",
"Euphorbia heterophylla L.","species","Plantae","alien","null","present","El Salvador","SLV","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","alien","null","present","El Salvador","SLV","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Euphorbia thymifolia L.","species","Plantae","alien","null","present","El Salvador","SLV","Euphorbia thymifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Stylosanthes viscosa (L.) Sw.","species","Plantae","alien","null","present","El Salvador","SLV","Stylosanthes viscosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Cenchrus pilosus Kunth","species","Plantae","alien","null","present","El Salvador","SLV","Cenchrus pilosus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Emilia coccinea Sweet","species","Plantae","alien","null","present","El Salvador","SLV","Emilia coccinea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Dysphania ambrosioides (L.) Mosyakin & Clemants","species","Plantae","alien","null","present","El Salvador","SLV","Dysphania ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Momordica charantia L.","species","Plantae","alien","null","present","El Salvador","SLV","Momordica charantia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]",
"Cardiospermum grandiflorum Sw.","species","Plantae","alien","null","present","El Salvador","SLV","Cardiospermum grandiflorum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
"Cuphea carthagenensis (Jacq.) J.F.Macbr.","species","Plantae","alien","null","present","El Salvador","SLV","Cuphea carthagenensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]",
