"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Orobanche purpurea Raf.","species","Plantae","alien","null","present","Estonia","EST","Orobanche variegata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Tribolium madens (Charpentier, 1825)","species","Animalia","alien","null","present","Estonia","EST","Tribolium madens","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","[""terrestrial""]"
"Amaranthus retroflexus L.","species","Plantae","alien","null","present","Estonia","EST","Amaranthus retroflexus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Chenopodium botrys","species","Plantae","alien","null","present","Estonia","EST","Dysphania botrys","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Maeotias marginata (Modeer, 1791)","species","Animalia","alien","null","present","Estonia","EST","Maeotias marginata","Animalia","Cnidaria","Hydrozoa","Limnomedusae","Olindiidae","[""marine""]"
"Lactuca tatarica C.A.Mey.","species","Plantae","alien","invasive","present","Estonia","EST","Lactuca tatarica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Turgenia latifolia (L.) Hoffm.","species","Plantae","alien","null","present","Estonia","EST","Turgenia latifolia","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Corynephorus canescens P.Beauv.","species","Plantae","alien","null","present","Estonia","EST","Corynephorus canescens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Euphorbia peplus L.","species","Plantae","alien","null","present","Estonia","EST","Euphorbia peplus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Mentha dalmatica Tausch","species","Plantae","alien","null","present","Estonia","EST","Mentha dalmatica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Heterodera schachtii Schmidt, 1871","species","Animalia","alien","null","present","Estonia","EST","Heterodera schachtii","Animalia","Nematoda","Secernentea","Tylenchida","Heteroderidae","[""host""]"
"Plantago arenaria Waldst. & Kit.","species","Plantae","alien","null","present","Estonia","EST","Plantago arenaria","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Nopoiulus venustus","species","Animalia","alien","null","present","Estonia","EST","Nopoiulus kochii","Animalia","Arthropoda","Diplopoda","Julida","Blaniulidae","[""terrestrial""]"
"Setaria italica P.Beauv.","species","Plantae","alien","null","present","Estonia","EST","Setaria italica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pseudotsuga menziesii (Mirb.) Franco","species","Plantae","alien","null","present","Estonia","EST","Pseudotsuga menziesii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Mimulus moschatus Douglas ex Lindl.","species","Plantae","alien","null","present","Estonia","EST","Erythranthe moschata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","[""terrestrial""]"
"Cholodkovskya viridana (Cholodkovsky, 1896)","species","Animalia","alien","null","present","Estonia","EST","Adelges viridanus","Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","[""host""]"
"Reseda lutea L.","species","Plantae","alien","null","present","Estonia","EST","Reseda lutea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Resedaceae","[""terrestrial""]"
"Petunia hybrida (Hook.fil.) Vilmorin","species","Plantae","alien","null","present","Estonia","EST","Petunia atkinsiana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Atriplex micrantha Ledeb.","species","Plantae","alien","null","present","Estonia","EST","Atriplex micrantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Pterocomma populeum (Kaltenbach, 1843)","species","Animalia","alien","null","present","Estonia","EST","Pterocomma populeum","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Cactodera cacti (Filipjev & Schuurmans Stekhoven, 1941) Krall & Krall, 1978","species","Animalia","alien","null","present","Estonia","EST","Cactodera cacti","Animalia","Nematoda","Secernentea","Tylenchida","Heteroderidae","[""host""]"
"Epauloecus unicolor (Piller & Mitterpacher, 1783)","species","Animalia","alien","null","present","Estonia","EST","Tipnus unicolor","Animalia","Arthropoda","Insecta","Coleoptera","Ptinidae","[""terrestrial""]"
"Thlaspi caerulescens J.Presl & C.Presl","species","Plantae","alien","null","present","Estonia","EST","Noccaea caerulescens","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Digitaria ischaemum (Schreb.) Muhl.","species","Plantae","alien","null","present","Estonia","EST","Digitaria ischaemum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Chenopodium capitatum Wats.","species","Plantae","alien","null","present","Estonia","EST","Chenopodium capitatum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Myagrum perfoliatum L.","species","Plantae","alien","null","present","Estonia","EST","Myagrum perfoliatum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Larix decidua Mill.","species","Plantae","alien","null","present","Estonia","EST","Larix decidua","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Crataegus laevigata DC.","species","Plantae","alien","null","present","Estonia","EST","Crataegus laevigata","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Ribes rubrum L.","species","Plantae","alien","null","present","Estonia","EST","Ribes rubrum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Grossulariaceae","[""terrestrial""]"
"Lobularia maritima (L.) Desv.","species","Plantae","alien","null","present","Estonia","EST","Lobularia maritima","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Drepanosiphum aceris Koch & C.L., 1855","species","Animalia","alien","null","present","Estonia","EST","Drepanosiphum aceris","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Ageratum houstonianum Mill.","species","Plantae","alien","null","present","Estonia","EST","Ageratum houstonianum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Narcissus poeticus L.","species","Plantae","alien","null","present","Estonia","EST","Narcissus poeticus","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Cerastium tomentosum L.","species","Plantae","alien","null","present","Estonia","EST","Cerastium tomentosum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Aphelenchoides ritzemabosi (Schwartz, 1911)","species","Animalia","alien","null","present","Estonia","EST","Aphelenchoides ritzemabosi","Animalia","Nematoda","Secernentea","Aphelenchida","Aphelenchoididae","[""host""]"
"Teucrium botrys L.","species","Plantae","alien","null","present","Estonia","EST","Teucrium botrys","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Leptinotarsa decemlineata (Say, 1824)","species","Animalia","alien","null","present","Estonia","EST","Leptinotarsa decemlineata","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Senecio viscosus L.","species","Plantae","alien","invasive","present","Estonia","EST","Senecio viscosus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Glaucium corniculatum (L.) Rudolph","species","Plantae","alien","null","present","Estonia","EST","Glaucium corniculatum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Acartia tonsa Dana, 1849","species","Animalia","alien","null","present","Estonia","EST","Acartia tonsa","Animalia","Arthropoda","Hexanauplia","Calanoida","Acartiidae","[""brackish"",""marine""]"
"Palaemon elegans Rathke, 1837","species","Animalia","alien","null","present","Estonia","EST","Palaemon elegans","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","[""marine""]"
"Aristolochia clematitis L.","species","Plantae","alien","null","present","Estonia","EST","Aristolochia clematitis","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","[""terrestrial""]"
"Brachyiulus littoralis","species","Animalia","alien","null","present","Estonia","EST","Brachyiulus littoralis","Animalia","Arthropoda","Diplopoda","Julida","Julidae","[""terrestrial""]"
"Malva neglecta Wallr","species","Plantae","alien","null","present","Estonia","EST","Malva neglecta","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Ranunculus sardous Crantz","species","Plantae","alien","null","present","Estonia","EST","Ranunculus sardous","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Chenopodium ambrosioides","species","Plantae","alien","null","present","Estonia","EST","Chenopodium ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Ptilostemon afer (Jacq.) Greuter","species","Plantae","alien","null","present","Estonia","EST","Ptilostemon afer","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Mimulus guttatus Fisch. ex DC.","species","Plantae","alien","null","present","Estonia","EST","Erythranthe guttata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","[""terrestrial""]"
"Aconitum napellus L.","species","Plantae","alien","null","present","Estonia","EST","Aconitum napellus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Hemimysis anomala G.O.Sars, 1907","species","Animalia","alien","null","present","Estonia","EST","Hemimysis anomala","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","[""freshwater"",""brackish""]"
"Larix sibirica Ledeb.","species","Plantae","alien","null","present","Estonia","EST","Larix sibirica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Lavatera trimestris","species","Plantae","alien","null","present","Estonia","EST","Malva trimestris","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Bromopsis riparia (Rehmann) Holub","species","Plantae","alien","null","present","Estonia","EST","Bromus riparius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sambucus racemosa L.","species","Plantae","alien","invasive","present","Estonia","EST","Sambucus racemosa","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","[""terrestrial""]"
"Pisum sativum L.","species","Plantae","alien","null","present","Estonia","EST","Pisum sativum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cucumis melo L.","species","Plantae","alien","null","present","Estonia","EST","Cucumis melo","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Zizania latifolia Turcz. ex Stapf","species","Plantae","alien","null","present","Estonia","EST","Zizania latifolia","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Tubifex newaensis (Michaelsen, 1903)","species","Animalia","alien","null","present","Estonia","EST","Tubifex newaensis","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","[""marine""]"
"Rubus odoratus L.","species","Plantae","alien","null","present","Estonia","EST","Rubus odoratus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Dianthus carthusianorum L.","species","Plantae","alien","null","present","Estonia","EST","Dianthus carthusianorum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Bassia eriantha Kuntze","species","Plantae","alien","null","present","Estonia","EST","Londesia eriantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Asperula cynanchica L.","species","Plantae","alien","null","present","Estonia","EST","Asperula cynanchica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Dictyocaulus viviparus (Bloch, 1782)","species","Animalia","alien","null","present","Estonia","EST","Dictyocaulus viviparus","Animalia","Nematoda","Secernentea","Strongylida","Dictyocaulidae","[""host""]"
"Physalis ixocarpa Brot. ex Hornem.","species","Plantae","alien","null","present","Estonia","EST","Physalis philadelphica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Potentilla goldbachii (Rupr.) Rupr.","species","Plantae","alien","null","present","Estonia","EST","Potentilla thuringiaca","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Rheum palmatum L.","species","Plantae","alien","null","present","Estonia","EST","Rheum palmatum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Petasites albus Gaertn.","species","Plantae","alien","null","present","Estonia","EST","Petasites albus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Nepeta grandiflora M.Bieb.","species","Plantae","alien","null","present","Estonia","EST","Nepeta grandiflora","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Lepidium perfoliatum L.","species","Plantae","alien","null","present","Estonia","EST","Lepidium perfoliatum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Forsythia suspensa Vahl","species","Plantae","alien","null","present","Estonia","EST","Forsythia suspensa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1831","species","Animalia","alien","null","present","Estonia","EST","Acipenser gueldenstaedtii","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","[""freshwater"",""brackish"",""marine""]"
"Edaphus beszedesi Reitter, 1914","species","Animalia","alien","null","present","Estonia","EST","Edaphus lederi","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","[""terrestrial""]"
"Chenopodium foliosum (Moench) Ascherson","species","Plantae","alien","null","present","Estonia","EST","Blitum virgatum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Orobanche crenata Forssk.","species","Plantae","alien","null","present","Estonia","EST","Orobanche crenata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Bellis perennis L.","species","Plantae","alien","invasive","present","Estonia","EST","Bellis perennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pterocarya fraxinifolia (Poir.) K.Koch","species","Plantae","alien","null","present","Estonia","EST","Pterocarya pterocarpa","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","[""terrestrial""]"
"Gnathocerus cornutus (Fabricius, 1798)","species","Animalia","alien","null","present","Estonia","EST","Gnathocerus cornutus","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","[""terrestrial""]"
"Acipenser stellatus Pallas, 1771","species","Animalia","alien","null","present","Estonia","EST","Acipenser stellatus","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","[""freshwater"",""brackish"",""marine""]"
"Scilla bifolia L.","species","Plantae","alien","null","present","Estonia","EST","Scilla bifolia","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Rheum rhaponticum L.","species","Plantae","alien","null","present","Estonia","EST","Rheum rhaponticum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Oxalis corniculata L.","species","Plantae","alien","null","present","Estonia","EST","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Rosa acicularis Lindl.","species","Plantae","alien","null","present","Estonia","EST","Rosa acicularis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Rosa canina L.","species","Plantae","alien","null","present","Estonia","EST","Rosa canina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Populus canadensis Moench","species","Plantae","alien","null","present","Estonia","EST","Populus canadensis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Necrobia rufipes (De Geer, 1775)","species","Animalia","alien","null","present","Estonia","EST","Necrobia rufipes","Animalia","Arthropoda","Insecta","Coleoptera","Cleridae","[""terrestrial""]"
"Lotus pedunculatus Cav.","species","Plantae","alien","null","present","Estonia","EST","Lotus pedunculatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
