"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Oenothera jamesii Torr. & A.Gray","species","Plantae","alien","null","present","Eswatini","SWZ","Oenothera jamesii","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Achyranthes aspera var. aspera","variety","Plantae","alien","null","present","Eswatini","SWZ","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Artocarpus heterophyllus Lam.","species","Plantae","alien","null","present","Eswatini","SWZ","Artocarpus heterophyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Tithonia diversifolia A.Gray","species","Plantae","alien","null","present","Eswatini","SWZ","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cereus jamacaru DC.","species","Plantae","alien","null","present","Eswatini","SWZ","Cereus jamacaru","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Tridax procumbens L.","species","Plantae","alien","null","present","Eswatini","SWZ","Tridax procumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Solanum pseudocapsicum L.","species","Plantae","alien","null","present","Eswatini","SWZ","Solanum pseudocapsicum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Hypochaeris radicata L.","species","Plantae","alien","null","present","Eswatini","SWZ","Hypochaeris radicata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oenothera tetraptera Cav.","species","Plantae","alien","null","present","Eswatini","SWZ","Oenothera tetraptera","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Argemone ochroleuca subsp. ochroleuca","subspecies","Plantae","alien","null","present","Eswatini","SWZ","Argemone ochroleuca","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Rubus pascuus L.H.Bailey","species","Plantae","alien","null","present","Eswatini","SWZ","Rubus pascuus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Oryza sativa L.","species","Plantae","alien","null","present","Eswatini","SWZ","Oryza sativa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Solanum viarum Dunal","species","Plantae","alien","null","present","Eswatini","SWZ","Solanum viarum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Gomphrena celosioides C.F.P.Mart.","species","Plantae","alien","null","present","Eswatini","SWZ","Gomphrena serrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Jacaranda mimosifolia D.Don","species","Plantae","alien","null","present","Eswatini","SWZ","Jacaranda mimosifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Cestrum laevigatum Schltdl.","species","Plantae","alien","null","present","Eswatini","SWZ","Cestrum laevigatum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Euphorbia prostrata Ait.","species","Plantae","alien","null","present","Eswatini","SWZ","Euphorbia prostrata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Eucalyptus citriodora Hook.","species","Plantae","alien","null","present","Eswatini","SWZ","Corymbia citriodora","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Eswatini","SWZ","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
