"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Polytrias indica (Houtt.) Veldkamp","species","Plantae","alien","invasive","present","Fiji","FJI","Polytrias indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Drymaria cordata (L.) Roem. & Schult.","species","Plantae","alien","invasive","present","Fiji","FJI","Drymaria cordata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]",
"Senna alata (L.) Roxb.","species","Plantae","alien","invasive","present","Fiji","FJI","Senna alata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Waltheria indica L.","species","Plantae","alien","invasive","present","Fiji","FJI","Waltheria indica","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","alien","invasive","present","Fiji","FJI","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Euphorbia peplus L.","species","Plantae","alien","invasive","present","Fiji","FJI","Euphorbia peplus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Coffea arabica L.","species","Plantae","alien","invasive","present","Fiji","FJI","Coffea arabica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Cestrum nocturnum L.","species","Plantae","alien","invasive","present","Fiji","FJI","Cestrum nocturnum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Monochoria vaginalis C.Presl","species","Plantae","alien","invasive","present","Fiji","FJI","Monochoria vaginalis","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]",
"Solandra maxima (Sessé & Moc.) P.S.Green","species","Plantae","alien","null","present","Fiji","FJI","Solandra maxima","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Acmella uliginosa Cass.","species","Plantae","alien","invasive","present","Fiji","FJI","Acmella uliginosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Bauhinia variegata L.","species","Plantae","alien","null","present","Fiji","FJI","Bauhinia variegata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Citrullus lanatus (Thunb.) Matsumura & Nakai","species","Plantae","alien","invasive","present","Fiji","FJI","Citrullus lanatus","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]",
"Ludwigia hyssopifolia (G.Don) Exell","species","Plantae","alien","invasive","present","Fiji","FJI","Ludwigia hyssopifolia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]",
