"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Fallopia bohemica (Chrtek & Chrtková) J.P.Bailey","species","Plantae","alien","invasive","present","Finland","FIN","Reynoutria bohemica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Anagallis arvensis L.","species","Plantae","alien","null","present","Finland","FIN","Lysimachia arvensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","[""terrestrial""]"
"Symphytum uplandicum Nyman","species","Plantae","alien","null","present","Finland","FIN","Symphytum uplandicum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Bromus inermis Leyss.","species","Plantae","alien","invasive","present","Finland","FIN","Bromus inermis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Chalara fraxinea T.Kowalski, 2006","species","Fungi","alien","null","present","Finland","FIN","Hymenoscyphus fraxineus","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","[""host""]"
"Acipenser ruthenus Linnaeus, 1758","species","Animalia","alien","null","present","Finland","FIN","Acipenser ruthenus","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","[""freshwater"",""brackish""]"
"Impatiens capensis Meerb.","species","Plantae","alien","invasive","present","Finland","FIN","Impatiens capensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Solidago canadensis L.","species","Plantae","alien","invasive","present","Finland","FIN","Solidago canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Abies sibirica Ledeb.","species","Plantae","alien","null","present","Finland","FIN","Abies sibirica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Senecio cannabifolius Less.","species","Plantae","alien","null","present","Finland","FIN","Jacobaea cannabifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
