"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Buddleja albiflora Hemsl.","species","Plantae","alien","null","present","France","FRA","Buddleja albiflora","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","[""terrestrial""]"
"Matthiola longipetala subsp. bicornis (Sm.) P.W.Ball","species","Plantae","alien","null","present","France","FRA","Matthiola longipetala","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Hesperis matronalis subsp. matronalis","subspecies","Plantae","alien","null","present","France","FRA","Hesperis matronalis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Encarsia hispida De Santis, 1948","species","Animalia","alien","null","present","France","FRA","Encarsia hispida","Animalia","Arthropoda","Insecta","Hymenoptera","Aphelinidae","[""terrestrial""]"
"Physalis viscosa L.","species","Plantae","alien","null","present","France","FRA","Physalis viscosa","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Carex crawfordii Fernald","species","Plantae","alien","null","present","France","FRA","Carex crawfordii","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Bidens pilosa L.","species","Plantae","alien","null","present","France","FRA","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Synanobium parmatum (Baudi di Selve, 1874)","species","Animalia","alien","null","present","France","FRA","Synanobium parmatum","Animalia","Arthropoda","Insecta","Coleoptera","Anobiidae","[""terrestrial""]"
"Eucalyptus blakelyi Maiden","species","Plantae","alien","null","present","France","FRA","Eucalyptus blakelyi","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Oenothera ersteinensis R.Linder & R.Jean","species","Plantae","alien","null","present","France","FRA","Oenothera ersteinensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Impatiens balsamina L.","species","Plantae","alien","null","present","France","FRA","Impatiens balsamina","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Hypericum foliosum Dryand. ex Ait.","species","Plantae","alien","null","present","France","FRA","Hypericum foliosum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","[""terrestrial""]"
"Essigella californica (Essig, 1909)","species","Animalia","alien","null","present","France","FRA","Essigella californica","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Cerastium dichotomum L.","species","Plantae","alien","null","present","France","FRA","Cerastium dichotomum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Senecio aegyptius L.","species","Plantae","alien","null","present","France","FRA","Senecio aegyptius","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Bambusaspis bambusae (Boisduval, 1869)","species","Animalia","alien","null","present","France","FRA","Bambusaphis bambusae","Animalia","Arthropoda","Insecta","Hemiptera","Asterolecaniidae","[""host""]"
"Blastobasis glandulella (Riley, 1871)","species","Animalia","alien","invasive","present","France","FRA","Blastobasis glandulella","Animalia","Arthropoda","Insecta","Lepidoptera","Blastobasidae","[""terrestrial""]"
"Borkhausenia nefrax Hodges, 1974","species","Animalia","alien","null","present","France","FRA","Borkhausenia nefrax","Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","[""terrestrial""]"
"Dracocephalum parviflorum Nutt.","species","Plantae","alien","null","present","France","FRA","Dracocephalum parviflorum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Hylotelephium populifolium (Pall.) H.Ohba","species","Plantae","alien","null","present","France","FRA","Hylotelephium populifolium","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Lyctus carbonarius Waltl, 1832","species","Animalia","alien","null","present","France","FRA","Lyctus carbonarius","Animalia","Arthropoda","Insecta","Coleoptera","Bostrichidae","[""terrestrial""]"
"Pauesia cedrobii Stary & Leclant, 1977","species","Animalia","alien","null","present","France","FRA","Pauesia cedrobii","Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","[""terrestrial""]"
"Adiantum raddianum C.Presl","species","Plantae","alien","null","present","France","FRA","Doryopteris raddiana","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","France","FRA","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Homarus americanus H.Milne Edwards, 1837","species","Animalia","alien","null","present","France","FRA","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","[""marine""]"
"Spilococcus mamillariae (Bouche, 1844)","species","Animalia","alien","null","present","France","FRA","Spilococcus mamillariae","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Trachemys scripta elegans (Wied, 1838)","subspecies","Animalia","alien","null","present","France","FRA","Trachemys scripta","Animalia","Chordata","Reptilia","Testudines","Emydidae","[""terrestrial"",""freshwater""]"
"Rhododendron ponticum L.","species","Plantae","alien","invasive","present","France","FRA","Rhododendron ponticum","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","[""terrestrial""]"
"Vitis acerifolia x Vitis riparia","hybrid_formula","Plantae","alien","null","present","France","FRA","Vitis acerifolia x Vitis riparia","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]"
"Minuartia glomerata subsp. burnatii (Rouy & Foucaud) C.Favarger & F.Conti","subspecies","Plantae","alien","null","present","France","FRA","Minuartia glomerata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Crataegus germanica (L.) Kuntze","species","Plantae","alien","null","present","France","FRA","Mespilus germanica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Phoenicopterus chilensis Molina, 1782","species","Animalia","alien","null","present","France","FRA","Phoenicopterus chilensis","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","[""terrestrial"",""freshwater"",""brackish""]"
"Ludwigia peploides (Kunth) P.H.Raven","species","Plantae","alien","invasive","present","France","FRA","Ludwigia peploides","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial"",""freshwater""]"
"Eucampia cornuta (Cleve) Grunow","species","Chromista","alien","null","present","France","FRA","Eucampia cornuta","Chromista","Ochrophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","[""marine""]"
"Scorpiurus vermiculatus L.","species","Plantae","alien","null","present","France","FRA","Scorpiurus vermiculatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Euhoplopsyllus glacialis (Taschenberg, 1880)","species","Animalia","alien","null","present","France","FRA","Euchoplopsyllus glacialis","Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","[""host""]"
"Abies cephalonica Loudon","species","Plantae","alien","null","present","France","FRA","Abies cephalonica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Heracleum mantegazzianum Sommier & Levier","species","Plantae","alien","invasive","present","France","FRA","Heracleum mantegazzianum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Cytisus scoparius subsp. reverchonii (Degen & Hervier) Rivas Goday & Rivas Mart.","species","Plantae","alien","null","present","France","FRA","Cytisus reverchonii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Solanum nudum Humb. & Bonpl.","species","Plantae","alien","null","present","France","FRA","Solanum nudum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Callosobruchus analis (Fabricius, 1781)","species","Animalia","alien","null","present","France","FRA","Callosobruchus analis","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Panicum dichotomiflorum Michx.","species","Plantae","alien","null","present","France","FRA","Panicum dichotomiflorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Kyboasca maligna (Walsh, 1862)","species","Animalia","alien","null","present","France","FRA","Kyboasca maligna","Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","[""host""]"
"Oenothera fallax Renner","species","Plantae","alien","null","present","France","FRA","Oenothera fallax","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Sida rhombifolia L.","species","Plantae","alien","null","present","France","FRA","Sida rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Punica granatum L.","species","Plantae","alien","null","present","France","FRA","Punica granatum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Geococcus coffeae Green, 1933","species","Animalia","alien","null","present","France","FRA","Geococcus coffeae","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Alternanthera philoxeroides (Mart.) Griseb.","species","Plantae","alien","null","present","France","FRA","Alternanthera philoxeroides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial"",""freshwater""]"
"Callonetta leucophrys (Vieillot, 1816)","species","Animalia","alien","null","present","France","FRA","Callonetta leucophrys","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater""]"
"Eucalyptus albens Benth.","species","Plantae","alien","null","present","France","FRA","Eucalyptus albens","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Medicago astroides (Fisch. & C.A.Mey.) Trautv., 1841","species","Plantae","alien","null","present","France","FRA","Trigonella astroides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Alexandrium affine (H.Inoue & Y.Fukuyo) Balech, 1995","species","Chromista","alien","null","present","France","FRA","Alexandrium affine","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","[""marine""]"
"Encarsia aurantii (Howard, 1894)","species","Animalia","alien","null","present","France","FRA","Encarsia aurantii","Animalia","Arthropoda","Insecta","Hymenoptera","Aphelinidae","[""terrestrial""]"
"Lyctus africanus Lesne, 1907","species","Animalia","alien","null","present","France","FRA","Lyctus africanus","Animalia","Arthropoda","Insecta","Coleoptera","Bostrichidae","[""terrestrial""]"
