"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Gliricidia sepium (Jacq.) Walp.","species","Plantae","alien","null","present","Gabon","GAB","Gliricidia sepium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","null","present","Gabon","GAB","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Cassia javanica L.","species","Plantae","alien","null","present","Gabon","GAB","Cassia javanica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Mytilopsis sallei (Récluz, 1849)","species","Animalia","alien","null","present","Gabon","GAB","Mytilopsis sallei","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","[""brackish"",""marine""]"
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Gabon","GAB","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Catharanthus roseus G.Don","species","Plantae","alien","null","present","Gabon","GAB","Catharanthus roseus","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Calliandra houstoniana var. calothyrsus (Meisn.) Barneby","variety","Plantae","alien","null","present","Gabon","GAB","Calliandra houstoniana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Agave sisalana Perrine","species","Plantae","alien","null","present","Gabon","GAB","Agave sisalana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Tapinoma melanocephalum (Fabricius, 1793)","species","Animalia","alien","invasive","present","Gabon","GAB","Tapinoma melanocephalum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Paspalum paniculatum L.","species","Plantae","alien","null","present","Gabon","GAB","Paspalum paniculatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Schwenckia americana L.","species","Plantae","alien","null","present","Gabon","GAB","Schwenckia americana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Samanea saman (Jacq.) Merr.","species","Plantae","alien","null","present","Gabon","GAB","Albizia saman","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Physalis angulata L.","species","Plantae","alien","null","present","Gabon","GAB","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Dichogaster saliens (Beddard, 1893)","species","Animalia","alien","null","present","Gabon","GAB","Dichogaster saliens","Animalia","Annelida","Clitellata","Haplotaxida","Octochaetidae","[""terrestrial""]"
"Scoparia dulcis L.","species","Plantae","alien","null","present","Gabon","GAB","Scoparia dulcis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
