"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Tapinoma melanocephalum (Fabricius, 1793)","species","Animalia","alien","null","present","Gambia (Republic of The)","GMB","Tapinoma melanocephalum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Pinus caribaea Morelet","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Bauhinia tomentosa L.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Bauhinia tomentosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Boerhavia coccinea Mill.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Boerhavia coccinea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Albizia lebbeck (L.) Benth.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Albizia lebbeck","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Mariscus alternifolius Vahl","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Cyperus cyperoides","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Albizia chinensis Merr.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Albizia chinensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cyperus esculentus L.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Cyperus esculentus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Euphorbia tithymaloides L.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Euphorbia tithymaloides","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Argemone mexicana L.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Euphorbia heterophylla L.","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Schistocerca gregaria (Forskål, 1775)","species","Animalia","alien","null","present","Gambia (Republic of The)","GMB","Schistocerca gregaria","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","[""terrestrial""]"
"Senna occidentalis (L.) Link","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Corymbia citriodora","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Brachiaria deflexa (Schum.) C.E.Hubb. ex Robyns","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Brachiaria deflexa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Moringa oleifera Lam.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Moringa oleifera","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Moringaceae","[""terrestrial""]"
"Oryza barthii A.Chev.","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Oryza barthii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Acanthospermum hispidum DC.","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Acanthospermum hispidum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Indigofera suffruticosa Mill.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Indigofera suffruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Imperata cylindrica (L.) P.Beauv.","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Imperata cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Jatropha curcas L.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Samanea saman (Jacq.) Merr.","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Albizia saman","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Chromolaena odorata (L.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Chromolaena odorata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Euodice malabarica (Linnaeus, 1758)","species","Animalia","alien","null","present","Gambia (Republic of The)","GMB","Euodice malabarica","Animalia","Chordata","Aves","Passeriformes","Estrildidae","[""terrestrial""]"
"Cyperus distans L.f.","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Cyperus distans","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Murdannia nudiflora (L.) Brenan","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Murdannia nudiflora","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Portulaca oleracea L.","species","Plantae","alien","invasive","present","Gambia (Republic of The)","GMB","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]"
"Artocarpus altilis (Parkinson) Fosberg","species","Plantae","alien","null","present","Gambia (Republic of The)","GMB","Artocarpus altilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
