"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Lolium multiflorum Lam.","species","Plantae","alien","null","present","Georgia","GEO","Lolium multiflorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ammi visnaga (L.) Lam.","species","Plantae","alien","null","present","Georgia","GEO","Visnaga daucoides","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Vicia narbonensis L.","species","Plantae","alien","null","present","Georgia","GEO","Vicia narbonensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cydalima perspectalis (Walker, 1859)","species","Animalia","alien","invasive","present","Georgia","GEO","Cydalima perspectalis","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","[""terrestrial""]"
"Cuscuta campestris Yunck.","species","Plantae","alien","null","present","Georgia","GEO","Cuscuta pentagona","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Houttuynia cordata Thunb.","species","Plantae","alien","null","present","Georgia","GEO","Houttuynia cordata","Plantae","Tracheophyta","Magnoliopsida","Piperales","Saururaceae","[""terrestrial""]"
"Datura innoxia Mill.","species","Plantae","alien","null","present","Georgia","GEO","Datura innoxia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Argemone mexicana L.","species","Plantae","alien","null","present","Georgia","GEO","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Torilis leptophylla Rchb.f.","species","Plantae","alien","null","present","Georgia","GEO","Torilis leptophylla","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Polygonum multiflorum Thunb.","species","Plantae","alien","null","present","Georgia","GEO","Reynoutria multiflorum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Eriochloa villosa Kunth","species","Plantae","alien","null","present","Georgia","GEO","Eriochloa villosa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Geranium sibiricum L.","species","Plantae","alien","null","present","Georgia","GEO","Geranium sibiricum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Myosotis discolor Pers.","species","Plantae","alien","null","present","Georgia","GEO","Myosotis discolor","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Echium biebersteinii Lacaita","species","Plantae","alien","null","present","Georgia","GEO","Echium italicum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Vicia angustifolia Clos","species","Plantae","alien","null","present","Georgia","GEO","Vicia angustifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Saururus cernuus L.","species","Plantae","alien","null","present","Georgia","GEO","Saururus cernuus","Plantae","Tracheophyta","Magnoliopsida","Piperales","Saururaceae","[""terrestrial""]"
"Paspalum chinense Nees ex Hook. & Arn.","species","Plantae","alien","null","present","Georgia","GEO","Digitaria violascens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lespedeza juncea (L.) Pers.","species","Plantae","alien","null","present","Georgia","GEO","Lespedeza juncea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Phyllostachys bambusoides Siebold & Zucc.","species","Plantae","alien","null","present","Georgia","GEO","Phyllostachys reticulata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Bidens bipinnata L.","species","Plantae","alien","null","present","Georgia","GEO","Bidens bipinnata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tagetes minuta L.","species","Plantae","alien","null","present","Georgia","GEO","Tagetes minuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cyperus glomeratus L.","species","Plantae","alien","null","present","Georgia","GEO","Cyperus glomeratus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
