"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Bidens frondosa L.","species","Plantae","alien","null","present","Germany","DEU","Bidens frondosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Fragaria ananassa (Weston) Duchesne ex Rozier","species","Plantae","alien","null","present","Germany","DEU","Fragaria ananassa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Oenothera pycnocarpa G.F.Atk. & Bartlett","species","Plantae","alien","null","present","Germany","DEU","Oenothera pycnocarpa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Tapinoma nigerrimum (Nylander, 1856)","species","Animalia","alien","null","present","Germany","DEU","Tapinoma nigerrimum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Echinops exaltatus Schrad.","species","Plantae","alien","null","present","Germany","DEU","Echinops exaltatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Astacus leptodactylus Eschscholtz, 1823","species","Animalia","alien","null","present","Germany","DEU","Pontastacus leptodactylus","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","[""freshwater"",""brackish""]"
"Glyceria striata subsp. stricta (Scribn.) Hultén","species","Plantae","alien","null","present","Germany","DEU","Glyceria striata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Typhonia beatricis Hattenschwiler, 2000","species","Animalia","alien","null","present","Germany","DEU","Typhonia beatricis","Animalia","Arthropoda","Insecta","Lepidoptera","Psychidae","[""terrestrial""]"
"Orchestia cavimana Heller, 1865","species","Animalia","alien","null","present","Germany","DEU","Cryptorchestia cavimana","Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","[""terrestrial"",""freshwater""]"
"Procyon lotor (Linnaeus, 1758)","species","Animalia","alien","null","present","Germany","DEU","Procyon lotor","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","[""terrestrial""]"
"Rubus laciniatus Willd.","species","Plantae","alien","null","present","Germany","DEU","Rubus laciniatus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Mytilopsis leucophaeata (Conrad, 1831)","species","Animalia","alien","null","present","Germany","DEU","Mytilopsis leucophaeata","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","[""brackish""]"
"Netta peposaca (Vieillot, 1816)","species","Animalia","alien","null","present","Germany","DEU","Netta peposaca","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater""]"
"Evergestis aenealis (Denis & Schiffermuller, 1775)","species","Animalia","alien","null","present","Germany","DEU","Evergestis aenealis","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","[""terrestrial""]"
"Cydalima perspectalis (Walker, 1859)","species","Animalia","alien","null","present","Germany","DEU","Cydalima perspectalis","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","[""terrestrial""]"
"Carex crawfordii Fernald","species","Plantae","alien","null","present","Germany","DEU","Carex crawfordii","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Massaria anomia (Schwein.) Petr.","species","Fungi","alien","null","present","Germany","DEU","Massaria anomia","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massariaceae","[""host""]"
"Lathyrus latifolius L.","species","Plantae","alien","null","present","Germany","DEU","Lathyrus latifolius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Fraxinus pennsylvanica Marshall","species","Plantae","alien","null","present","Germany","DEU","Fraxinus pennsylvanica","Plantae","Tracheophyta","Magnoliopsida","Oleales","Oleaceae","[""terrestrial""]"
"Claytonia perfoliata subsp. perfoliata","subspecies","Plantae","alien","null","present","Germany","DEU","Claytonia perfoliata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Montiaceae","[""terrestrial""]"
"Lagarosiphon major (Ridl.) Moss","species","Plantae","alien","invasive","present","Germany","DEU","Lagarosiphon major","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Scopus umbretta Gmelin, 1789","species","Animalia","alien","null","present","Germany","DEU","Scopus umbretta","Animalia","Chordata","Aves","Pelecaniformes","Scopidae","[""terrestrial"",""freshwater""]"
"Telekia speciosa Baumg.","species","Plantae","alien","null","present","Germany","DEU","Telekia speciosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Mahonia aquifolium (Pursh) Nutt.","species","Plantae","alien","null","present","Germany","DEU","Berberis aquifolium","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","[""terrestrial""]"
"Daphnia parvula Fordyce, 1901","species","Animalia","alien","null","present","Germany","DEU","Daphnia parvula","Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","[""freshwater""]"
"Veronica filiformis Sm.","species","Plantae","alien","null","present","Germany","DEU","Veronica filiformis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Amelanchier spicata K.Koch","species","Plantae","alien","null","present","Germany","DEU","Amelanchier spicata","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","null","present","Germany","DEU","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Lepidium didymum L.","species","Plantae","alien","null","present","Germany","DEU","Lepidium didymum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Silene dichotoma Ehrh.","species","Plantae","alien","null","present","Germany","DEU","Silene dichotoma","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Etiella zinckenella (Treitschke, 1832)","species","Animalia","alien","null","present","Germany","DEU","Etiella zinckenella","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","[""terrestrial""]"
"Holocnemus pluchei (Scopoli, 1763)","species","Animalia","alien","null","present","Germany","DEU","Holocnemus pluchei","Animalia","Arthropoda","Arachnida","Araneae","Pholcidae","[""terrestrial""]"
"Solanum alatum Moench","species","Plantae","alien","null","present","Germany","DEU","Solanum villosum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Bromus japonicus subsp. japonicus","subspecies","Plantae","alien","null","present","Germany","DEU","Bromus japonicus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Phalaris coerulescens Desf.","species","Plantae","alien","null","present","Germany","DEU","Phalaris coerulescens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Neogobius fluviatilis (Pallas, 1814)","species","Animalia","native|alien","null","present","Germany","DEU","Neogobius fluviatilis","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish"",""marine""]"
"Cygnus buccinator Richardson, 1831","species","Animalia","alien","null","present","Germany","DEU","Cygnus buccinator","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater"",""marine""]"
"Hydrocotyle ranunculoides L.f.","species","Plantae","alien","invasive","present","Germany","DEU","Hydrocotyle ranunculoides","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial"",""freshwater""]"
"Tulipa sylvestris L.","species","Plantae","alien","null","present","Germany","DEU","Tulipa sylvestris","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","[""terrestrial""]"
"Cynops pyrrhogaster (Boie, 1826)","species","Animalia","alien","null","present","Germany","DEU","Cynops pyrrhogaster","Animalia","Chordata","Amphibia","Caudata","Salamandridae","[""terrestrial"",""freshwater""]"
"Centaurea diffusa Lam.","species","Plantae","alien","null","present","Germany","DEU","Centaurea diffusa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sagittaria latifolia Willd.","species","Plantae","alien","null","present","Germany","DEU","Sagittaria latifolia","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","[""freshwater""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","invasive","present","Germany","DEU","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pastinaca sativa subsp. urens (Req. ex Godr.) Celak.","subspecies","Plantae","alien","null","present","Germany","DEU","Pastinaca sativa","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Pseudodactylogyrus bini (Kikuchi, 1929)","species","Animalia","alien","null","present","Germany","DEU","Pseudodactylogyrus bini","Animalia","Platyhelminthes","Monogenea","Dactylogyridea","Pseudodactylogyridae","[""host""]"
"Hemerocallis fulva L.","species","Plantae","alien","null","present","Germany","DEU","Hemerocallis fulva","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","[""terrestrial""]"
"Solidago canadensis L.","species","Plantae","alien","invasive","present","Germany","DEU","Solidago canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cruciata verna (Scop.) Gutermann & Ehrend.","species","Plantae","alien","null","present","Germany","DEU","Cruciata glabra","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Cardinalis cardinalis (Linnaeus, 1758)","species","Animalia","alien","null","present","Germany","DEU","Cardinalis cardinalis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","[""terrestrial"",""freshwater""]"
"Periplaneta australasiae (Fabricius, 1775)","species","Animalia","alien","null","present","Germany","DEU","Periplaneta australasiae","Animalia","Arthropoda","Insecta","Blattodea","Blattidae","[""terrestrial""]"
"Cotoneaster moupinensis Franch.","species","Plantae","alien","null","present","Germany","DEU","Cotoneaster moupinensis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Anas poecilorhyncha Forster, 1781","species","Animalia","alien","null","present","Germany","DEU","Anas poecilorhyncha","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater""]"
"Vicia lutea L.","species","Plantae","alien","null","present","Germany","DEU","Vicia lutea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Dittrichia graveolens (L.) Greuter","species","Plantae","alien","null","present","Germany","DEU","Dittrichia graveolens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Veronica peregrina L.","species","Plantae","alien","null","present","Germany","DEU","Veronica peregrina","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Typhula spathulata (Peck) Berthier","species","Fungi","alien","null","present","Germany","DEU","Typhula spathulata","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Typhulaceae","[""host""]"
"Diplotaxis tenuifolia (L.) DC.","species","Plantae","alien","null","present","Germany","DEU","Diplotaxis tenuifolia","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
