"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Amietophrynus regularis (Reuss, 1833)","species","Animalia","alien","null","present","Ghana","GHA","Amietophrynus regularis","Animalia","Chordata","Amphibia","Anura","Bufonidae","[""terrestrial"",""freshwater""]"
"Fimbristylis littoralis Gaudich.","species","Plantae","alien","null","present","Ghana","GHA","Fimbristylis littoralis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Rottboellia cochinchinensis (Lour.) Clayton","species","Plantae","alien","invasive","present","Ghana","GHA","Rottboellia cochinchinensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Salvinia molesta D.Mitch.","species","Plantae","alien","invasive","present","Ghana","GHA","Salvinia molesta","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]"
"Gleditsia triacanthos L.","species","Plantae","alien","null","present","Ghana","GHA","Gleditsia triacanthos","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Amaranthus dubius Mart.","species","Plantae","alien","null","present","Ghana","GHA","Amaranthus dubius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Eucalyptus camaldulensis Dehnh.","species","Plantae","alien","null","present","Ghana","GHA","Eucalyptus camaldulensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Azadirachta indica A.Juss.","species","Plantae","alien","invasive","present","Ghana","GHA","Azadirachta indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Eichhornia crassipes Solms","species","Plantae","alien","invasive","present","Ghana","GHA","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Chromolaena odorata (L.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Ghana","GHA","Chromolaena odorata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Jatropha gossypiifolia L.","species","Plantae","alien","null","present","Ghana","GHA","Jatropha gossypiifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Tithonia diversifolia A.Gray","species","Plantae","alien","null","present","Ghana","GHA","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Imperata cylindrica (L.) P.Beauv.","species","Plantae","alien","invasive","present","Ghana","GHA","Imperata cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Eugenia uniflora L.","species","Plantae","alien","null","present","Ghana","GHA","Eugenia uniflora","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Cocos nucifera L.","species","Plantae","alien","null","present","Ghana","GHA","Cocos nucifera","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Phellinus noxius (Corner) G.Cunn.","species","Fungi","cryptogenic|uncertain","invasive","present","Ghana","GHA","Phellinus noxius","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","[""host""]"
"Cedrela odorata L.","species","Plantae","alien","null","present","Ghana","GHA","Cedrela odorata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Hyparrhenia rufa (Nees) Stapf","species","Plantae","alien","null","present","Ghana","GHA","Hyparrhenia rufa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hoplobatrachus occipitalis (Günther, 1858)","species","Animalia","alien","null","present","Ghana","GHA","Hoplobatrachus occipitalis","Animalia","Chordata","Amphibia","Anura","Dicroglossidae","[""terrestrial"",""freshwater""]"
"Acacia auriculiformis Benth.","species","Plantae","alien","null","present","Ghana","GHA","Acacia auriculiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Adenanthera pavonina L.","species","Plantae","alien","null","present","Ghana","GHA","Adenanthera pavonina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Mimosa diplotricha C.Wright ex Sauvalle","species","Plantae","alien","null","present","Ghana","GHA","Mimosa diplotricha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Limnocharis flava Buchenau","species","Plantae","alien","invasive","present","Ghana","GHA","Limnocharis flava","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","[""terrestrial"",""freshwater""]"
"Cassia fistula L.","species","Plantae","alien","null","present","Ghana","GHA","Cassia fistula","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Phrynobatrachus latifrons Ahl, 1924","species","Animalia","alien","null","present","Ghana","GHA","Phrynobatrachus latifrons","Animalia","Chordata","Amphibia","Anura","Phrynobatrachidae","[""terrestrial"",""freshwater""]"
"Mesosphaerum pectinatum Kuntze","species","Plantae","alien","null","present","Ghana","GHA","Mesosphaerum pectinatum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Physalis angulata L.","species","Plantae","alien","null","present","Ghana","GHA","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Ghana","GHA","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Delonix regia (Bojer) Raf.","species","Plantae","alien","null","present","Ghana","GHA","Delonix regia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Murdannia nudiflora (L.) Brenan","species","Plantae","alien","null","present","Ghana","GHA","Murdannia nudiflora","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Erigeron primulifolius (Lam.) Greuter","species","Plantae","alien","null","present","Ghana","GHA","Erigeron primulifolius","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Poecilia reticulata Peters, 1859","species","Animalia","alien","invasive","present","Ghana","GHA","Poecilia reticulata","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Vibrio cholerae Pacini, 1854","species","Bacteria","alien","invasive","present","Ghana","GHA","Vibrio cholerae","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","[""host""]"
"Cinnamomum camphora (L.) J.Presl","species","Plantae","alien","null","present","Ghana","GHA","Cinnamomum camphora","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]"
"Caesalpinia pulcherrima (L.) Sw.","species","Plantae","alien","null","present","Ghana","GHA","Caesalpinia pulcherrima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Ghana","GHA","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Casuarina glauca Sieber","species","Plantae","alien","null","present","Ghana","GHA","Casuarina glauca","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","null","present","Ghana","GHA","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","cryptogenic|uncertain","null","present","Ghana","GHA","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Amietophrynus maculatus (Hallowell, 1854)","species","Animalia","alien","null","present","Ghana","GHA","Amietophrynus maculatus","Animalia","Chordata","Amphibia","Anura","Bufonidae","[""terrestrial"",""freshwater""]"
"Afrixalus fulvovittatus (Cope, 1861)","species","Animalia","alien","null","present","Ghana","GHA","Afrixalus fulvovittatus","Animalia","Chordata","Amphibia","Anura","Hyperoliidae","[""terrestrial"",""freshwater""]"
"Artocarpus altilis (Parkinson) Fosberg","species","Plantae","alien","null","present","Ghana","GHA","Artocarpus altilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Syzygium jambos (L.) Alston","species","Plantae","alien","null","present","Ghana","GHA","Syzygium jambos","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Technomyrmex albipes (Smith, 1861)","species","Animalia","alien","null","present","Ghana","GHA","Technomyrmex albipes","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Echinochloa colona (L.) Link","species","Plantae","alien","invasive","present","Ghana","GHA","Echinochloa colona","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hypnea musciformis","species","Plantae","alien","null","present","Ghana","GHA","Hypnea musciformis","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","[""marine""]"
"Xylosandrus crassiusculus Motschulsky, 1866","species","Animalia","alien","null","present","Ghana","GHA","Xylosandrus crassiusculus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Bauhinia variegata L.","species","Plantae","alien","null","present","Ghana","GHA","Bauhinia variegata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Jatropha curcas L.","species","Plantae","alien","null","present","Ghana","GHA","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Broussonetia papyrifera Vent.","species","Plantae","alien","invasive","present","Ghana","GHA","Broussonetia papyrifera","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Euphorbia hypericifolia L.","species","Plantae","alien","null","present","Ghana","GHA","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Ficus elastica Roxb.","species","Plantae","alien","null","present","Ghana","GHA","Ficus elastica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Bambusa vulgaris Schrad. ex J.C.Wendl.","species","Plantae","alien","null","present","Ghana","GHA","Bambusa vulgaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Alternanthera sessilis (L.) R.Br. ex DC.","species","Plantae","cryptogenic|uncertain","null","present","Ghana","GHA","Alternanthera sessilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial"",""freshwater""]"
"Mimosa quadrivalvis L.","species","Plantae","alien","null","present","Ghana","GHA","Mimosa quadrivalvis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Acanthospermum australe (Loefl.) Kuntze","species","Plantae","alien","null","present","Ghana","GHA","Acanthospermum australe","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cinnamomum verum J.Presl","species","Plantae","alien","null","present","Ghana","GHA","Cinnamomum verum","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","null","present","Ghana","GHA","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cyperus papyrus L.","species","Plantae","alien","invasive","present","Ghana","GHA","Cyperus papyrus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Sesbania sesban (L.) Merr.","species","Plantae","alien","null","present","Ghana","GHA","Sesbania sesban","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Ghana","GHA","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Ghana","GHA","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Myroxylon balsamum Harms","species","Plantae","alien","null","present","Ghana","GHA","Myroxylon balsamum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Physalis peruviana L.","species","Plantae","alien","null","present","Ghana","GHA","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Argemone mexicana L.","species","Plantae","alien","null","present","Ghana","GHA","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Senna surattensis (Burm.f.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Ghana","GHA","Senna surattensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Stachytarpheta cayennensis (Rich.) J.Vahl","species","Plantae","alien","null","present","Ghana","GHA","Stachytarpheta cayennensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Pithecellobium dulce (Roxb.) Benth.","species","Plantae","alien","null","present","Ghana","GHA","Pithecellobium dulce","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Prostephanus truncatus (Horn, 1878)","species","Animalia","alien","invasive","present","Ghana","GHA","Prostephanus truncatus","Animalia","Arthropoda","Insecta","Coleoptera","Bostrichidae","[""terrestrial""]"
"Ziziphus mauritiana Lam.","species","Plantae","alien","null","present","Ghana","GHA","Ziziphus mauritiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]"
"Senna bacillaris (L.f.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Ghana","GHA","Senna bacillaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Pinus caribaea Morelet","species","Plantae","alien","null","present","Ghana","GHA","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Mangifera indica L.","species","Plantae","alien","null","present","Ghana","GHA","Mangifera indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Xyleborus perforans Wood & Bright, 1992","species","Animalia","alien","invasive","present","Ghana","GHA","Tomicus perforans","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Rhynchospora corymbosa Britton","species","Plantae","alien","null","present","Ghana","GHA","Rhynchospora corymbosa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Physa marmorata Guilding, 1828","species","Animalia","alien","null","present","Ghana","GHA","Stenophysa marmorata","Animalia","Mollusca","Gastropoda","NOT ASSIGNED","Physidae","[""freshwater""]"
"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols","species","Fungi","cryptogenic|uncertain","invasive","present","Ghana","GHA","Batrachochytrium dendrobatidis","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophydiales","Batrachochytrium","[""host""]"
"Ricinus communis L.","species","Plantae","alien","null","present","Ghana","GHA","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Cynodon nlemfuensis Vanderyst","species","Plantae","alien","null","present","Ghana","GHA","Cynodon nlemfuensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Calopogonium mucunoides Desv.","species","Plantae","alien","invasive","present","Ghana","GHA","Calopogonium mucunoides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
