"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Paradyte crinoidicola (Potts, 1910)","species","Animalia","alien","null","present","Greece","GRC","Paradyte crinoidicola","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","[""marine""]"
"Telescopus fallax Fleischmann, 1831","species","Animalia","alien","null","present","Greece","GRC","Telescopus fallax","Animalia","Chordata","Reptilia","Squamata","Colubridae","[""terrestrial""]"
"Crepidacantha poissonii (Audouin, 1826)","species","Animalia","alien","null","present","Greece","GRC","Crepidacantha poissonii","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Crepidacanthidae","[""marine""]"
"Aplysia parvula Mörch, 1863","species","Animalia","cryptogenic|uncertain","null","present","Greece","GRC","Aplysia parvula","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","[""marine""]"
"Haminoea cyanomarginata Heller & Thompson, 1983","species","Animalia","alien","null","present","Greece","GRC","Haminoea cyanomarginata","Animalia","Mollusca","Gastropoda","Cephalaspidea","Haminoeidae","[""marine""]"
"Dipolydora blakei (Maciolek, 1984)","species","Animalia","cryptogenic|uncertain","null","present","Greece","GRC","Dipolydora blakei","Animalia","Annelida","Polychaeta","Spionida","Spionidae","[""marine""]"
"Chama asperella Lamarck, 1819","species","Animalia","alien","null","present","Greece","GRC","Chama asperella","Animalia","Mollusca","Bivalvia","Venerida","Chamidae","[""marine""]"
"Thalamita poissonii (Audouin, 1826)","species","Animalia","alien","null","present","Greece","GRC","Thalamita poissonii","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","[""marine""]"
"Acteocina mucronata (Philippi, 1849)","species","Animalia","alien","null","present","Greece","GRC","Acteocina mucronata","Animalia","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","[""marine""]"
"Parabramis pekinensis (Basilewsky, 1855)","species","Animalia","alien","null","present","Greece","GRC","Parabramis pekinensis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Cassiopea andromeda (Forsskål, 1775)","species","Animalia","alien","null","present","Greece","GRC","Cassiopea andromeda","Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Cassiopeidae","[""marine""]"
"Alectoris chukar (J.E.Gray, 1830)","species","Animalia","alien","null","present","Greece","GRC","Alectoris chukar","Animalia","Chordata","Aves","Galliformes","Phasianidae","[""terrestrial""]"
"Calendula officinalis L.","species","Plantae","cryptogenic|uncertain","null","present","Greece","GRC","Calendula officinalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Fallopia baldschuanica (Regel) Holub","species","Plantae","alien","null","present","Greece","GRC","Fallopia baldschuanica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Nicandra physalodes (L.) Gaertn.","species","Plantae","alien","null","present","Greece","GRC","Nicandra physalodes","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Antirrhinum majus subsp. majus","subspecies","Plantae","alien","null","present","Greece","GRC","Antirrhinum majus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross","species","Plantae","alien","null","present","Greece","GRC","Persicaria capitata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Sirpus monodi Gordon, 1953","species","Animalia","cryptogenic|uncertain","null","present","Greece","GRC","Sirpus monodi","Animalia","Arthropoda","Malacostraca","Decapoda","Pirimelidae","[""marine""]"
