"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Bos taurus Linnaeus, 1758","species","Animalia","alien","null","present","Grenada","GRD","Bos taurus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]",
"Dasypus novemcinctus Linnaeus, 1758","species","Animalia","alien","null","present","Grenada","GRD","Dasypus novemcinctus","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","[""terrestrial""]",
"Mus musculus Linnaeus, 1758","species","Animalia","alien","invasive","present","Grenada","GRD","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
"Hemidactylus mabouia (Moreau De Jonnès, 1818)","species","Animalia","alien","null","present","Grenada","GRD","Hemidactylus mabouia","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]",
"Cyanthillium cinereum (L.) H.Rob.","species","Plantae","alien","null","present","Grenada","GRD","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Mimosa pigra L.","species","Plantae","alien","null","present","Grenada","GRD","Mimosa pigra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Tetramorium simillimum (Smith, 1851)","species","Animalia","alien","null","present","Grenada","GRD","Tetramorium simillimum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Tantilla melanocephala (Linnaeus, 1758)","species","Animalia","alien","null","present","Grenada","GRD","Tantilla melanocephala","Animalia","Chordata","Reptilia","Squamata","Colubridae","[""terrestrial""]",
"Najas marina L.","species","Plantae","alien","null","present","Grenada","GRD","Najas marina","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]",
"Syzygium jambos (L.) Alston","species","Plantae","alien","null","present","Grenada","GRD","Syzygium jambos","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Strumigenys rogeri Emery, 1890","species","Animalia","alien","null","present","Grenada","GRD","Strumigenys rogeri","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Molothrus bonariensis (Gmelin, 1789)","species","Animalia","alien","null","present","Grenada","GRD","Molothrus bonariensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","[""terrestrial""]",
"Tapinoma melanocephalum (Fabricius, 1793)","species","Animalia","alien","null","present","Grenada","GRD","Tapinoma melanocephalum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Psidium guajava L.","species","Plantae","alien","null","present","Grenada","GRD","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Sphagneticola trilobata (L.) Pruski","species","Plantae","alien","null","present","Grenada","GRD","Sphagneticola trilobata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Spathoglottis plicata Blume","species","Plantae","alien","null","present","Grenada","GRD","Spathoglottis plicata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]",
"Allamanda cathartica L.","species","Plantae","alien","null","present","Grenada","GRD","Allamanda cathartica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Datura stramonium L.","species","Plantae","alien","null","present","Grenada","GRD","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Anolis sagrei Duméril & Bibron, 1837","species","Animalia","alien","null","present","Grenada","GRD","Anolis sagrei","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","[""terrestrial""]",
"Synedrella nodiflora Gaertn.","species","Plantae","alien","null","present","Grenada","GRD",,,,,,,,
"Dysphania ambrosioides (L.) Mosyakin & Clemants","species","Plantae","alien","null","present","Grenada","GRD","Dysphania ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Syllophopsis subcoeca (Emery, 1894)","species","Animalia","alien","null","present","Grenada","GRD","Monomorium subcoecum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
