"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Euphorbia hirta L.","species","Plantae","alien","null","present","Guatemala","GTM","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Sisyrinchium micranthum Cav.","species","Plantae","alien","null","present","Guatemala","GTM","Sisyrinchium micranthum","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]",
"Canna indica L.","species","Plantae","alien","null","present","Guatemala","GTM","Canna indica","Plantae","Tracheophyta","Liliopsida","Zingiberales","Cannaceae","[""terrestrial""]",
"Sida ciliaris L.","species","Plantae","alien","null","present","Guatemala","GTM","Sida ciliaris","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Datura stramonium L.","species","Plantae","alien","null","present","Guatemala","GTM","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Brassica juncea (L.) Czern.","species","Plantae","alien","null","present","Guatemala","GTM","Brassica juncea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]",
"Inga edulis Mart.","species","Plantae","alien","null","present","Guatemala","GTM","Inga edulis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Digitaria ciliaris (Retz.) Koeler","species","Plantae","alien","null","present","Guatemala","GTM","Digitaria ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Vicia sativa subsp. nigra (L.) Ehrh.","subspecies","Plantae","alien","null","present","Guatemala","GTM","Vicia sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Sporobolus pyramidatus (Lam.) Hitchcock","species","Plantae","alien","null","present","Guatemala","GTM","Sporobolus pyramidatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Trimezia steyermarkii R.C.Foster","species","Plantae","alien","null","present","Guatemala","GTM","Trimezia steyermarkii","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]",
