"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Lemna perpusilla Torr.","species","Plantae","alien","invasive","present","Guyana","GUY","Lemna perpusilla","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Antigonon leptopus Hook. & Arn.","species","Plantae","alien","null","present","Guyana","GUY","Antigonon leptopus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Albizia lebbeck (L.) Benth.","species","Plantae","alien","null","present","Guyana","GUY","Albizia lebbeck","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Bothriochloa bladhii (Retz.) S.T.Blake","species","Plantae","alien","null","present","Guyana","GUY","Bothriochloa bladhii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Vitex agnus-castus L.","species","Plantae","alien","null","present","Guyana","GUY","Vitex agnus-castus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Chromolaena odorata (L.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Guyana","GUY","Chromolaena odorata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Apis mellifera Linnaeus, 1758","species","Animalia","alien","invasive","present","Guyana","GUY","Apis mellifera","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","[""terrestrial""]"
"Momordica charantia L.","species","Plantae","alien","invasive","present","Guyana","GUY","Momordica charantia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","null","present","Guyana","GUY","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Jatropha curcas L.","species","Plantae","alien","null","present","Guyana","GUY","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Syzygium cumini (L.) Skeels","species","Plantae","alien","null","present","Guyana","GUY","Syzygium cumini","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Cyanthillium cinereum (L.) H.Rob.","species","Plantae","alien","null","present","Guyana","GUY","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Senna obtusifolia (L.) H.S.Irwin & Barneby","species","Plantae","alien","invasive","present","Guyana","GUY","Senna obtusifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lygodium microphyllum R.Br.","species","Plantae","alien","null","present","Guyana","GUY","Lygodium microphyllum","Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Lygodiaceae","[""terrestrial""]"
"Thunbergia alata Bojer ex Sims","species","Plantae","alien","null","present","Guyana","GUY","Thunbergia alata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Eragrostis japonica (Thunb.) Trin.","species","Plantae","alien","null","present","Guyana","GUY","Eragrostis japonica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Senna occidentalis (L.) Link","species","Plantae","alien","invasive","present","Guyana","GUY","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Portulaca oleracea L.","species","Plantae","alien","null","present","Guyana","GUY","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]"
"Thelypteris opulenta (Kaulf.) Fosb.","species","Plantae","alien","null","present","Guyana","GUY","Amblovenatum opulentum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","[""terrestrial""]"
"Erigeron canadensis L.","species","Plantae","alien","invasive","present","Guyana","GUY","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Basella alba L.","species","Plantae","alien","null","present","Guyana","GUY","Basella alba","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","[""terrestrial""]"
"Tripsacum andersonii J.R.Gray","species","Plantae","alien","null","present","Guyana","GUY","Tripsacum andersonii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Adenanthera pavonina L.","species","Plantae","alien","null","present","Guyana","GUY","Adenanthera pavonina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Echinochloa colona (L.) Link","species","Plantae","alien","invasive","present","Guyana","GUY","Echinochloa colona","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Amaranthus australis (A.Gray) Sauer","species","Plantae","alien","null","present","Guyana","GUY","Amaranthus australis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Eleutherodactylus johnstonei Barbour, 1914","species","Animalia","alien","invasive","present","Guyana","GUY","Eleutherodactylus johnstonei","Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","[""terrestrial"",""freshwater""]"
"Alternanthera philoxeroides (Mart.) Griseb.","species","Plantae","alien","invasive","present","Guyana","GUY","Alternanthera philoxeroides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial"",""freshwater""]"
"Paspalum fimbriatum Kunth","species","Plantae","alien","null","present","Guyana","GUY","Paspalum fimbriatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Calotropis gigantea (L.) W.T.Aiton","species","Plantae","alien","null","present","Guyana","GUY","Calotropis gigantea","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Hackelochloa granularis Kuntze","species","Plantae","alien","null","present","Guyana","GUY","Hackelochloa granularis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Teramnus labialis (L.f.) Spreng.","species","Plantae","alien","null","present","Guyana","GUY","Teramnus labialis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Crotalaria verrucosa L.","species","Plantae","alien","null","present","Guyana","GUY","Crotalaria verrucosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Hemidactylus mabouia (Moreau De Jonnès, 1818)","species","Animalia","alien","invasive","present","Guyana","GUY","Hemidactylus mabouia","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]"
"Amaranthus blitum L.","species","Plantae","alien","null","present","Guyana","GUY","Amaranthus blitum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Sinapis arvensis L.","species","Plantae","alien","null","present","Guyana","GUY","Sinapis arvensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Digitaria nuda Schum.","species","Plantae","alien","null","present","Guyana","GUY","Digitaria nuda","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ananas comosus (L.) Merr.","species","Plantae","alien","null","present","Guyana","GUY","Ananas comosus","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","[""terrestrial""]"
"Anolis aeneus Gray, 1840","species","Animalia","alien","invasive","present","Guyana","GUY","Anolis aeneus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","[""terrestrial""]"
"Striga gesnerioides (Willd.) Vatke","species","Plantae","alien","invasive","present","Guyana","GUY","Striga gesnerioides","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
