"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Haematoxylum campechianum L.","species","Plantae","alien","null","present","Haiti","HTI","Haematoxylum campechianum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Haiti","HTI","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","cryptogenic|uncertain","null","present","Haiti","HTI","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Spathoglottis plicata Blume","species","Plantae","alien","null","present","Haiti","HTI","Spathoglottis plicata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]"
"Leersia hexandra Sw.","species","Plantae","alien","null","present","Haiti","HTI","Leersia hexandra","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Haiti","HTI","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Spathodea campanulata P.Beauv.","species","Plantae","alien","null","present","Haiti","HTI","Spathodea campanulata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Culex quinquefasciatus Say, 1823","species","Animalia","alien","invasive","present","Haiti","HTI","Culex quinquefasciatus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Cirsium mexicanum DC.","species","Plantae","alien","null","present","Haiti","HTI","Cirsium mexicanum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Canis lupus familiaris Linnaeus, 1758","subspecies","Animalia","alien","invasive","present","Haiti","HTI","Canis lupus","Animalia","Chordata","Mammalia","Carnivora","Canidae","[""terrestrial""]"
"Ovis aries Linnaeus, 1758","species","Animalia","alien","null","present","Haiti","HTI","Ovis aries","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Haiti","HTI","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Erythrina poeppigiana O.F.Cook","species","Plantae","alien","null","present","Haiti","HTI","Erythrina poeppigiana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cornu aspersum (O.F.Müller, 1774)","species","Animalia","alien","invasive","present","Haiti","HTI","Cornu aspersum","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","[""terrestrial""]"
"Acacia decurrens Willd.","species","Plantae","alien","null","present","Haiti","HTI","Acacia decurrens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
