"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Erigeron karvinskianus DC.","species","Plantae","alien","null","present","Honduras","HND","Erigeron karvinskianus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Elephantopus mollis Kunth","species","Plantae","alien","null","present","Honduras","HND","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Croton hirtus L'Hér.","species","Plantae","alien","null","present","Honduras","HND","Croton hirtus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Senna occidentalis (L.) Link","species","Plantae","alien","null","present","Honduras","HND","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Cenchrus brownii Roem. & Schult.","species","Plantae","alien","null","present","Honduras","HND","Cenchrus brownii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Emilia sonchifolia (L.) DC. ex Wight","species","Plantae","alien","null","present","Honduras","HND","Emilia sonchifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Passiflora ligularis A.Juss.","species","Plantae","alien","null","present","Honduras","HND","Passiflora ligularis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Verbena litoralis Kunth","species","Plantae","alien","null","present","Honduras","HND","Verbena litoralis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Eichhornia crassipes Solms","species","Plantae","alien","null","present","Honduras","HND","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]",
"Ludwigia adscendens (L.) H.Hara","species","Plantae","alien","null","present","Honduras","HND","Ludwigia adscendens","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial"",""freshwater""]",
"Bidens alba DC.","species","Plantae","alien","null","present","Honduras","HND","Bidens alba","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Emilia coccinea Sweet","species","Plantae","alien","null","present","Honduras","HND","Emilia coccinea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Piper peltatum L.","species","Plantae","alien","null","present","Honduras","HND","Piper peltatum","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","[""terrestrial""]",
"Heliotropium procumbens Mill.","species","Plantae","alien","null","present","Honduras","HND","Euploca procumbens","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","[""terrestrial""]",
"Tithonia diversifolia A.Gray","species","Plantae","alien","null","present","Honduras","HND","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Stylosanthes guianensis Sw.","species","Plantae","alien","null","present","Honduras","HND","Stylosanthes guianensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Polygonum aviculare L.","species","Plantae","alien","null","present","Honduras","HND","Polygonum aviculare","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Sisyrinchium micranthum Cav.","species","Plantae","alien","null","present","Honduras","HND","Sisyrinchium micranthum","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]",
"Jatropha gossypiifolia L.","species","Plantae","alien","null","present","Honduras","HND","Jatropha gossypiifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Spermacoce remota Lam.","species","Plantae","alien","null","present","Honduras","HND","Spermacoce remota","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Amaranthus dubius Mart.","species","Plantae","alien","null","present","Honduras","HND","Amaranthus dubius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Cosmos caudatus Kunth","species","Plantae","alien","null","present","Honduras","HND","Cosmos caudatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Stachytarpheta jamaicensis Vahl","species","Plantae","alien","null","present","Honduras","HND","Stachytarpheta jamaicensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Chrysobalanus icaco L.","species","Plantae","alien","null","present","Honduras","HND","Chrysobalanus icaco","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Chrysobalanaceae","[""terrestrial""]",
"Chloris virgata Sw.","species","Plantae","alien","null","present","Honduras","HND","Chloris virgata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ochroma pyramidale (Cav. ex Lam.) Urb.","species","Plantae","alien","null","present","Honduras","HND","Ochroma pyramidale","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Byrsonima crassifolia Kunth","species","Plantae","alien","null","present","Honduras","HND","Byrsonima crassifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Malpighiaceae","[""terrestrial""]",
"Fuirena umbellata Rottb.","species","Plantae","alien","null","present","Honduras","HND","Fuirena umbellata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Parthenium hysterophorus L.","species","Plantae","alien","null","present","Honduras","HND","Parthenium hysterophorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Caperonia palustris A.St.-Hil.","species","Plantae","alien","null","present","Honduras","HND","Caperonia palustris","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ceratophyllum demersum L.","species","Plantae","alien","null","present","Honduras","HND","Ceratophyllum demersum","Plantae","Tracheophyta","Magnoliopsida","Ceratophyllales","Ceratophyllaceae","[""freshwater""]",
"Euphorbia hyssopifolia L.","species","Plantae","alien","null","present","Honduras","HND","Euphorbia hyssopifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ipomoea alba L.","species","Plantae","alien","null","present","Honduras","HND","Ipomoea alba","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Acanthocereus tetragonus (L.) Hummelinck","species","Plantae","alien","null","present","Honduras","HND","Cereus fernambucensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]",
"Eriochloa punctata Ham.","species","Plantae","alien","null","present","Honduras","HND","Eriochloa punctata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Crocosmia crocosmiiflora (Nicholson) N.E.Br.","species","Plantae","alien","null","present","Honduras","HND","Crocosmia crocosmiiflora","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]",
"Ipomoea quamoclit L.","species","Plantae","alien","null","present","Honduras","HND","Ipomoea quamoclit","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Costus scaber Ruiz & Pav.","species","Plantae","alien","null","present","Honduras","HND","Costus scaber","Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","[""terrestrial""]",
"Euphorbia hypericifolia L.","species","Plantae","alien","null","present","Honduras","HND","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Pistia stratiotes L.","species","Plantae","alien","null","present","Honduras","HND","Pistia stratiotes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]",
"Waltheria indica L.","species","Plantae","alien","null","present","Honduras","HND","Waltheria indica","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Cichlasoma managuense (Günther, 1867)","species","Animalia","alien","null","present","Honduras","HND","Parachromis managuensis","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]",
