"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","Hungary","HUN","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Echinogammarus ischnus (Stebbing, 1899)","species","Animalia","alien","invasive","present","Hungary","HUN","Echinogammarus ischnus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","[""freshwater"",""brackish""]"
"Harmonia axyridis (Pallas, 1773)","species","Animalia","alien","null","present","Hungary","HUN","Harmonia axyridis","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","[""terrestrial""]"
"Chelicorophium mucronatum (G.O.Sars, 1895)","species","Animalia","alien","null","present","Hungary","HUN","Chelicorophium mucronatum","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","[""freshwater"",""brackish""]"
"Anodonta woodiana (I.Lea, 1834)","species","Animalia","alien","invasive","present","Hungary","HUN","Sinanodonta woodiana","Animalia","Mollusca","Bivalvia","Unionida","Unionidae","[""freshwater""]"
"Vallisneria spiralis L.","species","Plantae","alien","null","present","Hungary","HUN","Vallisneria spiralis","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Symphyotrichum lanceolatum (Willd.) G.L.Nesom","species","Plantae","alien","null","present","Hungary","HUN","Symphyotrichum lanceolatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Obesogammarus obesus (Sars G.O., 1894)","species","Animalia","alien","invasive","present","Hungary","HUN","Obesogammarus obesus","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogammaridae","[""freshwater""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Hungary","HUN","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Potamopyrgus antipodarum (Gray, 1843)","species","Animalia","alien","invasive","present","Hungary","HUN","Potamopyrgus antipodarum","Animalia","Mollusca","Gastropoda","Littorinimorpha","Tateidae","[""freshwater"",""brackish""]"
"Abutilon theophrasti Medik.","species","Plantae","alien","null","present","Hungary","HUN","Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Cardiophilus marisnigrae Miloslawskaya, 1931","species","Animalia","alien","null","present","Hungary","HUN","Cardiophilus marisnigrae","Animalia","Arthropoda","Malacostraca","Amphipoda","Behningiellidae","[""freshwater"",""brackish""]"
"Prunus serotina Ehrh.","species","Plantae","alien","null","present","Hungary","HUN","Prunus serotina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Chelicorophium curvispinum (G.O.Sars, 1895)","species","Animalia","alien","invasive","present","Hungary","HUN","Chelicorophium curvispinum","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","[""freshwater"",""brackish""]"
"Pontogammarus maeoticus (Sovinskij, 1894)","species","Animalia","alien","null","present","Hungary","HUN","Pontogammarus maeoticus","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogammaridae","[""freshwater""]"
"Chelicorophium maeoticum (Sowinsky, 1898)","species","Animalia","alien","null","present","Hungary","HUN","Chelicorophium maeoticum","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","[""freshwater"",""brackish""]"
"Solidago gigantea Aiton","species","Plantae","alien","null","present","Hungary","HUN","Solidago gigantea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Euxinia weidemanni (G.O.Sars, 1896)","species","Animalia","alien","null","present","Hungary","HUN","Euxinia weidemanni","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogammaridae","[""freshwater""]"
"Ponticola kessleri (Günther, 1861)","species","Animalia","alien","invasive","present","Hungary","HUN","Ponticola kessleri","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish""]"
"Reynoutria bohemica Chrtek & Chrtková","species","Plantae","alien","invasive","present","Hungary","HUN","Reynoutria bohemica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Dikerogammarus bispinosus Martynov, 1925","species","Animalia","alien","invasive","present","Hungary","HUN","Dikerogammarus bispinosus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","[""freshwater""]"
"Acer negundo L.","species","Plantae","alien","null","present","Hungary","HUN","Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Hypophthalmichthys nobilis (Richardson, 1845)","species","Animalia","alien","null","present","Hungary","HUN","Hypophthalmichthys nobilis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
