"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Hieracium pilosella L.","species","Plantae","alien","null","present","Iceland","ISL","Pilosella officinarum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hordeum vulgare L.","species","Plantae","alien","null","present","Iceland","ISL","Hordeum vulgare","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cylisticus convexus (De Geer, 1778)","species","Animalia","alien","null","present","Iceland","ISL","Cylisticus convexus","Animalia","Arthropoda","Malacostraca","Isopoda","Cylisticidae","[""terrestrial""]"
"Lolium multiflorum Lam.","species","Plantae","alien","null","present","Iceland","ISL","Lolium multiflorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lyciella rorida (Fallén, 1820)","species","Animalia","alien","null","present","Iceland","ISL","Meiosimyza rorida","Animalia","Arthropoda","Insecta","Diptera","Lauxaniidae","[""terrestrial""]"
"Chenopodium album L.","species","Plantae","alien","null","present","Iceland","ISL","Chenopodium album","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Alnus viridis subsp. sinuata (Regel) Á.Löve & D.Löve","subspecies","Plantae","alien","null","present","Iceland","ISL","Alnus alnobetula","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","[""terrestrial""]"
"Sedum mexicanum Britton","species","Plantae","alien","null","present","Iceland","ISL","Sedum mexicanum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Arion lusitanicus J.Mabille, 1868","species","Animalia","alien","null","present","Iceland","ISL","Arion lusitanicus","Animalia","Mollusca","Gastropoda","Stylommatophora","Arionidae","[""terrestrial""]"
"Phratora vitellinae (Linnaeus, 1758)","species","Animalia","alien","null","present","Iceland","ISL","Phratora vitellinae","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Lappula marginata Gürke","species","Plantae","alien","null","present","Iceland","ISL","Lappula marginata","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Convolvulus arvensis L.","species","Plantae","alien","null","present","Iceland","ISL","Convolvulus arvensis","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Hypoponera punctatissima (Roger, 1859)","species","Animalia","alien","null","present","Iceland","ISL","Hypoponera punctatissima","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Symphytum officinale L.","species","Plantae","alien","null","present","Iceland","ISL","Symphytum officinale","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Campylopus pyriformis Bridel, 1826","species","Plantae","alien","null","present","Iceland","ISL","Campylopus pyriformis","Plantae","Bryophyta","Bryopsida","Dicranales","Dicranaceae","[""terrestrial""]"
"Pollenia rudis (Fabricius, 1794)","species","Animalia","alien","null","present","Iceland","ISL","Pollenia rudis","Animalia","Arthropoda","Insecta","Diptera","Calliphoridae","[""terrestrial""]"
"Pinus mugo Turra","species","Plantae","alien","null","present","Iceland","ISL","Pinus mugo","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Pinus cembra L.","species","Plantae","alien","null","present","Iceland","ISL","Pinus cembra","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Artemisia vulgaris L.","species","Plantae","alien","null","present","Iceland","ISL","Artemisia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Avena fatua L.","species","Plantae","alien","null","present","Iceland","ISL","Avena fatua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Trechus secalis (Paykull, 1790)","species","Animalia","alien","null","present","Iceland","ISL","Epaphius secalis","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","[""terrestrial""]"
"Mya arenaria Linnaeus, 1758","species","Animalia","alien","null","present","Iceland","ISL","Mya arenaria","Animalia","Mollusca","Bivalvia","Myida","Myidae","[""marine""]"
"Limax maximus Linnaeus, 1758","species","Animalia","alien","null","present","Iceland","ISL","Limax maximus","Animalia","Mollusca","Gastropoda","Stylommatophora","Limacidae","[""terrestrial""]"
"Otiorhynchus singularis (Linnaeus, 1767)","species","Animalia","alien","null","present","Iceland","ISL","Otiorhynchus singularis","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Eristalis intricaria (Linnaeus, 1758)","species","Animalia","alien","null","present","Iceland","ISL","Eristalis intricaria","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","[""terrestrial""]"
"Geranium pusillum L.","species","Plantae","alien","null","present","Iceland","ISL","Geranium pusillum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Rumex crispus L.","species","Plantae","alien","null","present","Iceland","ISL","Rumex crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Doronicum columnae Ten.","species","Plantae","alien","null","present","Iceland","ISL","Doronicum columnae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.","species","Plantae","alien","null","present","Iceland","ISL","Armoracia rusticana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Medicago sativa L.","species","Plantae","alien","null","present","Iceland","ISL","Medicago sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rhinanthus angustifolius C.C.Gmel.","species","Plantae","alien","null","present","Iceland","ISL","Rhinanthus angustifolius","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Ranunculus aconitifolius L.","species","Plantae","alien","null","present","Iceland","ISL","Ranunculus aconitifolius","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Sorbus mougeotii Godr. & Soyer.-Willem.","species","Plantae","alien","null","present","Iceland","ISL","Sorbus mougeotii","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Campanula fragilis Cirillo","species","Plantae","alien","null","present","Iceland","ISL","Campanula fragilis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","[""terrestrial""]"
"Sisymbrium officinale (L.) Scop.","species","Plantae","alien","null","present","Iceland","ISL","Sisymbrium officinale","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Zeiraphera griseana (Hubner, 1799)","species","Animalia","alien","null","present","Iceland","ISL","Zeiraphera griseana","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","[""terrestrial""]"
"Avenula pubescens (Huds.) Dumort.","species","Plantae","alien","null","present","Iceland","ISL","Avenula pubescens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Tussilago farfara L.","species","Plantae","alien","null","present","Iceland","ISL","Tussilago farfara","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rubus spectabilis Pursh","species","Plantae","alien","null","present","Iceland","ISL","Rubus spectabilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb.","species","Plantae","alien","null","present","Iceland","ISL","Petasites hybridus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pinus contorta Douglas ex Loudon","species","Plantae","alien","null","present","Iceland","ISL","Pinus contorta","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Lamium amplexicaule L.","species","Plantae","alien","null","present","Iceland","ISL","Lamium amplexicaule","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Levisticum officinale W.D.J.Koch","species","Plantae","alien","null","present","Iceland","ISL","Levisticum officinale","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Pisum sativum L.","species","Plantae","alien","null","present","Iceland","ISL","Pisum sativum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Medicago lupulina L.","species","Plantae","alien","null","present","Iceland","ISL","Medicago lupulina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
