"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Ginkgo biloba L.","species","Plantae","alien","null","present","India","IND","Ginkgo biloba","Plantae","Tracheophyta","Ginkgoopsida","Ginkgoales","Ginkgoaceae","[""terrestrial""]",
"Brugmansia versicolor Lagerh.","species","Plantae","alien","null","present","India","IND","Brugmansia versicolor","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Scaevola sericea G.Forst.","species","Plantae","alien","null","present","India","IND","Scaevola sericea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Goodeniaceae","[""terrestrial""]",
"Jacquinia ruscifolia L.","species","Plantae","alien","null","present","India","IND","Jacquinia ruscifolia","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","[""terrestrial""]",
"Triplaris americana L.","species","Plantae","alien","null","present","India","IND","Triplaris americana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Atocion armeria Fourr.","species","Plantae","alien","null","present","India","IND","Atocion armeria","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]",
"Aeschynomene indica L.","species","Plantae","alien","null","present","India","IND","Aeschynomene indica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Setaria parviflora (Poir.) Kerguélen","species","Plantae","alien","null","present","India","IND","Setaria parviflora","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sinningia tubiflora Fritsch","species","Plantae","alien","null","present","India","IND","Sinningia tubiflora","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","[""terrestrial""]",
"Althaea officinalis L.","species","Plantae","alien","null","present","India","IND","Althaea officinalis","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Catha edulis Forssk.","species","Plantae","alien","null","present","India","IND","Catha edulis","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","[""terrestrial""]",
"Fuchsia fulgens DC.","species","Plantae","alien","null","present","India","IND","Fuchsia fulgens","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]",
"Pistia stratiotes L.","species","Plantae","alien","invasive","present","India","IND","Pistia stratiotes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]",
"Gloxinia perennis Fritsch","species","Plantae","alien","null","present","India","IND","Gloxinia perennis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","[""terrestrial""]",
"Stokesia laevis Greene","species","Plantae","alien","null","present","India","IND","Stokesia laevis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Campanula rapunculoides L.","species","Plantae","alien","null","present","India","IND","Campanula rapunculoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","[""terrestrial""]",
"Dicoma incana O.Hoffm.","species","Plantae","alien","null","present","India","IND","Dicoma incana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Aptenia cordifolia (L.fil.) Schwant.","species","Plantae","alien","null","present","India","IND","Mesembryanthemum cordifolium","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]",
"Rhamnus persica Boiss.","species","Plantae","alien","null","present","India","IND","Rhamnus persica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]",
"Lagenaria siceraria (Molina) Standl.","species","Plantae","alien","null","present","India","IND","Lagenaria siceraria","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]",
"Digera muricata Mart","species","Plantae","alien","invasive","present","India","IND","Digera muricata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Passiflora incarnata L.","species","Plantae","alien","null","present","India","IND","Passiflora incarnata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
