"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Eichhornia crassipes Solms","species","Plantae","alien","invasive","present","Indonesia","IDN","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]",
"Iguana iguana (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Indonesia","IDN","Iguana iguana","Animalia","Chordata","Reptilia","Squamata","Iguanidae","[""terrestrial""]",
"Azolla pinnata R.Br.","species","Plantae","alien","invasive","present","Indonesia","IDN","Azolla pinnata","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]",
"Macrocephalon maleo S.Muller, 1846","species","Animalia","alien","null","present","Indonesia","IDN","Macrocephalon maleo","Animalia","Chordata","Aves","Galliformes","Megapodiidae","[""terrestrial""]",
"Ligustrum robustum Blume","species","Plantae","alien","invasive","present","Indonesia","IDN","Ligustrum robustum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]",
"Micropterus salmoides (Lacepède, 1802)","species","Animalia","alien","invasive","present","Indonesia","IDN","Micropterus salmoides","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","[""freshwater""]",
"Pinus merkusii Jungh. & de Vriese","species","Plantae","alien","invasive","present","Indonesia","IDN","Pinus merkusii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]",
"Dreissena polymorpha (Pallas, 1771)","species","Animalia","alien","invasive","present","Indonesia","IDN","Dreissena polymorpha","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","[""freshwater"",""brackish""]",
"Bidens pilosa L.","species","Plantae","alien","invasive","present","Indonesia","IDN","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Ophisternon bengalense McClelland, 1844","species","Animalia","alien","null","present","Indonesia","IDN","Ophisternon bengalense","Animalia","Chordata","Actinopterygii","Synbranchiformes","Synbranchidae","[""freshwater"",""brackish""]",
"Acacia farnesiana (L.) Willd.","species","Plantae","alien","invasive","present","Indonesia","IDN","Vachellia farnesiana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Paspalum conjugatum P.J.Bergius","species","Plantae","alien","null","present","Indonesia","IDN","Paspalum conjugatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Pterygoplichthys pardalis (Castelnau, 1855)","species","Animalia","alien","invasive","present","Indonesia","IDN","Pterygoplichthys pardalis","Animalia","Chordata","Actinopterygii","Siluriformes","Loricariidae","[""freshwater""]",
"Solanum americanum Mill.","species","Plantae","alien","invasive","present","Indonesia","IDN","Solanum americanum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Belucia acinanthera Triana Synonim: Bellucia pentameraNaudinBellucia costariensis Cogn.","species","Plantae","alien","invasive","present","Indonesia","IDN","Belucia acinanthera","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]",
"Elephantopus mollis Kunth","species","Plantae","alien","invasive","present","Indonesia","IDN","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Vachellia nilotica (L.) P.J.H.Hurter & Mabb.","species","Plantae","alien","invasive","present","Indonesia","IDN","Vachellia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Clibadium surinamense L.","species","Plantae","alien","invasive","present","Indonesia","IDN","Clibadium surinamense","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Utricularia aurea Lour.","species","Plantae","alien","invasive","present","Indonesia","IDN","Utricularia aurea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lentibulariaceae","[""freshwater""]",
"Bridelia insulana Hance","species","Plantae","alien","null","present","Indonesia","IDN","Bridelia insulana","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Centrosema pubescens Benth.","species","Plantae","alien","invasive","present","Indonesia","IDN","Centrosema pubescens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Rottboellia cochinchinensis (Lour.) Clayton","species","Plantae","alien","invasive","present","Indonesia","IDN","Rottboellia cochinchinensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Striga asiatica (L.) Kuntze","species","Plantae","alien","invasive","present","Indonesia","IDN","Striga asiatica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]",
"Sphagneticola trilobata (L.) Pruski","species","Plantae","alien","invasive","present","Indonesia","IDN","Sphagneticola trilobata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Arundo donax L.","species","Plantae","alien","invasive","present","Indonesia","IDN","Arundo donax","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ipomoea cairica (L.) Sweet","species","Plantae","alien","invasive","present","Indonesia","IDN","Ipomoea cairica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Jatropha gossypiifolia L.","species","Plantae","alien","invasive","present","Indonesia","IDN","Jatropha gossypiifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Tridax procumbens L.","species","Plantae","alien","invasive","present","Indonesia","IDN","Tridax procumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Monochoria hastata (L.) Solms","species","Plantae","alien","invasive","present","Indonesia","IDN","Monochoria hastata","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]",
"Brugmansia suaveolens Bercht. & J.Presl","species","Plantae","alien","invasive","present","Indonesia","IDN","Brugmansia suaveolens","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Tilapia mariae Boulenger, 1899","species","Animalia","alien","invasive","present","Indonesia","IDN","Pelmatolapia mariae","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Asystasia gangetica T.Anderson","species","Plantae","alien","invasive","present","Indonesia","IDN","Asystasia gangetica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Caulerpa taxifolia (M.Vahl) C.Agardh","species","Plantae","alien","invasive","present","Indonesia","IDN","Caulerpa taxifolia","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","[""marine""]",
