"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Eucalyptus sideroxylon A.Cunn. ex Woolls","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Eucalyptus sideroxylon","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Mugil cephalus Linnaeus, 1758","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Mugil cephalus","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","[""freshwater"",""brackish"",""marine""]"
"Coronopus didymus (L.) Sm.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Lepidium didymum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Anguilla anguilla (Linnaeus, 1758)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Anguilla anguilla","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","[""freshwater"",""brackish"",""marine""]"
"Sander lucioperca (Linnaeus, 1758)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Sander lucioperca","Animalia","Chordata","Actinopterygii","Perciformes","Percidae","[""freshwater"",""brackish""]"
"Oncorhynchus gorbuscha (Walbaum, 1792)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Oncorhynchus gorbuscha","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Phalaris minor Retz.","species","Plantae","alien","invasive","present","Iran (Islamic Republic of)","IRN","Phalaris minor","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Tetragonia tetragonioides (Pall.) Kuntze","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Tetragonia tetragonioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Saccharum spontaneum L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Saccharum spontaneum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hypophthalmichthys molitrix (Valenciennes, 1844)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Hypophthalmichthys molitrix","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Cuscuta campestris Yunck.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Cuscuta pentagona","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Digitaria longiflora (Retz.) Pers.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Digitaria longiflora","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hordeum spontaneum K.Koch","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Hordeum spontaneum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hemiculter leucisculus (Basilewsky, 1855)","species","Animalia","alien","invasive","present","Iran (Islamic Republic of)","IRN","Hemiculter leucisculus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Datura stramonium L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Ipomoea hederacea Jacq.","species","Plantae","alien","invasive","present","Iran (Islamic Republic of)","IRN","Ipomoea hederacea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Avena barbata Link","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Avena barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Rhinogobius similis Gill, 1859","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Rhinogobius similis","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater""]"
"Mullus barbatus barbatus","subspecies","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Mullus barbatus","Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","[""marine""]"
"Tridax procumbens L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Tridax procumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Scophthalmus maximus (Linnaeus, 1758)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Scophthalmus maximus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","[""brackish"",""marine""]"
"Silybum marianum Gaertn.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Silybum marianum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pteridium aquilinum (L.) Kuhn","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Pteridium aquilinum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dennstaedtiaceae","[""terrestrial""]"
"Lepyrodiclis holosteoides Fenzl ex Fisch. & Mey.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Lepyrodiclis holosteoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Oryzias latipes (Temminck & Schlegel, 1846)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Oryzias latipes","Animalia","Chordata","Actinopterygii","Beloniformes","Adrianichthyidae","[""freshwater"",""brackish""]"
"Convolvulus arvensis L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Convolvulus arvensis","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Pelodiscus sinensis (Wiegmann, 1835)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Pelodiscus sinensis","Animalia","Chordata","Reptilia","Testudines","Trionychidae","[""terrestrial"",""freshwater""]"
"Achyranthes aspera L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Iran (Islamic Republic of)","IRN","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cupressus sempervirens L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Cupressus sempervirens","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","[""terrestrial""]"
"Hydrocotyle ranunculoides L.f.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Hydrocotyle ranunculoides","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial"",""freshwater""]"
"Didemnum psammatodes (Sluiter, 1895)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Didemnum psammatodes","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","[""marine""]"
"Ambrosia artemisiifolia L","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Ambrosia artemisiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hyphantria cunea (Drury, 1773)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Hyphantria cunea","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","[""terrestrial""]"
"Emex spinosa (L.) Campd.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Rumex spinosus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Pseudorasbora parva (Temminck & Schlegel, 1846)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Pseudorasbora parva","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
