"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Crocosmia paniculata (Klatt) Goldblatt","species","Plantae","alien","null","present","Ireland","IRL","Crocosmia paniculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Capsella bursa-pastoris (L.) Medik.","species","Plantae","alien","null","present","Ireland","IRL","Capsella bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Iberis umbellata L.","species","Plantae","alien","null","present","Ireland","IRL","Iberis umbellata","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Lamium hybridum","species","Plantae","alien","null","present","Ireland","IRL","Lamium purpureum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Eruca vesicaria (L.) Cav.","species","Plantae","alien","null","present","Ireland","IRL","Eruca vesicaria","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Apera spica-venti (L.) P.Beauv.","species","Plantae","alien","null","present","Ireland","IRL","Apera spica-venti","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hylastes brunneus Erichson, 1836","species","Animalia","alien","null","present","Ireland","IRL","Hylastes brunneus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Sedum telephium","species","Plantae","alien","null","present","Ireland","IRL","Hylotelephium telephium","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Ulva californica Wille, 1899","species","Plantae","alien","null","present","Ireland","IRL","Ulva californica","Plantae","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","[""marine""]"
"Undaria pinnatifida (Harvey) Suringar, 1873","species","Chromista","alien","null","present","Ireland","IRL","Undaria pinnatifida","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","[""marine""]"
"Eucalyptus globulus Labill.","species","Plantae","alien","null","present","Ireland","IRL","Eucalyptus globulus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Lactuca serriola L.","species","Plantae","alien","null","present","Ireland","IRL","Lactuca serriola","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Omphalodes verna Moench","species","Plantae","alien","null","present","Ireland","IRL","Omphalodes verna","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Hieracium cinderella (Ley) Ley","species","Plantae","alien","null","present","Ireland","IRL","Hieracium cinderella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Linum usitatissimum L.","species","Plantae","alien","null","present","Ireland","IRL","Linum usitatissimum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","[""terrestrial""]"
"Lithophane leautieri Boisduval, 1829","species","Animalia","alien","null","present","Ireland","IRL","Lithophane leautieri","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","[""terrestrial""]"
"Cedrus libani A. Rich.","species","Plantae","alien","null","present","Ireland","IRL","Cedrus libani","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Leucoptera laburnella Stainton","species","Animalia","alien","null","present","Ireland","IRL","Leucoptera laburnella","Animalia","Arthropoda","Insecta","Lepidoptera","Lyonetiidae","[""terrestrial""]"
"Buxus sempervirens L.","species","Plantae","alien","null","present","Ireland","IRL","Buxus sempervirens","Plantae","Tracheophyta","Magnoliopsida","Buxales","Buxaceae","[""terrestrial""]"
"Cryptolestes ferrugineus (Stephens, 1831) Stephens, 1831","species","Animalia","alien","null","present","Ireland","IRL","Cryptolestes ferrugineus","Animalia","Arthropoda","Insecta","Coleoptera","Laemophloeidae","[""terrestrial""]"
"Ocnerostoma friesei Svensson, 1966","species","Animalia","alien","null","present","Ireland","IRL","Ocnerostoma friesei","Animalia","Arthropoda","Insecta","Lepidoptera","Yponomeutoidea","[""terrestrial""]"
"Dipsacus fullonum Thore","species","Plantae","cryptogenic|uncertain","null","present","Ireland","IRL","Dipsacus fullonum","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Hylastes ater (Paykull, 1800) Paykull, 1800","species","Animalia","alien","null","present","Ireland","IRL","Hylastes ater","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Robinia pseudoacacia L.","species","Plantae","alien","null","present","Ireland","IRL","Robinia pseudoacacia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Centranthus ruber (L.) DC.","species","Plantae","alien","null","present","Ireland","IRL","Centranthus ruber","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Ligustrum ovalifolium Hassk.","species","Plantae","alien","null","present","Ireland","IRL","Ligustrum ovalifolium","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Aster novi-belgii L.","species","Plantae","alien","null","present","Ireland","IRL","Symphyotrichum novi-belgii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Poa palustris L.","species","Plantae","alien","null","present","Ireland","IRL","Poa palustris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lathyrus latifolius L.","species","Plantae","alien","null","present","Ireland","IRL","Lathyrus latifolius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Erinus alpinus L.","species","Plantae","alien","null","present","Ireland","IRL","Erinus alpinus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Thaumatotibia leucotreta (Meyrick, 1913)","species","Animalia","alien","null","present","Ireland","IRL","Thaumatotibia leucotreta","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","[""terrestrial""]"
"Armadillidium nasatum Budde-Lund, 1885","species","Animalia","alien","null","present","Ireland","IRL","Armadillidium nasatum","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","[""terrestrial""]"
